TIGR00001	ribosomal protein L35
TIGR01079	ribosomal protein L24
TIGR01080	ribosomal protein L24
TIGR01081	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
TIGR01082	UDP-N-acetylmuramate--L-alanine ligase
TIGR01083	endonuclease III
TIGR01084	A/G-specific adenine glycosylase
TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
TIGR01086	L-fuculose phosphate aldolase
TIGR01087	UDP-N-acetylmuramoylalanine--D-glutamate ligase
TIGR01088	3-dehydroquinate dehydratase, type II
TIGR01089	L-fucose isomerase
TIGR01090	adenine phosphoribosyltransferase
TIGR01091	uracil phosphoribosyltransferase
TIGR01092	delta l-pyrroline-5-carboxylate synthetase
TIGR01093	3-dehydroquinate dehydratase, type I
TIGR01096	lysine-arginine-ornithine-binding periplasmic protein
TIGR01097	phosphonate ABC transporter, permease protein PhnE
TIGR01098	phosphate/phosphite/phosphonate ABC transporter, periplasmic binding protein
TIGR01099	UTP--glucose-1-phosphate uridylyltransferase
TIGR01100	V-type ATPase, C subunit
TIGR01101	V-type ATPase, F subunit
TIGR01102	type III secretion apparatus protein, YscR/HrcR family
TIGR01103	flagellar biosynthetic protein FliP
TIGR01104	V-type H(+)-translocating pyrophosphatase
TIGR01105	regulatory protein GalF
TIGR01106	Na,H/K antiporter P-type ATPase, alpha subunit
TIGR01107	Na+/K+ ATPase, beta subunit
TIGR01108	oxaloacetate decarboxylase alpha subunit
TIGR01109	sodium ion-translocating decarboxylase, beta subunit
TIGR01110	malonate decarboxylase, alpha subunit
TIGR01111	tetrahydromethanopterin S-methyltransferase, subunit A
TIGR01112	tetrahydromethanopterin S-methyltransferase, subunit D
TIGR01113	tetrahydromethanopterin S-methyltransferase, subunit E
TIGR01114	N5-methyltetrahydromethanopterin:coenzyme M methyltransferase subunit H
TIGR01115	photosynthetic reaction center M subunit
TIGR01116	calcium-translocating P-type ATPase, SERCA-type
TIGR01117	methylmalonyl-CoA decarboxylase alpha subunit
TIGR01118	galactose-6-phosphate isomerase, LacA subunit
TIGR01119	galactose-6-phosphate isomerase, LacB subunit
TIGR01120	ribose 5-phosphate isomerase B
TIGR01121	D-amino-acid transaminase
TIGR01122	branched-chain amino acid aminotransferase
TIGR01123	branched-chain amino acid aminotransferase
TIGR01124	threonine ammonia-lyase, biosynthetic
TIGR01125	ribosomal protein S12 methylthiotransferase RimO
TIGR01126	protein disulfide-isomerase domain
TIGR01127	threonine ammonia-lyase
TIGR01128	DNA polymerase III, delta subunit
TIGR01129	protein-export membrane protein SecD
TIGR01130	protein disulfide isomerase
TIGR01131	ATP synthase F0, A subunit
TIGR01132	phosphoglucomutase, alpha-D-glucose phosphate-specific
TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
TIGR01134	amidophosphoribosyltransferase
TIGR01135	glutamine-fructose-6-phosphate transaminase (isomerizing)
TIGR01136	cysteine synthase
TIGR01137	cystathionine beta-synthase
TIGR01138	cysteine synthase B
TIGR01139	cysteine synthase A
TIGR01140	threonine-phosphate decarboxylase
TIGR01141	histidinol-phosphate transaminase
TIGR01142	phosphoribosylglycinamide formyltransferase 2
TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
TIGR01144	ATP synthase F0, B subunit
TIGR01145	ATP synthase F1, delta subunit
TIGR01146	ATP synthase F1, gamma subunit
TIGR01147	V-type ATPase, G subunit
TIGR01148	tetrahydromethanopterin S-methyltransferase, subunit C
TIGR01149	tetrahydromethanopterin S-methyltransferase, subunit G
TIGR01150	photosynthetic reaction center H subunit
TIGR01151	photosystem II q(b) protein
TIGR01152	photosystem II D2 protein (photosystem q(a) protein)
TIGR01153	photosystem II 44 kDa subunit reaction center protein
TIGR01156	cytb6/f complex subunit IV
TIGR01157	photosynthetic reaction center L subunit
TIGR01158	putative translation initiation factor SUI1
TIGR01159	density-regulated protein DRP1
TIGR01160	translation initiation factor SUI1
TIGR01161	phosphoribosylaminoimidazole carboxylase, ATPase subunit
TIGR01162	phosphoribosylaminoimidazole carboxylase, catalytic subunit
TIGR01163	ribulose-phosphate 3-epimerase
TIGR01164	ribosomal protein L16
TIGR01165	cobalt transport protein
TIGR01166	cobalt ABC transporter, ATP-binding protein
TIGR01167	LPXTG cell wall anchor domain
TIGR01168	gram-positive signal peptide, YSIRK family
TIGR01169	ribosomal protein L1
TIGR01170	ribosomal protein L1, mitochondrial
TIGR01171	ribosomal protein L2
TIGR01172	serine O-acetyltransferase
TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR01174	cell division protein FtsA
TIGR01175	type IV pilus assembly protein PilM
TIGR01176	fumarate reductase, flavoprotein subunit
TIGR01177	putative methyltransferase, TIGR01177 family
TIGR01178	adenine deaminase
TIGR01179	UDP-glucose 4-epimerase GalE
TIGR01180	putative alpha-1,2-mannosidase
TIGR01181	dTDP-glucose 4,6-dehydratase
TIGR01182	2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase
TIGR01183	nitrate ABC transporter, permease protein
TIGR01184	nitrate ABC transporter, ATP-binding proteins C and D
TIGR01185	ABC exporter transmembrane subunit, DevC protein
TIGR01186	glycine betaine/L-proline transport ATP binding subunit
TIGR01187	polyamine ABC transporter, ATP-binding protein
TIGR01188	daunorubicin resistance ABC transporter, ATP-binding protein
TIGR01189	heme ABC exporter, ATP-binding protein CcmA
TIGR01190	heme exporter protein CcmB
TIGR01191	heme exporter protein CcmC
TIGR01192	glucan exporter ATP-binding protein
TIGR01193	ABC-type bacteriocin transporter
TIGR01194	cyclic peptide transporter
TIGR01195	sodium pump decarboxylases, gamma subunit
TIGR01196	phosphogluconate dehydratase
TIGR01197	metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family
TIGR01198	6-phosphogluconolactonase
TIGR01200	GLPGLI family protein
TIGR01201	putative DNA-binding protein
TIGR01202	chlorophyll synthesis pathway protein BchC
TIGR01203	hypoxanthine phosphoribosyltransferase
TIGR01204	6-carboxyhexanoate--CoA ligase
TIGR01205	D-alanine--D-alanine ligase
TIGR01206	lysine biosynthesis protein LysW
TIGR01207	glucose-1-phosphate thymidylyltransferase
TIGR01208	glucose-1-phosphate thymidylyltransferase
TIGR01209	RNA ligase, Pab1020 family
TIGR01210	radical SAM enzyme, TIGR01210 family
TIGR01211	radical SAM enzyme/protein acetyltransferase, ELP3 family
TIGR01212	radical SAM protein, TIGR01212 family
TIGR01213	tRNA pseudouridine(54/55) synthase
TIGR01214	dTDP-4-dehydrorhamnose reductase
TIGR01215	cell division topological specificity factor MinE
TIGR01216	ATP synthase F1, epsilon subunit
TIGR01217	acetoacetate-CoA ligase
TIGR01218	tandem five-TM protein
TIGR01219	phosphomevalonate kinase
TIGR01220	phosphomevalonate kinase
TIGR01221	dTDP-4-dehydrorhamnose 3,5-epimerase
TIGR01222	septum site-determining protein MinC
TIGR01223	phosphomevalonate kinase
TIGR01224	imidazolonepropionase
TIGR01225	histidine ammonia-lyase
TIGR01226	phenylalanine ammonia-lyase
TIGR01227	formimidoylglutamase
TIGR01228	urocanate hydratase
TIGR01229	arginase
TIGR01230	agmatinase
TIGR01231	tagatose-6-phosphate kinase
TIGR01232	tagatose 1,6-diphosphate aldolase
TIGR01233	6-phospho-beta-galactosidase
TIGR01234	ribulokinase
TIGR01235	pyruvate carboxylase
TIGR01236	1-pyrroline-5-carboxylate dehydrogenase
TIGR01237	putative delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01238	delta-1-pyrroline-5-carboxylate dehydrogenase
TIGR01239	galactose-1-phosphate uridylyltransferase
TIGR01240	diphosphomevalonate decarboxylase
TIGR01241	ATP-dependent metallopeptidase HflB
TIGR01242	26S proteasome subunit P45 family
TIGR01243	AAA family ATPase, CDC48 subfamily
TIGR01244	TIGR01244 family protein
TIGR01245	anthranilate phosphoribosyltransferase
TIGR01246	succinyl-diaminopimelate desuccinylase
TIGR01247	daunorubicin resistance ABC transporter membrane protein
TIGR01248	daunorubicin resistance protein C
TIGR01249	prolyl aminopeptidase
TIGR01250	proline-specific peptidase
TIGR01251	ribose-phosphate diphosphokinase
TIGR01252	alpha-acetolactate decarboxylase
TIGR01253	thiamine/thiamine pyrophosphate ABC transporter, permease protein
TIGR01254	ABC transporter periplasmic binding protein, thiB subfamily
TIGR01255	formate acetyltransferase
TIGR01256	molybdate ABC transporter, periplasmic molybdate-binding protein
TIGR01257	rim ABC transporter
TIGR01258	phosphoglycerate mutase 1 family
TIGR01259	comEA protein
TIGR01260	ATP synthase F0, C subunit
TIGR01261	histidinol-phosphatase
TIGR01262	maleylacetoacetate isomerase
TIGR01263	4-hydroxyphenylpyruvate dioxygenase
TIGR01264	tyrosine aminotransferase
TIGR01265	tyrosine/nicotianamine family aminotransferase
TIGR01266	fumarylacetoacetase
TIGR01267	phenylalanine-4-hydroxylase
TIGR01268	phenylalanine-4-hydroxylase
TIGR01269	tyrosine 3-monooxygenase
TIGR01270	tryptophan 5-monooxygenase
TIGR01271	cystic fibrosis transmembrane conductor regulator (CFTR)
TIGR01272	glucose/galactose transporter WARNING
TIGR01273	arginine decarboxylase
TIGR01274	1-aminocyclopropane-1-carboxylate deaminase
TIGR01275	pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family
TIGR01276	thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
TIGR01277	thiamine ABC transporter, ATP-binding protein
TIGR01278	light-independent protochlorophyllide reductase, B subunit
TIGR01279	light-independent protochlorophyllide reductase, N subunit
TIGR01280	exodeoxyribonuclease VII, small subunit
TIGR01281	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein
TIGR01282	nitrogenase molybdenum-iron protein alpha chain
TIGR01283	nitrogenase MoFe cofactor biosynthesis protein NifE
TIGR01284	nitrogenase alpha chain
TIGR01285	nitrogenase molybdenum-iron cofactor biosynthesis protein NifN
TIGR01286	nitrogenase molybdenum-iron protein beta chain
TIGR01287	nitrogenase iron protein
TIGR01288	nodulation ABC transporter NodI
TIGR01289	light-dependent protochlorophyllide reductase
TIGR01290	nitrogenase cofactor biosynthesis protein NifB
TIGR01291	ABC-2 type transporter, NodJ family
TIGR01292	thioredoxin-disulfide reductase
TIGR01293	voltage-dependent potassium channel beta subunit
TIGR01294	phospholamban
TIGR01295	putative bacteriocin transport accessory protein
TIGR01296	aspartate-semialdehyde dehydrogenase
TIGR01297	cation diffusion facilitator family transporter
TIGR01298	ribonuclease T
TIGR01299	synaptic vesicle protein SV2
TIGR01300	monovalent cation/proton antiporter, MnhG/PhaG subunit
TIGR01301	sucrose/H+ symporter
TIGR01302	inosine-5'-monophosphate dehydrogenase
TIGR01303	IMP dehydrogenase family protein
TIGR01304	IMP dehydrogenase family protein
TIGR01305	guanosine monophosphate reductase
TIGR01306	guanosine monophosphate reductase
TIGR01307	phosphoglycerate mutase (2,3-diphosphoglycerate-independent)
TIGR01308	ribosomal protein L30
TIGR01309	ribosomal protein L30P
TIGR01310	60S ribosomal protein L7
TIGR01311	glycerol kinase
TIGR01312	xylulokinase
TIGR01313	carbohydrate kinase, thermoresistant glucokinase family
TIGR01314	gluconate kinase
TIGR01315	FGGY-family pentulose kinase
TIGR01316	glutamate synthase (NADPH), homotetrameric
TIGR01317	glutamate synthase, NADH/NADPH, small subunit
TIGR01318	glutamate synthase, small subunit
TIGR01319	conserved hypothetical protein
TIGR01320	malate dehydrogenase (acceptor)
TIGR01321	trp operon repressor
TIGR01322	sucrose-6-phosphate hydrolase
TIGR01323	nitrile hydratase, alpha subunit
TIGR01324	cystathionine beta-lyase
TIGR01325	O-succinylhomoserine sulfhydrylase
TIGR01326	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
TIGR01327	phosphoglycerate dehydrogenase
TIGR01328	methionine gamma-lyase
TIGR01329	cystathionine beta-lyase
TIGR01330	3'(2'),5'-bisphosphate nucleotidase
TIGR01331	3'(2'),5'-bisphosphate nucleotidase
TIGR01332	cytochrome b559, alpha subunit
TIGR01333	cytochrome b559, beta subunit
TIGR01334	modD protein
TIGR01335	photosystem I core protein PsaA
TIGR01336	photosystem I core protein PsaB
TIGR01337	allophycocyanin, beta subunit
TIGR01338	phycocyanin, alpha subunit
TIGR01339	phycocyanin, beta subunit
TIGR01340	aconitate hydratase, mitochondrial
TIGR01341	aconitate hydratase 1
TIGR01342	putative aconitate hydratase
TIGR01343	homoaconitate hydratase family protein
TIGR01344	malate synthase A
TIGR01345	malate synthase G
TIGR01346	isocitrate lyase
TIGR01347	dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex
TIGR01348	dihydrolipoyllysine-residue acetyltransferase
TIGR01349	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase
TIGR01350	dihydrolipoyl dehydrogenase
TIGR01351	adenylate kinase
TIGR01352	TonB family C-terminal domain
TIGR01353	putative dGTPase
TIGR01354	cytidine deaminase
TIGR01355	cytidine deaminase
TIGR01356	3-phosphoshikimate 1-carboxyvinyltransferase
TIGR01357	3-dehydroquinate synthase
TIGR01358	3-deoxy-7-phosphoheptulonate synthase
TIGR01359	UMP-CMP kinase family
TIGR01360	adenylate kinase
TIGR01361	3-deoxy-7-phosphoheptulonate synthase
TIGR01362	3-deoxy-8-phosphooctulonate synthase
TIGR01363	streptococcal histidine triad protein
TIGR01364	phosphoserine transaminase
TIGR01365	phosphoserine aminotransferase
TIGR01366	putative phosphoserine aminotransferase
TIGR01367	orotate phosphoribosyltransferase
TIGR01368	carbamoyl-phosphate synthase, small subunit
TIGR01369	carbamoyl-phosphate synthase, large subunit
TIGR01370	extracellular protein
TIGR01371	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
TIGR01372	sarcosine oxidase, alpha subunit family
TIGR01373	sarcosine oxidase, beta subunit family
TIGR01374	sarcosine oxidase, delta subunit family
TIGR01375	sarcosine oxidase, gamma subunit family
TIGR01376	chlamydial polymorphic outer membrane protein repeat
TIGR01377	sarcosine oxidase, monomeric form
TIGR01378	thiamine pyrophosphokinase
TIGR01379	thiamine-phosphate kinase
TIGR01380	glutathione synthase
TIGR01381	E1-like protein-activating enzyme Gsa7p/Apg7p
TIGR01382	intracellular protease, PfpI family
TIGR01383	DJ-1 family protein
TIGR01384	transcription factor S
TIGR01385	transcription elongation factor S-II
TIGR01386	heavy metal sensor kinase
TIGR01387	heavy metal response regulator
TIGR01388	ribonuclease D
TIGR01389	ATP-dependent DNA helicase RecQ
TIGR01390	2',3'-cyclic-nucleotide 2'-phosphodiesterase
TIGR01391	DNA primase
TIGR01392	homoserine O-acetyltransferase
TIGR01393	elongation factor 4
TIGR01394	GTP-binding protein TypA/BipA
TIGR01395	flagellar basal-body rod protein FlgC
TIGR01396	flagellar basal-body rod protein FlgB
TIGR01397	flagellar motor switch protein FliM
TIGR01398	flagellar biosynthesis protein FlhA
TIGR01399	type III secretion protein, HrcV family
TIGR01400	flagellar biosynthetic protein FliR
TIGR01401	type III secretion apparatus protein SpaR/YscT/HrcT
TIGR01402	flagellar biosynthetic protein FliQ
TIGR01403	type III secretion protein, HrpO family
TIGR01404	type III secretion protein, YscU/HrpY family
TIGR01405	DNA polymerase III, alpha subunit, Gram-positive type
TIGR01406	DNA polymerase III, epsilon subunit
TIGR01407	putative DnaQ family exonuclease/DinG family helicase
TIGR01408	ubiquitin-activating enzyme E1
TIGR01409	Tat (twin-arginine translocation) pathway signal sequence
TIGR01410	twin arginine-targeting protein translocase TatB
TIGR01411	twin arginine-targeting protein translocase, TatA/E family
TIGR01412	Tat-translocated enzyme
TIGR01413	Dyp-type peroxidase family
TIGR01414	outer membrane autotransporter barrel domain
TIGR01415	pyridoxal-phosphate dependent TrpB-like enzyme
TIGR01416	ubiquinol-cytochrome c reductase, iron-sulfur subunit
TIGR01417	phosphoenolpyruvate-protein phosphotransferase
TIGR01418	phosphoenolpyruvate synthase
TIGR01419	PTS IIA-like nitrogen-regulatory protein PtsN
TIGR01420	twitching motility protein
TIGR01421	glutathione-disulfide reductase
TIGR01422	phosphonoacetaldehyde hydrolase
TIGR01423	trypanothione-disulfide reductase
TIGR01424	glutathione-disulfide reductase
TIGR01425	signal recognition particle protein SRP54
TIGR01426	glycosyltransferase, MGT family
TIGR01427	PTS system, Fru family, IIC component
TIGR01428	haloacid dehalogenase, type II
TIGR01429	AMP deaminase
TIGR01430	adenosine deaminase
TIGR01431	adenosine deaminase-related growth factor
TIGR01432	cytochrome aa3 quinol oxidase, subunit II
TIGR01433	ubiquinol oxidase, subunit II
TIGR01434	glutamate--cysteine ligase
TIGR01435	glutamate--cysteine ligase/glutathione synthase
TIGR01436	glutamate--cysteine ligase
TIGR01437	uncharacterized pyridoxal phosphate-dependent enzyme
TIGR01438	thioredoxin and glutathione reductase
TIGR01439	transcriptional regulator, AbrB family
TIGR01440	TIGR01440 family protein
TIGR01441	GPR endopeptidase
TIGR01442	small, acid-soluble spore protein, gamma-type
TIGR01443	intein C-terminal splicing region
TIGR01444	methyltransferase, FkbM family
TIGR01445	intein N-terminal splicing region
TIGR01446	DnaD domain protein
TIGR01447	exodeoxyribonuclease V, alpha subunit
TIGR01448	helicase, RecD/TraA family
TIGR01449	phosphoglycolate phosphatase, bacterial
TIGR01450	exodeoxyribonuclease V, gamma subunit
TIGR01451	conserved repeat domain
TIGR01452	phosphoglycolate/pyridoxal phosphate phosphatase family
TIGR01453	group I intron endonuclease
TIGR01454	AHBA synthesis associated protein
TIGR01455	phosphoglucosamine mutase
TIGR01456	HAD hydrolase, TIGR01456 family
TIGR01457	HAD hydrolase, TIGR01457 family
TIGR01458	HAD hydrolase, TIGR01458 family
TIGR01459	HAD hydrolase, TIGR01459 family
TIGR01460	HAD hydrolase, family IIA
TIGR01461	transcription elongation factor GreB
TIGR01462	transcription elongation factor GreA
TIGR01463	methyltransferase, MtaA/CmuA family
TIGR01464	uroporphyrinogen decarboxylase
TIGR01465	precorrin-4 C11-methyltransferase
TIGR01466	precorrin-3B C17-methyltransferase
TIGR01467	precorrin-2 C(20)-methyltransferase
TIGR01469	uroporphyrinogen-III C-methyltransferase
TIGR01470	siroheme synthase, N-terminal domain
TIGR01472	GDP-mannose 4,6-dehydratase
TIGR01473	protoheme IX farnesyltransferase
TIGR01474	4-hydroxybenzoate polyprenyl transferase
TIGR01475	putative 4-hydroxybenzoate polyprenyltransferase
TIGR01476	bacteriochlorophyll/chlorophyll synthetase
TIGR01477	variant surface antigen, rifin family
TIGR01478	variant surface antigen, stevor family
TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
TIGR01480	copper-resistance protein, CopA family
TIGR01481	catabolite control protein A
TIGR01482	sucrose-phosphate phosphatase subfamily
TIGR01484	HAD hydrolase, family IIB
TIGR01485	sucrose phosphatase
TIGR01486	mannosyl-3-phosphoglycerate phosphatase family
TIGR01487	phosphoglycolate phosphatase, TA0175-type
TIGR01488	HAD phosphoserine phosphatase-like hydrolase, family IB
TIGR01489	2,3-diketo-5-methylthio-1-phosphopentane phosphatase
TIGR01490	HAD hydrolase, family IB
TIGR01491	phosphoserine phosphatase-like hydrolase, archaeal
TIGR01492	Plasmodium falciparum CPW-WPC domain
TIGR01493	HAD hydrolase, family IA, variant 2
TIGR01494	HAD ATPase, P-type, family IC
TIGR01495	early transcribed membrane protein (ETRAMP) family
TIGR01496	dihydropteroate synthase
TIGR01497	K+-transporting ATPase, B subunit
TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
TIGR01499	bifunctional protein FolC
TIGR01500	sepiapterin reductase
TIGR01501	methylaspartate mutase, S subunit
TIGR01502	methylaspartate ammonia-lyase
TIGR01503	methylaspartate mutase, E subunit
TIGR01504	glyoxylate carboligase
TIGR01505	2-hydroxy-3-oxopropionate reductase
TIGR01506	riboflavin synthase
TIGR01507	squalene-hopene cyclase
TIGR01508	diaminohydroxyphosphoribosylaminopyrimidine reductase
TIGR01509	HAD hydrolase, family IA, variant 3
TIGR01510	pantetheine-phosphate adenylyltransferase
TIGR01511	copper-translocating P-type ATPase
TIGR01512	cadmium-translocating P-type ATPase
TIGR01513	nicotinate phosphoribosyltransferase
TIGR01514	nicotinate phosphoribosyltransferase
TIGR01515	1,4-alpha-glucan branching enzyme
TIGR01517	calcium-translocating P-type ATPase, PMCA-type
TIGR01518	glycerol-3-phosphate cytidylyltransferase
TIGR01519	Plasmodium falciparum uncharacterized domain
TIGR01520	fructose-bisphosphate aldolase, class II
TIGR01521	fructose-bisphosphate aldolase, class II, Calvin cycle subtype
TIGR01522	calcium-transporting P-type ATPase, PMR1-type
TIGR01523	potassium/sodium efflux P-type ATPase, fungal-type
TIGR01524	magnesium-translocating P-type ATPase
TIGR01525	heavy metal translocating P-type ATPase
TIGR01526	nicotinamide-nucleotide adenylyltransferase
TIGR01527	nicotinamide-nucleotide adenylyltransferase
TIGR01528	nicotinamide mononucleotide transporter PnuC
TIGR01529	arginine repressor
TIGR01530	NAD nucleotidase
TIGR01531	glycogen debranching enzyme
TIGR01532	erythrose-4-phosphate dehydrogenase
TIGR01533	5'-nucleotidase, lipoprotein e(P4) family
TIGR01534	glyceraldehyde-3-phosphate dehydrogenase, type I
TIGR01535	glucan 1,4-alpha-glucosidase
TIGR01536	asparagine synthase (glutamine-hydrolyzing)
TIGR01537	phage portal protein, HK97 family
TIGR01538	phage portal protein, SPP1 family
TIGR01539	phage portal protein, lambda family
TIGR01540	phage portal protein, PBSX family
TIGR01541	phage tail tape measure protein, lambda family
TIGR01542	phage portal protein, putative, A118 family
TIGR01543	phage prohead protease, HK97 family
TIGR01544	HAD hydrolase, family IE
TIGR01545	HAD hydrolase, family IF
TIGR01546	glyceraldehyde-3-phosphate dehydrogenase, type II
TIGR01547	phage terminase, large subunit, PBSX family
TIGR01548	HAD hydrolase, TIGR01548 family
TIGR01549	HAD hydrolase, family IA, variant 1
TIGR01550	death-on-curing family protein
TIGR01551	phage major capsid protein, P2 family
TIGR01552	prevent-host-death family protein
TIGR01553	formate dehydrogenase-N alpha subunit
TIGR01554	phage major capsid protein, HK97 family
TIGR01555	phage-associated protein, HI1409 family
TIGR01556	rhamnosyltransferase
TIGR01557	myb-like DNA-binding domain, SHAQKYF class
TIGR01558	putative phage terminase, small subunit, P27 family
TIGR01559	farnesyl-diphosphate farnesyltransferase
TIGR01560	uncharacterized phage protein (possible DNA packaging)
TIGR01561	putative glycogen debranching enzyme, archaeal type
TIGR01562	formate dehydrogenase accessory protein FdhE
TIGR01563	putative phage head-tail adaptor
TIGR01564	S-layer protein
TIGR01565	homeobox domain, ZF-HD class
TIGR01566	ZF-HD homeobox protein Cys/His-rich dimerization domain
TIGR01567	S-layer family duplication domain
TIGR01568	uncharacterized plant-specific domain TIGR01568
TIGR01569	plant integral membrane protein TIGR01569
TIGR01570	uncharacterized plant-specific domain TIGR01570
TIGR01571	uncharacterized Cys-rich domain
TIGR01572	Arabidopsis paralogous family TIGR01572
TIGR01573	CRISPR-associated endonuclease Cas2
TIGR01574	tRNA-i(6)A37 thiotransferase enzyme MiaB
TIGR01575	ribosomal-protein-alanine acetyltransferase
TIGR01577	oligosaccharide amylase
TIGR01578	MiaB-like tRNA modifying enzyme, archaeal-type
TIGR01579	MiaB-like tRNA modifying enzyme
TIGR01580	nitrate reductase, alpha subunit
TIGR01581	NifC-like ABC-type porter
TIGR01582	formate dehydrogenase, beta subunit
TIGR01583	formate dehydrogenase, gamma subunit
TIGR01584	citrate lyase, alpha subunit
TIGR01586	cysteine protease domain, YopT-type
TIGR01587	CRISPR-associated helicase Cas3
TIGR01588	citrate (pro-3S)-lyase, beta subunit
TIGR01589	uncharacterized plant-specific domain TIGR01589
TIGR01590	yir/bir/cir-family of variant antigens
TIGR01591	formate dehydrogenase, alpha subunit
TIGR01592	holin, SPP1 family
TIGR01593	toxin secretion/phage lysis holin
TIGR01594	phage holin, lambda family
TIGR01595	CRISPR-associated protein, CT1132 family
TIGR01596	CRISPR-associated endonuclease Cas3-HD
TIGR01597	Plasmodium yoelii subtelomeric family PYST-B
TIGR01598	holin, phage phi LC3 family
TIGR01599	Plasmodium yoelii subtelomeric family PYST-A
TIGR01600	phage minor tail protein L
TIGR01601	Plasmodium yoelii subtelomeric domain PYST-C1
TIGR01602	Plasmodium yoelii repeat of length 46
TIGR01603	phage major tail protein, phi13 family
TIGR01604	Plasmodium yoelii subtelomeric domain PYST-C2
TIGR01605	Plasmodium yoelii subtelomeric family PYST-D
TIGR01606	holin, BlyA family
TIGR01607	Plasmodium subtelomeric family
TIGR01608	citrate lyase acyl carrier protein
TIGR01609	Plasmodium falciparum uncharacterized protein TIGR01609
TIGR01610	phage replication protein O, N-terminal domain
TIGR01611	phage major tail tube protein
TIGR01612	rhoptry protein
TIGR01613	phage/plasmid primase, P4 family, C-terminal domain
TIGR01614	pectinesterase inhibitor domain
TIGR01615	uncharacterized plant-specific domain TIGR01615
TIGR01616	nitrogenase-associated protein
TIGR01617	transcriptional regulator, Spx/MgsR family
TIGR01618	phage nucleotide-binding protein
TIGR01619	TIGR01619 family protein
TIGR01620	TIGR01620 family protein
TIGR01621	pseudouridine synthase Rlu family protein, TIGR01621
TIGR01622	splicing factor, CC1-like family
TIGR01623	putative zinc finger domain, LRP1 type
TIGR01624	LRP1 C-terminal domain
TIGR01625	AspT/YidE/YbjL antiporter duplication domain
TIGR01626	conserved hypothetical protein YtfJ-family, TIGR01626
TIGR01627	uncharacterized plant-specific domain TIGR01627
TIGR01628	polyadenylate binding protein, human types 1, 2, 3, 4 family
TIGR01629	phage/plasmid replication protein, gene II/X family
TIGR01630	phage uncharacterized protein, C-terminal domain
TIGR01631	trypanosome RHS family
TIGR01632	ribosomal protein L11
TIGR01633	putative phage tail component, N-terminal domain
TIGR01634	phage tail protein I
TIGR01635	phage virion morphogenesis protein
TIGR01636	phage transcriptional regulator, RinA family
TIGR01637	phage transcriptional regulator, ArpU family
TIGR01638	Arabidopsis thaliana cystatin-related protein
TIGR01639	Plasmodium falciparum uncharacterized domain TIGR01639
TIGR01640	F-box protein interaction domain
TIGR01641	phage head morphogenesis protein, SPP1 gp7 family
TIGR01642	U2 snRNP auxilliary factor, large subunit, splicing factor
TIGR01643	YD repeat (two copies)
TIGR01644	phage baseplate assembly protein V
TIGR01645	poly-U binding splicing factor, half-pint family
TIGR01646	Rhs element Vgr protein
TIGR01647	plasma-membrane proton-efflux P-type ATPase
TIGR01648	hnRNP-R, Q splicing factor family
TIGR01649	hnRNP-L/PTB/hephaestus splicing factor family
TIGR01650	cobaltochelatase, CobS subunit
TIGR01651	cobaltochelatase, CobT subunit
TIGR01652	phospholipid-translocating P-type ATPase, flippase
TIGR01653	bacteriocin, lactococcin 972 family
TIGR01654	bacteriocin-associated integral membrane protein
TIGR01655	conserved hypothetical protein
TIGR01656	histidinol-phosphate phosphatase domain
TIGR01657	P-type ATPase of unknown pump specificity (type V)
TIGR01658	EYA conserved domain
TIGR01659	sex-lethal family splicing factor
TIGR01660	nitrate reductase, beta subunit
TIGR01661	ELAV/HuD family splicing factor
TIGR01662	HAD hydrolase, family IIIA
TIGR01663	polynucleotide kinase 3'-phosphatase
TIGR01664	DNA 3'-phosphatase
TIGR01665	phage minor structural protein, N-terminal region
TIGR01666	TIGR01666 family membrane protein
TIGR01667	integral membrane protein, YccS/YhfK family
TIGR01668	HAD phosphatase, family IIIA
TIGR01669	phage uncharacterized protein, XkdX family
TIGR01670	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase, YrbI family
TIGR01671	phage conserved hypothetical protein TIGR01671
TIGR01672	HAD phosphatase, family IIIB
