name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Arachnia	2801844	G	17	0	17	0.00000
Naumannella	1294511	G	14	0	14	0.00000
Vaginimicrobium	2919589	G	12	0	12	0.00000
Kribbella	182639	G	417	4	421	0.00006
Actinopolymorpha	117156	G	13	0	13	0.00000
Nonomuraea	83681	G	494	14	508	0.00007
Streptosporangium	2000	G	257	7	264	0.00004
Microbispora	2005	G	159	6	165	0.00002
Microtetraspora	1995	G	51	2	53	0.00001
Sphaerisporangium	321315	G	34	0	34	0.00000
Sphaerimonospora	1792303	G	29	1	30	0.00000
Actinomadura	1988	G	337	14	351	0.00005
Spirillospora	58122	G	105	6	111	0.00002
Actinoallomurus	667113	G	91	2	93	0.00001
Thermomonospora	2019	G	60	2	62	0.00001
Nocardiopsis	2013	G	123	4	127	0.00002
Thermobifida	83677	G	61	1	62	0.00001
Streptomonospora	104204	G	31	5	36	0.00000
Spiractinospora	2913367	G	10	0	10	0.00000
Blastococcus	38501	G	113	1	114	0.00002
Geodermatophilus	1860	G	52	0	52	0.00001
Modestobacter	88138	G	24	0	24	0.00000
Frankia	1854	G	90	4	94	0.00001
Parafrankia	2994362	G	37	2	39	0.00001
Pseudofrankia	2994363	G	18	0	18	0.00000
Protofrankia	2994361	G	17	0	17	0.00000
Kineococcus	33981	G	92	1	93	0.00001
Angustibacter	908626	G	16	0	16	0.00000
Nakamurella	53460	G	86	0	86	0.00001
Candidatus Planktophila	622681	G	51	0	51	0.00001
Jiangella	281472	G	59	0	59	0.00001
Stackebrandtia	283810	G	38	0	38	0.00001
Natronoglycomyces	2838311	G	15	0	15	0.00000
Catenulispora	414878	G	33	0	33	0.00000
Jatrophihabitans	1434010	G	20	0	20	0.00000
Actinopolyspora	1849	G	15	0	15	0.00000
Collinsella	102106	G	107535	1809	109344	0.01491
Enorma	1472762	G	167	3	170	0.00002
Coriobacterium	33870	G	23	0	23	0.00000
Parolsenella	2082587	G	428	15	443	0.00006
Olsenella	133925	G	289	22	311	0.00004
Thermophilibacter	2847307	G	213	20	233	0.00003
Parafannyhessea	2847312	G	139	12	151	0.00002
Atopobium	1380	G	109	2	111	0.00002
Lancefieldella	2767353	G	107	1	108	0.00001
Fannyhessea	2767327	G	70	2	72	0.00001
Leptogranulimonas	2995122	G	72	0	72	0.00001
Adlercreutzia	447020	G	14889	380	15269	0.00208
Eggerthella	84111	G	3233	78	3311	0.00045
Gordonibacter	644652	G	1297	42	1339	0.00018
Slackia	84108	G	343	0	343	0.00005
Berryella	2815775	G	185	2	187	0.00003
Raoultibacter	1926677	G	180	0	180	0.00002
Arabiibacter	2005386	G	161	1	162	0.00002
Xiamenia	2981344	G	113	0	113	0.00002
Denitrobacterium	79603	G	90	1	91	0.00001
Cryptobacterium	84162	G	51	0	51	0.00001
Phoenicibacter	1981050	G	50	1	51	0.00001
Iamia	467975	G	42	1	43	0.00001
Aquihabitans	1648491	G	34	1	35	0.00000
Actinomarinicola	2789775	G	28	1	29	0.00000
Dermatobacter	3075137	G	20	0	20	0.00000
Candidatus Poriferisodalis	2983190	G	126	1	127	0.00002
Candidatus Poriferisocius	2983186	G	93	1	94	0.00001
Ilumatobacter	682522	G	36	0	36	0.00000
Salinilacustrithrix	3436875	G	17	0	17	0.00000
Baekduia	2600304	G	60	1	61	0.00001
Svornostia	3231543	G	44	0	44	0.00001
Conexibacter	191494	G	87	1	88	0.00001
Paraconexibacter	2758920	G	72	1	73	0.00001
Capillimicrobium	2976759	G	45	0	45	0.00001
Miltoncostaea	2843200	G	37	0	37	0.00001
Rubrobacter	42255	G	144	0	144	0.00002
Euzebya	908623	G	44	0	44	0.00001
Egicoccus	1755825	G	17	0	17	0.00000
Egibacter	1747770	G	12	0	12	0.00000
Synechococcus	1129	G	507	14	521	0.00007
Prochlorococcus	1218	G	134	2	136	0.00002
Cyanobium	167375	G	83	6	89	0.00001
Synechocystis	1142	G	48	33	81	0.00001
Altericista	2855430	G	20	0	20	0.00000
Nostoc	1177	G	270	0	270	0.00004
Anabaena	1163	G	68	27	95	0.00001
Trichormus	264688	G	40	203	243	0.00003
Dolichospermum	748770	G	28	5	33	0.00000
Sphaerospermopsis	752201	G	21	0	21	0.00000
Okeanomitos	3231549	G	19	0	19	0.00000
Cylindrospermopsis	77021	G	16	0	16	0.00000
Calothrix	1186	G	55	0	55	0.00001
Halotia	1620790	G	10	0	10	0.00000
Brasilonema	383614	G	19	0	19	0.00000
Chlorogloeopsis	1123	G	12	0	12	0.00000
Tolypothrix	111782	G	10	0	10	0.00000
Crocosphaera	263510	G	37	0	37	0.00001
Gloeothece	28070	G	27	0	27	0.00000
Candidatus Atelocyanobacterium	1453359	G	14	0	14	0.00000
Rippkaea	2546365	G	10	0	10	0.00000
Geminocystis	669357	G	53	0	53	0.00001
Picosynechococcus	3079908	G	15	0	15	0.00000
Cyanobacterium	102234	G	13	0	13	0.00000
Gloeocapsopsis	693222	G	29	0	29	0.00000
Gloeocapsa	102231	G	10	0	10	0.00000
Microcystis	1125	G	27	1	28	0.00000
Halothece	76023	G	12	0	12	0.00000
Planktothrix	54304	G	35	0	35	0.00000
Trichodesmium	1205	G	16	0	16	0.00000
Microcoleus	44471	G	11	0	11	0.00000
Phormidium	1198	G	23	0	23	0.00000
Planktothricoides	132607	G	15	0	15	0.00000
Oxynema	1492710	G	12	0	12	0.00000
Capilliphycus	2768926	G	29	0	29	0.00000
Limnospira	2596745	G	25	0	25	0.00000
Leptolyngbya	47251	G	98	1	99	0.00001
Leptothermofonsia	2917830	G	20	0	20	0.00000
Trichothermofontia	3045815	G	21	0	21	0.00000
Trichocoleus	450526	G	19	0	19	0.00000
Thermosynechococcus	146785	G	43	1	44	0.00001
Acaryochloris	155977	G	38	0	38	0.00001
Gloeobacter	33071	G	77	2	79	0.00001
Stanieria	102115	G	41	0	41	0.00001
Pleurocapsa	44474	G	33	0	33	0.00000
Pseudanabaena	1152	G	74	0	74	0.00001
Egbenema	3079668	G	19	0	19	0.00000
Thermoleptolyngbya	2303528	G	17	0	17	0.00000
Thermocoleostomius	3065395	G	16	0	16	0.00000
Chroococcidiopsis	54298	G	37	0	37	0.00001
Moorena	1155738	G	20	0	20	0.00000
Allocoleopsis	2886347	G	13	0	13	0.00000
Halomicronema	170610	G	15	0	15	0.00000
Nodosilinea	1120752	G	12	0	12	0.00000
Chamaesiphon	217161	G	23	0	23	0.00000
Geitlerinema	63132	G	23	0	23	0.00000
Malacoplasma	2791001	G	512	0	512	0.00007
Mycoplasmopsis	2767358	G	182	2	184	0.00003
Mesomycoplasma	2923352	G	70	0	70	0.00001
Metamycoplasma	2895509	G	41	0	41	0.00001
Spiroplasma	2132	G	201	6	207	0.00003
Mesoplasma	46239	G	28	3	31	0.00000
Williamsoniiplasma	2919614	G	10	1	11	0.00000
Mycoplasma	2093	G	183	6	189	0.00003
Acholeplasma	2147	G	44	0	44	0.00001
Candidatus Phytoplasma	33926	G	20	0	20	0.00000
Haploplasma	2903106	G	15	0	15	0.00000
Mariniplasma	2903100	G	12	0	12	0.00000
Hujiaoplasma	3078171	G	11	0	11	0.00000
Dehalogenimonas	670486	G	63	0	63	0.00001
Dehalococcoides	61434	G	51	2	53	0.00001
Roseiflexus	120961	G	41	0	41	0.00001
Chloroflexus	1107	G	23	0	23	0.00000
Candidatus Chlorohelix	3139173	G	24	0	24	0.00000
Pelolinea	1649478	G	44	0	44	0.00001
Anaerolinea	233189	G	30	0	30	0.00000
Candidatus Brevifilum	2019482	G	12	0	12	0.00000
Candidatus Promineifilum	1988031	G	47	0	47	0.00001
Candidatus Leptofilum	3140596	G	25	0	25	0.00000
Tepidiforma	2682228	G	43	0	43	0.00001
Thermoflexus	1495649	G	30	0	30	0.00000
Caldilinea	233191	G	19	0	19	0.00000
Ktedonosporobacter	2692417	G	17	0	17	0.00000
Phototrophicus	2922426	G	13	0	13	0.00000
Capsulimonas	2494209	G	57	0	57	0.00001
Chthonomonas	1077265	G	25	0	25	0.00000
Fimbriimonas	1005038	G	16	0	16	0.00000
Vulcanimicrobium	3016049	G	11	0	11	0.00000
Bacteroides	816	G	1376407	212323	1588730	0.21663
Phocaeicola	909656	G	699420	143791	843211	0.11497
Alistipes	239759	G	332443	41687	374130	0.05101
Acetobacteroides	1647173	G	26	0	26	0.00000
Odoribacter	283168	G	85608	11241	96849	0.01321
Butyricimonas	574697	G	63189	3383	66572	0.00908
Parabacteroides	375288	G	145563	27405	172968	0.02358
Tannerella	195950	G	121	3	124	0.00002
Paraprevotella	577309	G	11148	738	11886	0.00162
Prevotella	838	G	1004	30	1034	0.00014
Segatella	2974251	G	815	22	837	0.00011
Pseudoprevotella	2884814	G	29	0	29	0.00000
Hoylesella	2974257	G	25	2	27	0.00000
Xylanibacter	558436	G	24	0	24	0.00000
Barnesiella	397864	G	795	37	832	0.00011
Coprobacter	1348911	G	447	32	479	0.00007
Muribaculum	1918540	G	326	25	351	0.00005
Paramuribaculum	2518497	G	166	11	177	0.00002
Duncaniella	2518495	G	157	6	163	0.00002
Sodaliphilus	2815786	G	134	3	137	0.00002
Porphyromonas	836	G	624	22	646	0.00009
Dysgonomonas	156973	G	149	1	150	0.00002
Petrimonas	307628	G	82	1	83	0.00001
Proteiniphilum	294702	G	45	0	45	0.00001
Limibacterium	3404873	G	30	0	30	0.00000
Paludibacter	346096	G	42	0	42	0.00001
Candidatus Azobacteroides	511434	G	18	0	18	0.00000
Tenuifilum	2760873	G	18	0	18	0.00000
Salinivirga	1970191	G	12	0	12	0.00000
Draconibacterium	1471399	G	251	5	256	0.00003
Gaoshiqia	3045890	G	80	1	81	0.00001
Maribellus	2678352	G	75	2	77	0.00001
Aquipluma	2792393	G	69	0	69	0.00001
Halosquirtibacter	3374594	G	55	1	56	0.00001
Mangrovibacterium	1573808	G	42	3	45	0.00001
Marinifilum	866673	G	118	1	119	0.00002
Labilibaculum	2060722	G	118	2	120	0.00002
Alkalitalea	1193324	G	42	9	51	0.00001
Xiashengella	3129724	G	24	8	32	0.00000
Flavobacterium	237	G	2661	121	2782	0.00038
Polaribacter	52959	G	388	34	422	0.00006
Flagellimonas	444459	G	279	38	317	0.00004
Tenacibaculum	104267	G	273	25	298	0.00004
Capnocytophaga	1016	G	212	5	217	0.00003
Winogradskyella	286104	G	208	25	233	0.00003
Maribacter	252356	G	184	17	201	0.00003
Aquimarina	290174	G	182	4	186	0.00003
Christiangramia	292691	G	126	7	133	0.00002
Nonlabens	363408	G	115	9	124	0.00002
Formosa	225842	G	106	11	117	0.00002
Myroides	76831	G	96	9	105	0.00001
Aequorivita	153265	G	87	6	93	0.00001
Antarcticibacterium	2058174	G	81	6	87	0.00001
Zunongwangia	417127	G	78	20	98	0.00001
Zobellia	112040	G	76	3	79	0.00001
Cellulophaga	104264	G	69	5	74	0.00001
Flavivirga	1209327	G	67	2	69	0.00001
Algibacter	261827	G	60	9	69	0.00001
Kordia	221065	G	57	1	58	0.00001
Allomuricauda	111500	G	52	4	56	0.00001
Salegentibacter	143222	G	50	22	72	0.00001
Lacinutrix	291183	G	45	6	51	0.00001
Mariniflexile	527198	G	39	5	44	0.00001
Aestuariibaculum	1386924	G	35	2	37	0.00001
Sinomicrobium	1434045	G	33	0	33	0.00000
Leeuwenhoekiella	283735	G	32	7	39	0.00001
Oceanihabitans	2045416	G	32	8	40	0.00001
Lutibacter	358023	G	28	1	29	0.00000
Arenibacter	178469	G	28	3	31	0.00000
Mangrovimonas	1211036	G	28	1	29	0.00000
Dokdonia	326319	G	27	0	27	0.00000
Seonamhaeicola	1649495	G	26	1	27	0.00000
Gillisia	244698	G	26	7	33	0.00000
Hwangdonia	1649460	G	24	3	27	0.00000
Pontimicrobium	2918913	G	24	1	25	0.00000
Amniculibacterium	2715289	G	24	13	37	0.00001
Aureibaculum	2706948	G	24	1	25	0.00000
Olleya	336276	G	24	3	27	0.00000
Zhouia	561555	G	22	2	24	0.00000
Vaginella	1935184	G	22	9	31	0.00000
Salinimicrobium	561367	G	21	0	21	0.00000
Patiriisocius	2822394	G	19	0	19	0.00000
Euzebyella	1287916	G	19	6	25	0.00000
Allotamlana	3400365	G	19	1	20	0.00000
Pukyongia	2831916	G	18	0	18	0.00000
Candidatus Arcticimaribacter	2953860	G	18	1	19	0.00000
Aggregatimonas	2913017	G	17	0	17	0.00000
Psychroserpens	49277	G	17	6	23	0.00000
Psychroflexus	83612	G	17	0	17	0.00000
Constantimarinum	2907134	G	17	0	17	0.00000
Daejeonia	2027867	G	16	6	22	0.00000
Abyssalbus	2967089	G	15	0	15	0.00000
Siansivirga	1204360	G	14	1	15	0.00000
Ulvibacterium	2665910	G	14	0	14	0.00000
Bizionia	283785	G	13	1	14	0.00000
Thalassobellus	3400333	G	12	1	13	0.00000
Galbibacter	379068	G	12	0	12	0.00000
Pseudalgibacter	2861660	G	10	1	11	0.00000
Chryseobacterium	59732	G	1330	74	1404	0.00019
Kaistella	2782231	G	115	5	120	0.00002
Epilithonimonas	2782229	G	40	6	46	0.00001
Elizabethkingia	308865	G	190	15	205	0.00003
Riemerella	34084	G	58	3	61	0.00001
Apibacter	1778601	G	52	0	52	0.00001
Empedobacter	59734	G	45	6	51	0.00001
Ornithobacterium	28250	G	42	1	43	0.00001
Bergeyella	59735	G	29	1	30	0.00000
Cloacibacterium	501783	G	24	6	30	0.00000
Faecalibacter	2766734	G	24	1	25	0.00000
Weeksella	1013	G	16	4	20	0.00000
Blattabacterium	34098	G	148	1	149	0.00002
Fluviicola	332102	G	33	0	33	0.00000
Paracrocinitomix	3024544	G	29	0	29	0.00000
Parvicella	2975260	G	22	0	22	0.00000
Sanyastnella	3228946	G	14	0	14	0.00000
Hymenobacter	89966	G	658	6	664	0.00009
Pontibacter	323449	G	162	3	165	0.00002
Rufibacter	1379908	G	49	2	51	0.00001
Adhaeribacter	299566	G	31	0	31	0.00000
Nibribacter	1649474	G	11	0	11	0.00000
Echinicola	390846	G	213	21	234	0.00003
Algoriphagus	246875	G	141	12	153	0.00002
Cyclobacterium	68288	G	44	4	48	0.00001
Mongoliitalea	1511649	G	30	1	31	0.00000
Aquiflexum	280472	G	17	1	18	0.00000
Dyadobacter	120831	G	198	9	207	0.00003
Runella	105	G	65	1	66	0.00001
Larkinella	332157	G	33	1	34	0.00000
Tellurirhabdus	2674996	G	24	2	26	0.00000
Fibrella	861914	G	22	1	23	0.00000
Spirosoma	107	G	265	3	268	0.00004
Cytophaga	978	G	14	0	14	0.00000
Flammeovirga	59739	G	61	2	63	0.00001
Chondrinema	3051458	G	55	4	59	0.00001
Imperialibacter	1649461	G	31	2	33	0.00000
Reichenbachiella	156993	G	68	2	70	0.00001
Ekhidna	447678	G	41	2	43	0.00001
Fulvivirga	396811	G	73	4	77	0.00001
Chryseolinea	1433993	G	22	2	24	0.00000
Aureibacter	1097443	G	49	1	50	0.00001
Persicobacter	59740	G	34	1	35	0.00000
Fulvitalea	1434007	G	14	0	14	0.00000
Marivirga	869806	G	92	10	102	0.00001
Bernardetia	1937972	G	77	0	77	0.00001
Arcticibacterium	2173039	G	32	0	32	0.00000
Emticicia	312278	G	23	0	23	0.00000
Marinilongibacter	2975149	G	11	0	11	0.00000
Roseivirga	290180	G	58	3	61	0.00001
Catalinimonas	1522128	G	23	0	23	0.00000
Tunicatimonas	1077254	G	16	0	16	0.00000
Rhodocytophaga	455076	G	32	0	32	0.00000
Aquirufa	2676247	G	13	0	13	0.00000
Mangrovivirga	2858886	G	12	0	12	0.00000
Mucilaginibacter	423349	G	669	3	672	0.00009
Sphingobacterium	28453	G	610	17	627	0.00009
Pedobacter	84567	G	601	5	606	0.00008
Olivibacter	376469	G	67	5	72	0.00001
Solitalea	929509	G	34	0	34	0.00000
Arcticibacter	1288026	G	22	0	22	0.00000
Anseongella	1773450	G	21	0	21	0.00000
Pseudopedobacter	1649482	G	15	0	15	0.00000
Aurantibacillus	3088889	G	21	0	21	0.00000
Chitinophaga	79328	G	453	6	459	0.00006
Arachidicoccus	1769012	G	94	1	95	0.00001
Niabella	379899	G	75	1	76	0.00001
Paraflavitalea	2698688	G	57	1	58	0.00001
Sediminibacterium	504481	G	40	0	40	0.00001
Lacibacter	649461	G	36	0	36	0.00000
Flavisolibacter	398041	G	34	0	34	0.00000
Flavihumibacter	1004301	G	24	0	24	0.00000
Puia	2045098	G	24	0	24	0.00000
Ferruginibacter	1004303	G	21	0	21	0.00000
Phnomibacter	2836216	G	19	0	19	0.00000
Niastella	354354	G	15	0	15	0.00000
Filimonas	649460	G	14	0	14	0.00000
Pseudobacter	1860196	G	14	0	14	0.00000
Panacibacter	1874621	G	14	0	14	0.00000
Saprospira	1007	G	31	0	31	0.00000
Aureispira	365032	G	23	0	23	0.00000
Haliscomenobacter	2349	G	25	0	25	0.00000
Phaeodactylibacter	1564515	G	17	0	17	0.00000
Neolewinella	2993541	G	22	0	22	0.00000
Lewinella	70994	G	12	0	12	0.00000
Candidatus Sulfidibacterium	2923290	G	29	0	29	0.00000
Chlorobium	1091	G	76	0	76	0.00001
Pelodictyon	1099	G	37	0	37	0.00001
Prosthecochloris	1101	G	80	0	80	0.00001
Chlorobaculum	256319	G	53	0	53	0.00001
Rhodothermus	29548	G	41	0	41	0.00001
Rhodocaloribacter	2893090	G	28	1	29	0.00000
Rubrivirga	1434037	G	69	2	71	0.00001
Salinibacter	146918	G	41	0	41	0.00001
Ignavibacterium	795750	G	71	0	71	0.00001
Melioribacter	1134403	G	10	0	10	0.00000
Cyclonatronum	2489367	G	28	0	28	0.00000
Gracilimonas	649462	G	27	0	27	0.00000
Gemmatimonas	173479	G	88	0	88	0.00001
Gemmatirosa	1706036	G	53	1	54	0.00001
Pseudogemmatithrix	3237678	G	18	0	18	0.00000
Candidatus Palauibacter	3056650	G	54	0	54	0.00001
Gaopeijia	3381669	G	10	0	10	0.00000
Fibrobacter	832	G	62	0	62	0.00001
Candidatus Cloacimonas	456826	G	14	0	14	0.00000
Fidelibacter	3377528	G	12	0	12	0.00000
Salmonella	590	G	4227	31881	36108	0.00492
Klebsiella	570	G	3119	3038	6157	0.00084
Raoultella	160674	G	76	12	88	0.00001
Enterobacter	547	G	2011	6299	8310	0.00113
Escherichia	561	G	1019	3593	4612	0.00063
Citrobacter	544	G	328	23	351	0.00005
Kosakonia	1330547	G	155	2	157	0.00002
Cronobacter	413496	G	132	2	134	0.00002
Leclercia	83654	G	110	10	120	0.00002
Cedecea	158483	G	91	1	92	0.00001
Pluralibacter	1330546	G	68	1	69	0.00001
Candidatus Blochmanniella	203804	G	20	9	29	0.00000
Symbiopectobacterium	801	G	13	0	13	0.00000
Siccibacter	1649298	G	54	0	54	0.00001
Kluyvera	579	G	48	1	49	0.00001
Buttiauxella	82976	G	38	35	73	0.00001
Jejubacter	2815296	G	33	0	33	0.00000
Superficieibacter	2303321	G	32	0	32	0.00000
Phytobacter	447792	G	30	3	33	0.00000
Franconibacter	1649295	G	29	0	29	0.00000
Lelliottia	1330545	G	27	0	27	0.00000
Plesiomonas	702	G	24	0	24	0.00000
Candidatus Profftia	1177214	G	21	0	21	0.00000
Shimwellia	1335483	G	20	0	20	0.00000
Pseudocitrobacter	1504576	G	17	0	17	0.00000
Atlantibacter	1903434	G	16	0	16	0.00000
Yokenella	158876	G	15	0	15	0.00000
Pseudescherichia	2055880	G	14	0	14	0.00000
Scandinavium	2726810	G	14	0	14	0.00000
Shigella	620	G	10	8	18	0.00000
Serratia	613	G	1821	66	1887	0.00026
Yersinia	629	G	1703	73	1776	0.00024
Rahnella	34037	G	139	2	141	0.00002
Rouxiella	1565532	G	46	0	46	0.00001
Nissabacter	1964366	G	33	0	33	0.00000
Chimaeribacter	2716544	G	19	0	19	0.00000
Gibbsiella	929812	G	17	0	17	0.00000
Chania	1745211	G	17	0	17	0.00000
Ewingella	41201	G	16	0	16	0.00000
Pantoea	53335	G	577	19	596	0.00008
Buchnera	32199	G	347	1	348	0.00005
Erwinia	551	G	283	12	295	0.00004
Mixta	2100764	G	55	6	61	0.00001
Tatumella	82986	G	53	0	53	0.00001
Duffyella	3026546	G	23	2	25	0.00000
Winslowiella	2997349	G	20	1	21	0.00000
Paramixta	3231896	G	12	0	12	0.00000
Proteus	583	G	256	15	271	0.00004
Providencia	586	G	196	30	226	0.00003
Xenorhabdus	626	G	177	1	178	0.00002
Arsenophonus	637	G	152	0	152	0.00002
Morganella	581	G	87	2	89	0.00001
Photorhabdus	29487	G	35	0	35	0.00000
Moellerella	158848	G	10	1	11	0.00000
Pectobacterium	122277	G	285	5	290	0.00004
Dickeya	204037	G	184	2	186	0.00003
Brenneria	71655	G	46	10	56	0.00001
Lonsdalea	1082702	G	26	0	26	0.00000
Edwardsiella	635	G	113	2	115	0.00002
Hafnia	568	G	49	3	52	0.00001
Obesumbacterium	82982	G	10	5	15	0.00000
Sodalis	84565	G	142	0	142	0.00002
Gallaecimonas	745410	G	55	0	55	0.00001
Leminorella	82980	G	23	0	23	0.00000
Pseudomonas	286	G	8635	393	9028	0.00123
Stutzerimonas	2901164	G	308	52	360	0.00005
Halopseudomonas	2901189	G	189	14	203	0.00003
Metapseudomonas	3236656	G	92	14	106	0.00001
Ectopseudomonas	3236654	G	71	40	111	0.00002
Aquipseudomonas	3236652	G	70	17	87	0.00001
Azotobacter	352	G	21	5	26	0.00000
Entomomonas	2758906	G	17	0	17	0.00000
Phytopseudomonas	3236657	G	15	3	18	0.00000
Geopseudomonas	3236655	G	12	2	14	0.00000
Denitrificimonas	2901261	G	11	0	11	0.00000
Thiopseudomonas	1654787	G	10	0	10	0.00000
Marinobacter	2742	G	474	5	479	0.00007
Xanthomonas	338	G	2532	1101	3633	0.00050
Stenotrophomonas	40323	G	855	48	903	0.00012
Lysobacter	68	G	338	3	341	0.00005
Pseudoxanthomonas	83618	G	269	4	273	0.00004
Luteimonas	83614	G	183	1	184	0.00003
Thermomonas	141948	G	46	0	46	0.00001
Marilutibacter	3382698	G	25	0	25	0.00000
Xylella	2370	G	23	0	23	0.00000
Agrilutibacter	3382696	G	23	0	23	0.00000
Solilutibacter	3382695	G	16	0	16	0.00000
Pseudoluteimonas	3382694	G	13	0	13	0.00000
Dyella	231454	G	216	15	231	0.00003
Luteibacter	242605	G	157	6	163	0.00002
Rhodanobacter	75309	G	102	12	114	0.00002
Tahibacter	1453544	G	58	1	59	0.00001
Frateuria	70411	G	43	6	49	0.00001
Dokdonella	323413	G	22	0	22	0.00000
Aerosticca	2707020	G	12	3	15	0.00000
Shewanella	22	G	1207	5	1212	0.00017
Parashewanella	2547964	G	21	0	21	0.00000
Pseudoalteromonas	53246	G	843	3334	4177	0.00057
Psychrosphaera	907197	G	12	0	12	0.00000
Alteromonas	226	G	129	8	137	0.00002
Salinimonas	288793	G	26	2	28	0.00000
Agarivorans	261825	G	47	0	47	0.00001
Paraglaciecola	1621534	G	33	2	35	0.00000
Lacimicrobium	1751872	G	30	1	31	0.00000
Hydrocarboniclastica	2650549	G	20	0	20	0.00000
Alkalimarinus	1858563	G	14	0	14	0.00000
Halioxenophilus	2108524	G	13	0	13	0.00000
Saliniradius	2661818	G	12	0	12	0.00000
Neptunicella	2125985	G	11	0	11	0.00000
Alishewanella	111142	G	11	0	11	0.00000
Catenovulum	1172191	G	10	0	10	0.00000
Colwellia	28228	G	212	1	213	0.00003
Thalassomonas	137583	G	87	0	87	0.00001
Thalassotalea	1518149	G	81	0	81	0.00001
Litorilituus	1407056	G	12	0	12	0.00000
Pseudocolwellia	2848177	G	10	0	10	0.00000
Ferrimonas	44011	G	90	0	90	0.00001
Idiomarina	135575	G	51	0	51	0.00001
Pseudidiomarina	2800384	G	20	0	20	0.00000
Psychromonas	67572	G	48	0	48	0.00001
Moritella	58050	G	44	0	44	0.00001
Motilimonas	1914248	G	16	0	16	0.00000
Haemophilus	724	G	2068	56	2124	0.00029
Actinobacillus	713	G	84	3	87	0.00001
Mannheimia	75984	G	72	1	73	0.00001
Aggregatibacter	416916	G	69	0	69	0.00001
Gallibacterium	155493	G	66	2	68	0.00001
Pasteurella	745	G	57	8	65	0.00001
Lonepinella	53416	G	32	0	32	0.00000
Glaesserella	2094023	G	27	0	27	0.00000
Basfia	697331	G	21	0	21	0.00000
Mergibacter	2899790	G	21	0	21	0.00000
Rodentibacter	1960084	G	19	0	19	0.00000
Avibacterium	292486	G	17	0	17	0.00000
Vespertiliibacter	1520333	G	16	0	16	0.00000
Bibersteinia	476528	G	15	0	15	0.00000
Histophilus	214906	G	15	0	15	0.00000
Halomonas	2745	G	655	32	687	0.00009
Vreelandella	3137766	G	123	146	269	0.00004
Salinicola	404432	G	92	1	93	0.00001
Cobetia	204286	G	35	0	35	0.00000
Kushneria	504090	G	29	0	29	0.00000
Pistricoccus	1897649	G	27	0	27	0.00000
Chromohalobacter	42054	G	24	1	25	0.00000
Zymobacter	33073	G	18	0	18	0.00000
Billgrantia	3137761	G	22	1	23	0.00000
Halotalea	376488	G	19	0	19	0.00000
Neptunomonas	75687	G	330	5	335	0.00005
Marinomonas	28253	G	134	1	135	0.00002
Marinobacterium	48075	G	112	2	114	0.00002
Neptuniibacter	459520	G	86	1	87	0.00001
Thalassolituus	187492	G	62	1	63	0.00001
Nitrincola	267849	G	43	0	43	0.00001
Aliamphritea	3018276	G	37	0	37	0.00001
Amphritea	515417	G	27	0	27	0.00000
Motiliproteus	1775292	G	26	0	26	0.00000
Marinospirillum	64968	G	24	0	24	0.00000
Bermanella	599651	G	15	0	15	0.00000
Bacterioplanes	1537406	G	15	0	15	0.00000
Bacterioplanoides	2066071	G	15	0	15	0.00000
Venatoribacter	2893036	G	12	0	12	0.00000
Alloalcanivorax	3020832	G	67	0	67	0.00001
Alcanivorax	59753	G	51	0	51	0.00001
Isoalcanivorax	3020833	G	11	0	11	0.00000
Hahella	158481	G	80	0	80	0.00001
Allohahella	1855402	G	40	0	40	0.00001
Endozoicomonas	305899	G	83	0	83	0.00001
Gynuella	1445504	G	21	0	21	0.00000
Reinekea	230494	G	19	0	19	0.00000
Oleiphilus	141450	G	18	0	18	0.00000
Pokkaliibacter	2301194	G	13	0	13	0.00000
Vibrio	662	G	1838	48	1886	0.00026
Photobacterium	657	G	189	5	194	0.00003
Aliivibrio	511678	G	47	1	48	0.00001
Grimontia	246861	G	44	0	44	0.00001
Salinivibrio	51366	G	24	0	24	0.00000
Enterovibrio	188143	G	12	0	12	0.00000
Thaumasiovibrio	2014233	G	11	0	11	0.00000
Acinetobacter	469	G	1172	52	1224	0.00017
Psychrobacter	497	G	192	0	192	0.00003
Moraxella	475	G	88	0	88	0.00001
Faucicola	1604696	G	41	0	41	0.00001
Lwoffella	3444169	G	14	0	14	0.00000
Alkanindiges	222991	G	11	0	11	0.00000
Acidihalobacter	1765964	G	292	2	294	0.00004
Ectothiorhodospira	1051	G	74	1	75	0.00001
Spiribacter	1335745	G	70	0	70	0.00001
Thioalkalivibrio	106633	G	59	0	59	0.00001
Halorhodospira	85108	G	19	0	19	0.00000
Alkalilimnicola	133193	G	17	0	17	0.00000
Aquisalimonas	406099	G	12	0	12	0.00000
Thiorhodovibrio	61593	G	75	0	75	0.00001
Nitrosococcus	1227	G	62	0	62	0.00001
Allochromatium	85072	G	59	2	61	0.00001
Thiocapsa	1056	G	38	0	38	0.00001
Thiocystis	13724	G	33	0	33	0.00000
Rheinheimera	67575	G	32	0	32	0.00000
Thioflavicoccus	156885	G	27	0	27	0.00000
Thiodictyon	53392	G	23	0	23	0.00000
Thermochromatium	85073	G	22	0	22	0.00000
Marichromatium	85076	G	14	0	14	0.00000
Candidatus Nitrosacidococcus	2796146	G	11	0	11	0.00000
Candidatus Thiodiazotropha	1913444	G	31	0	31	0.00000
Magnetovirga	3425870	G	31	0	31	0.00000
