GroupID	PGNumber	Actual_SB.mns.LB.mns.Num	swFriendlyStrainName	ClusterMapping	Diet	MiSeqRun	SampleType	RV_end.mns.systolic_pressure_HFD_Mean_STRAIN	PercentageIncrease_STRAIN	PercentageIncrease_STRAIN	RV_Heart_Rate	RV_RAP	RV_End.mns.diastolic_pressure	RV_Maximum_Pressure	RV_End.mns.systolic_pressure	RV_mean_Pressure	RV_Maximum_dP.ovr.dt	RV_Min_dP.ovr.dt	RV_End.mns.diastolic_volume	RV_End.mns.Systolic_volume	RV_Stroke_Volume	RV_Cardiac_Output	RV_Resistance__PVR_Woods_	RV_Resistance__PVR_Dynes_	RV_Contractile_Index	RV_Ejection_Fraction	RV_Stroke_Work	RV_Peak_Power	RV_Peak_Power.ovr.EDV	RV_Ees	RV_Ea	RV_Ees.ovr.Ea	PA_Maximum_Pressure	PA_Min_Pressure	PA_mean_Pressure	PA_Pulse_Pressure	PA_Compliance	PA_RC_time	LV_Heart_Rate	LV_LAP	LV_End.mns.diastolic_pressure	LV_Maximum_Pressure	LV_End.mns.systolic_pressure	LV_mean_Pressure	LV_Maximum_dP.ovr.dt	LV_Min_dP.ovr.dt	LV_End.mns.diastolic_volume	LV_End.mns.Systolic_volume	LV_Stroke_Volume	LV_Cardiac_Output	LV_Resistance__SVR_Woods_	LV_Resistance__SVR_Dynes_	LV_Ejection_Fraction	LV_Contractile_Index	LV_Stroke_Work	LV_Peak_Power	LV_Peak_Power.ovr.EDV	LV_Ees	LV_Ea	LV_Ees.ovr.Ea	AO_Maximum_Pressure	AO_Min_Pressure	AO_mean_Pressure	AO_Pulse_Pressure	AO_Compliance	AO_RC_time	Duration	Weight	RV	LV.pls.S	Tibia	Fulton _RV.ovr.LV.pls.S_	RV.ovr.Tibia	LV.pls.S.ovr.Tibia	RV.ovr.weight	LV.pls.S.ovr.weight
0115.PG101.LB.MST	101	68	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	435.8405	2.5018	1.0661	23.6105	13.177	15.7476	1377	-1210	56.1996	31.6431	24.5565	10700	23100	1850000	58.3215	43.6951	364.1903	0.377	0.0067	0.2994	0.782	0.3829	1	0	15.8968	1	24.5565	0.0689	433.1518	1.0661	1.0661	68.7846	36.4606	45.3844	4890	-2980	24.4153	0.6552	23.7601	10300	27000	2160000	97.3163	71.0672	0.856	0.0351	0.959	12.359	2.1497	5.7493	NA	NA	45.26	NA	NA	NA	20	34.78	47.9	114.6	17	0.42	2.82	6.74	1.38	3.29
0115.PG102.LB.MST	102	69	BALB_cByJ	BALB_A	HighFat	run_1	LargeBowel	1.073672299	7.4	Low	485.1823	4.8188	1.6915	28.2729	14.6127	18.7284	1850	-1860	28.256	9.244	19.0121	9230	26200	2100000	65.2686	67.2851	327.6898	0.4631	0.0164	0.5148	0.7311	0.7042	1	0	18.9274	1	19.0121	0.0618	487.8049	1.6915	1.6915	116.091	78.2658	76.5066	8970	-5040	22.4496	0.0202	22.4294	10900	28500	2280000	99.9102	77.3072	1.5564	0.0693	1.6495	4.2303	4.4398	0.9528	NA	NA	76.0091	NA	NA	NA	20	37.88	41.6	122.6	16.5	0.34	2.52	7.43	1.10	3.24
0115.PG103.LB.MST	103	70	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	456.8587	4.9893	0.995	23.7811	14.8969	15.2863	1520	-1070	53.4073	29.5968	23.8105	10900	19500	1560000	64.0285	44.5829	357.4593	0.3412	0.0064	0.3984	0.8806	0.4525	1	0	16.0077	1	23.8105	0.0657	471.2106	0.995	0.995	115.2381	64.7193	75.4548	8390	-7560	18.4677	2.4294	16.0383	7560	40300	3220000	86.845	72.774	1.1523	0.0624	1.4414	7.2786	17.6917	0.4114	NA	NA	75.4548	NA	NA	NA	20	37.79	32.7	127.7	16	0.26	2.04	7.98	0.87	3.38
0115.PG104.LB.MST	104	71	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	518.7926	1.4357	1.3788	27.2921	14.1294	18.7376	1770	-1680	28.871	15.4738	13.3972	6960	46100	3690000	64.7928	46.4036	226.5604	0.266	0.0092	0.3519	3.1442	0.1119	1	0	18.2899	1	13.3972	0.0577	508.2912	1.3788	1.3788	72.8785	37.0291	48.2046	4870	-4123	33.619	27.6714	5.9476	3100	107000	8590000	17.6912	66.883	0.123	0.0037	0.1844	2.2386	3.5811	0.6251	NA	NA	47.921	NA	NA	NA	20	36.01	41	135.8	17	0.30	2.41	7.99	1.14	3.77
0115.PG105.LB.MST	105	72	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	504.5819	3.1841	2.0753	28.2729	15.5224	18.8776	1790	-1594	45.4234	21.8145	23.6089	11900	23600	1890000	63.3704	51.9751	397.8581	0.7055	0.0155	0.6833	2.2183	0.308	1	0	18.9274	1	23.6089	0.0594	459.1897	2.0753	2.0753	99.7584	59.0476	64.9452	6838	-6086	7.0565	1.2298	5.8266	2680	109000	8710000	82.5714	68.5456	0.2672	0.0379	1.2015	4.596	2.6469	1.7363	NA	NA	65.3929	NA	NA	NA	20	35.44	38.7	123.7	17.5	0.31	2.21	7.07	1.09	3.49
0115.PG106.LB.MST	106	73	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	531.0012	3.0277	1.2793	26.7946	14.9822	17.7426	1810	-1610	81.5927	28.4375	53.1552	28200	10500	839000	67.6878	65.147	887.0106	0.9792	0.012	0.3006	0.9833	0.3058	1	0	17.9665	1	53.1552	0.0566	480	1.2793	1.2793	91.0021	50.9453	59.3531	6530	-5900	53.7601	19.0121	34.748	16700	18500	1480000	64.6353	71.7712	1.515	0.0282	0.8564	3.5573	3.397	1.0472	NA	NA	59.7014	NA	NA	NA	20	35.08	34.5	123.4	16.5	0.28	2.09	7.48	0.98	3.52
0115.PG107.LB.MST	107	74	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	394.8959	3.2409	1.2367	25.5864	13.7882	16.808	1330	-1080	47.3085	22.2581	25.0504	9930	21700	1740000	52.1632	52.9512	399.4151	0.4461	0.0094	0.3124	1.5126	0.2065	1	0	17.1811	1	25.0504	0.0757	390.8903	1.2367	1.2367	77.8536	47.7185	50.9558	5300	-3790	21.129	0.0706	21.0585	8230	30400	2440000	99.666	68.0422	0.9828	0.0465	1.1255	NA	7.7891	NA	NA	NA	51.1548	NA	NA	NA	20	31.2	28.6	117.8	16.5	0.24	1.73	7.14	0.92	3.78
0115.PG108.LB.MST	108	75	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	542.1785	3.1414	1.0519	24.7335	12.1677	16.3034	1702	-1674	20.2419	7.8024	12.4395	6740	43800	3510000	68.8136	61.4542	193.7439	0.1884	0.0093	0.5749	1.5313	0.3755	1	0	16.6268	1	12.4395	0.0554	532.5815	1.0519	1.0519	97.7257	54.1009	63.4995	6810	-5660	40.3629	15.7258	24.6371	13100	26200	2090000	61.039	69.6781	1.1145	0.0276	0.8736	2.181	3.7882	0.5757	NA	NA	64.0717	NA	NA	NA	20	34.63	35.3	134	16	0.26	2.21	8.38	1.02	3.87
0115.PG109.LB.MST	109	76	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	458.0153	1.9332	0.9097	20.9524	12.3383	13.9949	1130	-930	56.8548	34.4607	22.3942	10300	26100	2090000	53.9318	39.3883	296.931	0.2934	0.0052	0.2571	1.0424	0.2466	1	0	14.169	1	22.3942	0.0655	473.6908	0.9097	0.9097	75.8067	39.204	49.6751	4938	-4263	31.623	19.0222	12.6008	5970	51200	4100000	39.847	65.1394	0.3508	0.0111	0.4368	0.8257	16.1231	0.0512	NA	NA	49.8243	NA	NA	NA	20	32.74	32	125.3	16	0.26	2.00	7.83	0.98	3.83
0115.PG110.LB.MST	110	77	BALB_cByJ	BALB_A	Regular	run_1	LargeBowel	1.073672299	7.4	Low	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	32.05	35.3	114.9	16	0.31	2.21	7.18	1.10	3.59
0115.PG119.LB.MST	119	86	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	402.7329	1.99	2.1748	21.0661	12.1535	13.9295	1007	-768.3333	58.9617	38.4375	20.5242	8250	28300	2270000	47.8019	34.8094	247.6885	0.6428	0.0109	0.2831	0.9002	0.3144	1	0	14.243	1	20.5242	0.0746	395.6082	2.1748	2.1748	52.3525	27.4343	34.1762	2735	-1850	20.8367	12.7419	8.0948	3200	76500	6120000	38.8486	52.242	0.232	0.0111	0.299	1.7395	3.8457	0.4523	NA	NA	34.5791	NA	NA	NA	20	40.88	26.6	110.1	15	0.24	1.77	7.34	0.65	2.69
0115.PG120.LB.MST	120	87	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	39.35	24.1	108.2	16.5	0.22	1.46	6.56	0.61	2.75
0115.PG121.LB.MST	121	88	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	NA	1.6205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1	0	NA	294.1176	NA	NA	57.2139	39.7015	33.1122	1500	-1390	25.6956	6.7742	18.9214	5570	NA	NA	73.6367	26.2232	0.4415	0.0172	0.7502	NA	3.4806	NA	NA	NA	37.7391	NA	NA	NA	20	36.22	28.7	102.6	16	0.28	1.79	6.41	0.79	2.83
0115.PG122.LB.MST	122	89	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	412.9009	1.3504	1.6063	22.1748	13.2765	14.7398	1110	-818.6667	22.4698	8.3871	14.0827	5810	43600	3490000	49.8613	62.6738	188.1076	0.3257	0.0145	1.0092	1.5568	0.6482	1	0	14.9636	1	14.0827	0.0727	397.351	1.6063	1.6063	55.8778	31.855	36.1989	2800	-2140	36.381	14.4153	21.9657	8730	28700	2300000	60.3768	50.1571	0.4271	0.0117	0.5025	1.8495	8.0992	0.2284	NA	NA	36.8705	NA	NA	NA	20	37.64	27.7	108	15	0.26	1.85	7.20	0.74	2.87
0115.PG123.LB.MST	123	90	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	260.1363	NA	1.2225	19.8863	9.3674	13.3268	751.3333	-542.3333	61.381	28.1351	33.246	8650	NA	NA	37.7815	54.1632	407.3836	0.5852	0.0095	0.3337	1.1793	0.2829	1	0	13.4761	1	33.246	0.1154	NA	1.2225	1.2225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	42.23	30	107.8	16.5	0.28	1.82	6.53	0.71	2.55
0115.PG124.LB.MST	124	91	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	328.6293	2.1322	1.8621	20.6539	12.8927	13.5273	838.3333	-612	62.9738	14.0423	48.9315	16100	11700	937000	40.5896	77.7013	592.7018	1.3121	0.0208	0.7283	0.3969	1.8351	1	0	13.975	1	48.9315	0.0913	320.5352	1.8621	1.8621	54.8259	29.5522	35.5898	2570	-1494	20	5.2218	14.7782	4740	42400	3390000	73.8911	46.9243	0.4537	0.0227	0.6017	1.642	6.6409	0.2473	NA	NA	36.1868	NA	NA	NA	20	34.55	27.7	104.7	17.5	0.26	1.58	5.98	0.80	3.03
0115.PG125.LB.MST	125	92	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	409.0951	1.2651	0.8813	20.4833	11.1727	13.7895	1060	-794.6667	39.1028	9.879	29.2238	12000	21000	1680000	51.5217	74.7358	379.4077	0.3709	0.0095	0.4655	0.6988	0.6661	1	0	13.8641	1	29.2238	0.0733	368.4475	0.8813	0.8813	50.8884	28.5572	33.1499	2440	-1559	21.7742	1.5827	20.1915	7450	31900	2550000	92.7315	47.9939	0.3678	0.0169	0.6972	5.4255	2.4068	2.2542	NA	NA	33.6275	NA	NA	NA	20	37.71	25.8	108.9	17	0.24	1.52	6.41	0.68	2.89
0115.PG126.LB.MST	126	93	BPN_3J	NZ_CAST	Regular	run_3	LargeBowel	1.270173631	27	Medium	306.1891	1.2082	0.7392	25.8706	10.9026	17.142	750.6667	-657.3333	26.6129	8.5383	18.0746	5820	34600	2760000	29.0162	67.9167	300.522	0.1924	0.0072	0.5884	1.1403	0.516	1	0	17.3659	1	18.0746	0.0932	342.8571	0.7392	0.7392	45.8138	26.0412	29.7319	2027	-1400	24.7077	6.2601	18.4476	6320	35000	2800000	74.6634	44.2443	0.321	0.013	0.5111	NA	3.617	NA	NA	NA	30.329	NA	NA	NA	20	32.65	29.4	116.9	17	0.25	1.73	6.88	0.90	3.58
0115.PG135.LB.MST	135	102	BUB_BnJ	FVB_RIIIS	Regular	run_3	LargeBowel	1.207525293	20.8	Medium	275.2332	3.6105	1.7342	20.2701	12.9922	14.0241	875.3333	-553.6667	37.1371	22.9536	14.1835	3900	35200	2810000	43.1835	38.1922	170.0791	0.3542	0.0095	0.5489	3.5954	0.1527	1	0	13.7256	1	14.1835	0.109	344.2628	1.7342	1.7342	67.7754	38.2942	44.604	3980	-2695	38.2863	19.5565	18.7298	6500	33800	2700000	48.9205	58.7873	0.9738	0.0254	0.476	1.8333	2.261	0.8109	NA	NA	44.604	NA	NA	NA	20	34.27	26.3	91.9	18	0.29	1.46	5.11	0.77	2.68
0115.PG136.LB.MST	136	103	BUB_BnJ	FVB_RIIIS	Regular	run_3	LargeBowel	1.207525293	20.8	Medium	314.2857	2.4165	2.9851	19.2964	10.8742	13.018	856	-719.5	36.2752	17.4194	18.8558	5840	29300	2350000	44.3607	51.98	190.5868	0.8105	0.0223	2.1906	1.5014	1.459	1	0	13.0926	1	18.8558	0.0968	382.9822	2.9851	2.9851	68.5714	31.5991	45.5543	3450	-2688	36.0484	15.5746	20.4738	7840	30000	2400000	56.7953	50.3076	0.7124	0.0198	0.5511	1.5804	273.1545	0.0058	NA	NA	45.1214	NA	NA	NA	20	32.05	27.1	97.6	18	0.28	1.51	5.42	0.85	3.05
0115.PG137.LB.MST	137	104	BUB_BnJ	FVB_RIIIS	Regular	run_3	LargeBowel	1.207525293	20.8	Medium	297.5321	3.209	1.6063	19.403	10.462	13.4903	816.6667	-643.3333	75.4234	42.8024	32.621	9710	15700	1260000	42.0897	43.2505	376.9576	0.7545	0.01	0.6717	0.5787	1.1608	1	0	13.1619	1	32.621	0.1008	293.1797	1.6063	1.6063	53.9126	29.6198	35.388	2510	-1827	22.7823	8.2964	14.4859	4250	43500	3480000	63.5841	46.6249	0.6694	0.0294	0.4989	6.0603	4.4568	1.3598	NA	NA	35.5932	NA	NA	NA	20	34.26	24	97.5	17.5	0.25	1.37	5.57	0.70	2.85
0115.PG138.LB.MST	138	105	BUB_BnJ	FVB_RIIIS	Regular	run_3	LargeBowel	1.207525293	20.8	Medium	432.6973	1.9616	0.6681	16.8444	9.538	11.2003	827	-615.6667	43.6089	28.8911	14.7177	6370	38500	3080000	49.0966	33.7494	159.404	0.1416	0.0032	0.578	1.5133	0.382	1	0	11.4988	1	14.7177	0.0693	453.4062	0.6681	0.6681	59.2608	29.0405	38.8457	3700	-2630	40.9677	9.9698	30.998	14100	20900	1670000	75.6644	62.3908	0.8756	0.0214	0.6532	22.5614	1.9036	11.8518	NA	NA	39.0695	NA	NA	NA	20	37.99	26.6	105.4	18	0.25	1.48	5.86	0.70	2.77
0115.PG139.LB.MST	139	106	BUB_BnJ	FVB_RIIIS	Regular	run_3	LargeBowel	1.207525293	20.8	Medium	340.8648	2.7434	0.9524	19.0618	11.2154	11.5969	917.3333	-640.6667	29.1734	9.5968	19.5766	6730	27300	2190000	48.1241	67.1044	234.6807	0.2685	0.0092	0.4175	0.5947	0.7021	1	0	12.9402	1	19.5766	0.0873	389.6213	0.9524	0.9524	65.5153	34.7548	41.4185	3618	-2670	17.7722	9.8992	7.873	3070	81800	6540000	44.2995	55.2238	0.311	0.0175	0.4493	5.7949	5.1479	1.1257	NA	NA	43.1349	NA	NA	NA	20	33.15	25	101.6	18	0.25	1.39	5.64	0.75	3.06
0115.PG140.LB.MST	140	107	BUB_BnJ	FVB_RIIIS	Regular	run_3	LargeBowel	1.207525293	20.8	Medium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	32.21	25.5	91.6	17.5	0.28	1.46	5.23	0.79	2.84
0115.PG141.LB.MST	141	108	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	40.23	26.5	97	17	0.27	1.56	5.71	0.66	2.41
0115.PG142.LB.MST	142	109	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	494.5129	3.0561	1.6631	24.634	12.253	15.9651	1730	-1340	15.7831	1.496	14.2871	7060	38400	3070000	70.1741	90.5216	212.8638	0.3422	0.0217	0.9852	0.9314	1.0578	1	0	16.5621	1	14.2871	0.0607	480.0205	1.6631	1.6631	93.376	50.0213	60.5479	7890	-5800	15.0301	3.745	11.2851	5420	56500	4520000	75.0835	84.5221	0.4966	0.033	1.031	4.4441	5.9837	0.7427	NA	NA	61.2444	NA	NA	NA	20	40.27	29	104	16.5	0.28	1.76	6.30	0.72	2.58
0115.PG143.LB.MST	143	110	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	487.7409	2.0469	1.2367	25.2878	16.2473	16.1513	1651	-1420	28.2129	4.2972	23.9157	11800	24700	1980000	65.2883	84.7687	376.6819	0.4259	0.0151	3.9733	NA	NA	1	0	16.9871	1	23.9157	0.061	469.9994	1.2367	1.2367	53.5608	27.3063	34.4939	3597	-2500	10.8635	4.6586	6.2048	2920	103000	8220000	57.1165	67.1574	0.1829	0.0168	0.4609	2.0676	5.5805	0.3705	NA	NA	35.3645	NA	NA	NA	20	45.68	34.2	114.2	17	0.30	2.01	6.72	0.75	2.50
0115.PG144.LB.MST	144	111	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	520.2662	3.113	1.521	24.0085	10.5188	15.4093	1780	-1480	20.1104	2.8614	17.249	8970	31500	2520000	74.2514	85.7713	252.4318	0.3778	0.0188	0.6776	0.9629	0.7037	1	0	16.1555	1	17.249	0.0577	511.3719	1.521	1.521	82.9709	39.9289	53.8094	7324	-4810	14.0763	2.2992	11.7771	6020	54200	4340000	83.6662	88.272	0.5279	0.0375	1.0228	7.7241	4.8744	1.5846	NA	NA	54.4811	NA	NA	NA	20	43.91	34.4	109.2	16.5	0.32	2.08	6.62	0.78	2.49
0115.PG145.LB.MST	145	112	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	530.9735	2.9709	1.4357	23.5394	11.3006	14.9551	1795	-1320	20.4418	5.1506	15.2912	8120	35800	2860000	76.255	74.8035	220.4215	0.3161	0.0155	0.747	1.4429	0.5177	1	0	15.8506	1	15.2912	0.0565	495.8903	1.4357	1.4357	75.2665	40.5544	48.2792	6126	-4048	11.1747	3.0823	8.0924	4010	78900	6310000	72.4169	81.3908	0.3462	0.031	0.8203	7.7408	4.9552	1.5621	NA	NA	49.4732	NA	NA	NA	20	41.32	31.2	94	17	0.33	1.84	5.53	0.76	2.27
0115.PG146.LB.MST	146	113	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	491.8033	2.5018	1.1798	24.705	12.9922	15.7277	1750	-1350	28.3233	5.9739	22.3494	11000	25500	2040000	70.9302	78.9082	344.8169	0.3797	0.0134	NA	2.1487	NA	1	0	16.6083	1	22.3494	0.061	500.0231	1.1798	1.1798	83.4968	41.2651	53.8279	7280	-4960	30.3715	10.1205	20.251	10100	31700	2540000	66.6777	87.181	0.7296	0.024	0.829	2.3691	3.5569	0.666	NA	NA	54.8229	NA	NA	NA	20	43.68	33.8	105.3	17	0.32	1.99	6.19	0.77	2.41
0115.PG147.LB.MST	147	114	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	461.5567	2.2886	1.6915	33.3902	19.8152	21.3332	1781	-1890	31.7369	6.5261	25.2108	11600	23700	1900000	53.339	79.4369	518.3874	0.6141	0.0193	1.4129	2.2821	0.6191	1	0	22.2536	1	25.2108	0.065	474.9406	1.6915	1.6915	88.4435	47.9176	57.093	7820	-5120	17.4799	4.3976	13.0823	6210	48700	3900000	74.842	88.4369	0.4311	0.0247	0.9825	10.6266	5.9318	1.7915	NA	NA	58.0383	NA	NA	NA	20	45.65	34.7	101.4	17	0.34	2.04	5.96	0.76	2.22
0115.PG148.LB.MST	148	115	C3H_HeJ	BALB_A	HighFat	run_3	LargeBowel	0.933165941	-6.7	Low	485.702	4.0938	1.4357	24.236	11.9403	16.378	1730	-1057	34.9096	9.0964	25.8133	12600	19500	1560000	71.4916	73.9431	383.7836	0.5337	0.0153	2.2315	0.8177	2.7292	1	0	16.3034	1	25.8133	0.0617	448.8834	1.4357	1.4357	85.2736	47.349	56.2266	6490	-4750	25.0201	1.0743	23.9458	10800	26700	2140000	95.7063	76.1353	1.4116	0.0564	1.1653	6.9155	2.8666	2.4125	NA	NA	55.9779	NA	NA	NA	20	46.19	31.9	116.1	17	0.27	1.88	6.83	0.69	2.51
0115.PG149.LB.MST	149	116	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	472.4605	3.4826	1.0803	36.9865	21.791	24.9644	1460	-2110	6.2651	3.6345	2.6305	1240	217000	17400000	39.4558	41.9872	61.846	0.0409	0.0065	NA	NA	0.2677	1	0	24.5912	1	2.6305	0.0635	480	1.0803	1.0803	93.5039	54.1578	61.7007	7462	-5910	28.2731	4.2671	24.006	11500	26800	2150000	84.9077	79.8042	1.2039	0.0426	1.1303	5.5108	4.218	1.3065	NA	NA	61.3275	NA	NA	NA	20	41.69	29.2	95.1	18	0.31	1.62	5.28	0.70	2.28
0115.PG150.LB.MST	150	117	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	560.7803	2.6013	1.7484	24.9041	11.1443	17.2351	2026	-1550	24.4177	6.1747	18.243	10200	31100	2490000	81.3522	74.7122	273.4482	0.4593	0.0188	0.8501	1.003	0.8475	1	0	16.7376	1	18.243	0.0535	550.4896	1.7484	1.7484	69.9645	39.4598	46.3503	5670	-4040	50.0904	0.6928	49.3976	27200	12800	1020000	98.617	81.0793	1.8504	0.0369	0.9803	0.2707	0.6758	0.4005	NA	NA	46.0269	NA	NA	NA	20	37.19	28.6	84.3	17.5	0.34	1.63	4.82	0.77	2.27
0115.PG151.LB.MST	151	118	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	529.4209	1.9474	1.8337	28.1308	12.3667	18.1634	2180	-1650	28.8855	11.3454	17.5402	9290	34200	2740000	77.5426	60.723	298.2058	0.4631	0.016	0.3705	1.358	0.2728	1	0	18.835	1	17.5402	0.0567	504.2254	1.8337	1.8337	63.8664	35.0249	40.7945	4470	-3483	49.6787	12.49	37.1888	18700	16900	1360000	74.8585	69.9168	1.0429	0.021	0.7275	0.9797	1.764	0.5554	NA	NA	42.0631	NA	NA	NA	20	37.12	25.9	86.8	17	0.30	1.52	5.11	0.70	2.34
0115.PG152.LB.MST	152	119	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	500.0231	5.0178	1.9474	34.1294	17.9389	21.8386	2350	-1680	40.9438	19.7189	21.2249	10600	24500	1960000	68.8557	51.8391	441.1951	0.5952	0.0145	0.1963	3.7439	0.0524	1	0	22.7341	1	21.2249	0.06	471.2106	1.9474	1.9474	103.9232	55.892	66.9807	7670	-6930	21.8373	9.5683	12.2691	5780	51900	4150000	56.1839	73.7788	0.8865	0.0406	0.8667	5.4101	18.5221	0.2921	NA	NA	68.1001	NA	NA	NA	20	42.66	29.9	97.9	18	0.31	1.66	5.44	0.70	2.29
0115.PG153.LB.MST	153	120	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	448.8834	3.2552	0.924	24.2075	11.9829	16.459	1650	-1180	29.6486	12.0683	17.5803	7890	30600	2450000	68.257	59.2956	270.0504	0.2339	0.0079	0.3618	0.9861	0.3669	1	0	16.2849	1	17.5803	0.0668	450.0056	0.924	0.924	125.3589	71.0163	82.0582	9091	-7980	27.4297	7.6004	19.8293	8920	32600	2610000	72.2914	72.5198	0.9295	0.0339	1.3043	9.7322	4.2391	2.2958	NA	NA	82.0333	NA	NA	NA	20	38.84	28	90	18	0.31	1.56	5.00	0.72	2.32
0115.PG154.LB.MST	154	121	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	416.8812	3.0561	1.8905	24.6908	12.6652	16.1762	1400	-1240	32.0281	6.0944	25.9337	10800	21200	1690000	56.6742	80.9718	381.4462	0.706	0.022	0.7022	1.1823	0.5939	1	0	16.599	1	25.9337	0.0719	445.55	1.8905	1.8905	83.8806	49.0263	53.555	6661	-5080	49.2671	4.6687	44.5984	19900	14200	1140000	90.5237	79.4105	1.9627	0.0398	1.1496	5.3924	9.272	0.5816	NA	NA	55.0724	NA	NA	NA	20	41.33	32	98.9	18	0.32	1.78	5.49	0.77	2.39
0115.PG155.LB.MST	155	122	C3H_HeJ	BALB_A	Regular	run_3	LargeBowel	0.933165941	-6.7	Low	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA	1	0.3916	0.0605	540.5698	NA	NA	93.9019	50.1635	61.243	7522	-6270	32.0382	16.2249	15.8133	8550	NA	NA	49.3576	80.1049	0.4596	0.0143	0.6741	1.0632	9.5384	0.1115	NA	NA	61.5862	NA	NA	NA	20	41.44	33.9	98	18	0.35	1.88	5.44	0.82	2.36
