cpd00001	h2o
cpd04165	BenanomicinA
cpd04166	PCE
cpd04167	TCE
cpd04168	trans_1_2_Dichloroethene
cpd04169	cis_1_2_Dichloroethene
cpd04170	Chloroethylene
cpd04171	Granaticin
cpd04172	AflatoxinB1
cpd04173	TetracenomycinC
cpd04174	Acarbose
cpd04175	Acebutolol
cpd04176	Acetaminophen
cpd04177	Acetazolamide
cpd04178	Acetohexamide
cpd04179	Acetophenazine
cpd04180	Acetohydroxamicacid
cpd04181	Acetylcysteine
cpd04182	Aciclovir
cpd04183	Lincomycin
cpd04184	Nitrobenzol
cpd04185	D_Xylose_5_phosphate
cpd04186	Alprazolam
cpd04187	Amantadine
cpd04188	Amifostine
cpd04189	Amikacin
cpd04190	Amiloride

cpd04191	Amiodarone
cpd04192	Amitriptyline
cpd04193	Amlodipine
cpd04194	Amoxicillin
cpd04195	Methyloctatropinebromide
cpd04196	Anthralin
cpd04197	Astemizole
cpd04198	Atorvastatin
cpd04199	Azithromycin
cpd04200	Azlocillin
cpd04201	Aztreonam
cpd04202	Beclomethasone
cpd04203	Benazepril
cpd04204	Benztropine
cpd04205	Bepridil
cpd04206	Betaxolol
cpd04207	Bethanechol
cpd04208	Bisoprolol
cpd04209	Bitolterol
cpd04210	BleomycinA2
cpd04211	Bretylium
cpd04212	Bromocriptine
cpd04213	Brompheniramine
cpd04214	Bupropion
cpd04215	Buspirone
cpd04216	Butorphanol
cpd04217	Cibacalcin
cpd04218	Capsaicin
cpd04219	Carbamazepine
cpd04220	Carbenicillin
cpd04221	Carbidopa_levodopa
cpd04222	Carbinoxamine
cpd04223	Carboprost
cpd04224	Carteolol
cpd04225	Carvedilol
cpd04226	Nitrosobenzene
cpd04227	Cefaclor
cpd04228	Cefadroxil
cpd04229	Cefamandole
cpd04230	Cefazolin
cpd04231	Cefixime
cpd04232	Cefonicid
cpd04233	Cefoperazone
cpd04234	Ceforanide
cpd04235	Cefotaxime
cpd04236	Cefotetan
cpd04237	Cefoxitin
cpd04238	Cefprozil
cpd04239	Ceftazidime
cpd04240	Ceftizoxime
cpd04242	cbs_71
cpd04244	Cefuroxime
cpd04245	Cefalexin
cpd04246	Cephapirin
cpd04247	Cefradine
cpd04248	Chloralhydrate
cpd04249	Chlorhexidine
cpd04250	Chlorphenamine
cpd04251	Chlorpromazine
cpd04252	Cidofovir
cpd04253	Cisapride
cpd04254	Cisplatin
cpd04255	Clarithromycin
cpd04256	Clemastine
cpd04257	Clindamycin
cpd04258	Clofazimine
cpd04259	Clofibrate
cpd04260	Clomiphene
cpd04261	Clomipramine
cpd04262	Clorazepate
cpd04263	Clotrimazole
cpd04264	Cloxacillin
cpd04265	Clozapine
cpd04266	Cosyntropin
cpd04267	Cromolyn
cpd04268	Cyclizine
cpd04269	Cyclobenzaprine
cpd04270	Cyclopentolate
cpd04271	Cyproheptadine
cpd04272	Dantrolene
cpd04273	Deferoxamine
cpd04274	Delavirdine
cpd04275	Ledermycinhydrochloride
cpd04276	Desipramine
cpd04277	Desmopressin
cpd04278	Dexchlorpheniramine
cpd04279	Dextromethorphan
cpd04280	Diazepam
cpd04281	Diazoxide
cpd04282	Dicloxacillin
cpd04283	Dicyclomine
cpd04284	Didanosine
cpd04285	Amfepramone
cpd04286	Digitoxin
cpd04287	Digoxin
cpd04288	Dihydrotachysterol
cpd04289	Diltiazem
cpd04290	Diphenidol
cpd04291	Dipivefrin
cpd04292	Disopyramide
cpd04293	Dobutamine
cpd04294	Dorzolamide
cpd04295	Doxazosin
cpd04296	Doxepin
cpd04297	Dronabinol
cpd04298	Doxycycline
cpd04299	Echothiophate
cpd04300	Edrophonium
cpd04301	Enalapril
cpd04302	Encainide
cpd04303	Enoxacin
cpd04304	Esmolol
cpd04305	Ethambutol
cpd04306	Spirodilactone
cpd04307	beta_BHC
cpd04308	3_4_5_6_Tetrachlorocyclohexene
cpd04309	Chlorobenzene
cpd04310	Fenfluramine
cpd04311	Fenoprofen
cpd04312	Fexofenadine
cpd04313	Flecainide
cpd04314	Fludrocortisone
cpd04315	Flunisolide
cpd04316	Fluocinolone
cpd04317	Fluphenazine
cpd04318	Fluvastatin
cpd04319	Fosinopril
cpd04320	Glyburide
cpd04321	Granisetron
cpd04322	3_Keto_3_deoxy_ATP
cpd04323	3_Keto_3_deoxy_AMP
cpd04324	3_Amino_3_deoxy_AMP
cpd04325	N6_N6_O_Trimethylpuromycin_5_phosphate
cpd04326	N_Acetyl_N6_N6_O_tridemethylpuromycin_5_phosphate
cpd04327	N_Acetyl_N6_O_didemethylpuromycin_5_phosphate
cpd04328	N_Acetyl_O_demethylpuromycin_5_phosphate
cpd04329	N_Acetyl_O_demethylpuromycin
cpd04330	N_Acetylpuromycin
cpd04331	Guanabenz
cpd04332	Guanadrel
cpd04333	Guanethidine
cpd04334	Guanfacine
cpd04335	Hydralazine
cpd04336	Hydromorphone
cpd04337	Hydroxychloroquine
cpd04338	Hydroxyurea
cpd04339	Hydroxyzine
cpd04340	Imipramine
cpd04341	Indinavir
cpd04342	Ipratropium
cpd04343	Isoetharine
cpd04344	Isoniazid
cpd04345	Isopropamide
cpd04346	isoprenaline
cpd04347	Ketorolac
cpd04348	Labetalol
cpd04349	Lactulose
cpd04350	3TC
cpd04351	Levallorphan
cpd04352	Levamisole
cpd04353	Losartan
cpd04354	Lovastatin
cpd04355	Lindane
cpd04356	Lomefloxacin
cpd04357	Loperamide
cpd04358	Styrene
cpd04359	Styrenecis_glycol
cpd04360	3_Vinylcatechol
cpd04362	2_Hydroxy_6_oxoocta_2_4_7_trienoate
cpd04363	4_CPA
cpd04364	5_Chloro_2_hydroxymuconicsemialdehyde
cpd04365	Protoanemonin
cpd04366	cis_Acetylacrylate
cpd04367	p_Dichlorobenzene
cpd04368	3_6_Dichloro_cis_1_2_dihydroxycyclohexa_3_5_diene
cpd04369	3_6_Dichlorocatechol
cpd04370	2_5_Dichloro_cis_cis_muconate
cpd04371	2_6_Dichlorophenol
cpd04372	2_6_Dichlorohydroquinone
cpd04373	2_4_6_Trichlorophenol
cpd04374	2_3_6_Trichlorohydroquinone
cpd04375	2_4_5_Trichlorophenoxyaceticacid
cpd04376	2_4_5_Trichlorophenol
cpd04377	5_Chloro_1_2_4_trihydroxybenzene
cpd04378	Hydroxybenzoquinone
cpd04379	Loxapine
cpd04380	Mafenide
cpd04381	Maprotiline
cpd04382	Tamoxifen
cpd04383	Ethylenzene
cpd04384	1_Phenylethanol
cpd04385	Acetophenone
cpd04386	Benzoylacetate
cpd04387	Chlormethine
cpd04388	Meclozine
cpd04389	Meclofenamate
cpd04390	Benzoylacetyl_CoA
cpd04391	Medroxyprogesterone
cpd04392	Megestrol
cpd04393	2_Hydroxy_6_oxo_octa_2_4_dienoate
cpd04394	Tamsulosin
cpd04395	Menadiol
cpd04396	Terazosin
cpd04397	Pethidine
cpd04398	Terbutaline
cpd04399	Theophylline
cpd04400	Thiethylperazine
cpd04401	Ticarcillin
cpd04402	Ticlopidine
cpd04403	Timolol
cpd04404	Tocainide
cpd04405	Mesoridazine
cpd04406	Orciprenaline
cpd04407	Metaraminol
cpd04408	Tolazoline
cpd04409	Tolbutamide
cpd04410	Tolmetin
cpd04411	Metformin
cpd04412	Tramadol
cpd04413	Tranylcypromine
cpd04414	Trazodone
cpd04415	2_Oxo_delta3_4_5_5_trimethylcyclopentenylacetate
cpd04416	2_Oxo_delta3_4_5_5_trimethylcyclopentenylacetyl_CoA
cpd04417	Methadone
cpd04418	Methamphetamine
cpd04419	Triclofos
cpd04420	Trientine
cpd04421	Trifluoperazine
cpd04422	Trihexyphenidyl
cpd04423	Alimemazine
cpd04424	Trimethaphan
cpd04425	Methdilazine
cpd04426	Methicillin
cpd04427	Trimethobenzamide
cpd04428	Tripelennamine
cpd04429	Trometamol
cpd04430	BW256U87
cpd04431	Venlafaxine
cpd04432	Verapamil
cpd04433	2_Hydroxyacetophenone
cpd04434	Levomepromazine
cpd04435	Methyldopa
cpd04436	Vidarabine
cpd04437	Methylphenidate
cpd04438	Methyltestosterone
cpd04439	Methysergide
cpd04440	Vinblastine
cpd04441	Metoprolol
cpd04442	Vincristine
cpd04443	Metyrapone
cpd04444	Zafirlukast
cpd04445	Zalcitabine
cpd04446	m_xyl
cpd04447	3mbzald
cpd04448	AZT
cpd04449	m_tol
cpd04450	o_Xylene
cpd04451	2_Methylbenzylalcohol
cpd04452	o_Tolualdehyde
cpd04453	o_Toluate
cpd04454	3mbzalc
cpd04455	311C90
cpd04456	Zolpidem
cpd04457	Mexiletine
cpd04458	Mezlin
cpd04459	Mibefradil
cpd04460	Milrinone
cpd04461	Minocycline
cpd04462	LY139481
cpd04463	Molindone
cpd04464	Latamoxef
cpd04465	Rifabutin
cpd04466	Rimantadine
cpd04467	Ritodrine
cpd04468	Ritonavir
cpd04469	Salmeterol
cpd04470	Selegiline
cpd04471	Sertraline
cpd04472	Sibutramine
cpd04473	Nafcillin
cpd04474	Nalbuphine
cpd04475	Naloxone
cpd04476	Naltrexone
cpd04477	Nandrolone
cpd04478	Nedocromil
cpd04479	Nefazodone
cpd04480	Nelfinavir
cpd04481	Neostigmine
cpd04482	Sildenafil
cpd04483	Simethicone
cpd04484	Nevirapine
cpd04485	Nicardipine
cpd04486	Nifedipine
cpd04487	Nimodipine
cpd04488	Nitroprusside
cpd04489	Nizatidine
cpd04490	Limoneneoxide
cpd04491	Maleimide
cpd04492	Butanimide
cpd04493	Nortriptyline
cpd04494	Glutarimide
cpd04495	Limonene_1_2_diol
cpd04496	dTDP_D_fucose
cpd04497	beta_D_Galactopyranosyl_(1_>3)_N_acetyl_D_galactosamine
cpd04498	2_Aminoethylarsonate
cpd04499	Rhodanine
cpd04500	Arabino_galactose
cpd04501	Sulcatone
cpd04502	Sulcatol
cpd04503	Crepenynate
cpd04504	7_O_Methylluteone
cpd04505	Methylarsonate
cpd04506	Methylarsonite
cpd04507	4_8_12_Trimethyltridecanoyl_CoA
cpd04508	3_Oxopristanoyl_CoA
cpd04509	(R)_Mandelamide
cpd04510	3_Hydroxy_3_(3_hydroxy_4_methoxyphenyl)propionyl_CoA
cpd04511	4_HYDROXY_ETCETERA_HYDROXYPROPIONYL_COA
cpd04512	Deacetylisoipecoside
cpd04513	Octreotide
cpd04514	Deacetylipecoside
cpd04515	Sotalol
cpd04516	Spironolactone
cpd04517	Stanozolol
cpd04518	d4T
cpd04519	Zanosar
cpd04520	Sulfamethoxazole
cpd04521	Sulfasalazine
cpd04522	Sulfinpyrazone
cpd04523	Sulfisoxazole
cpd04524	Sumatriptan
cpd04525	Suprofen
cpd04526	Ofloxacin
cpd04527	Olanzapine
cpd04528	Olsalazine
cpd04529	Omeprazole
cpd04530	Ondansetron
cpd04531	1_5_Anhydroglucitol
cpd04532	Nicotinaldehyde
cpd04533	iamoh
cpd04534	3mbald
cpd04535	3_Methylbut_2_enal
cpd04536	Carbonyl_sulfide
cpd04537	Dibenzylsuccinate
cpd04538	Oxacillin
cpd04539	amopbut_L
cpd04540	Quazepam
cpd04541	(9Z_12Z)_(11S)_11_Hydroperoxyoctadeca_9_12_dienoate
cpd04542	Mepacrine
cpd04543	Quinaprilhydrochloride
cpd04544	Oxamniquine
cpd04545	Quinethazone
cpd04546	2_Hydroxyphytanoyl_CoA
cpd04547	3_Hydroxyquinine
cpd04548	Betainealdehydehydrate
cpd04549	Oxandrolone
cpd04550	Thiophene_2_carbonyl_CoA
cpd04551	5_Hydroxythiophene_2_carbonyl_CoA
cpd04552	3_Demethylstaurosporine
cpd04553	3_Methyl_1_(2_4_6_trihydroxyphenyl)butan_1_one
cpd04554	(7S_8S)_DiHODE
cpd04555	(Z)_(7S_8S)_Dihydroxyoctadeca_9_enoate
cpd04556	Oxaprozin
cpd04557	(9Z_12Z_15Z)_(7S_8S)_Dihydroxyoctadeca_9_12_15_trienoate
cpd04558	Oxazepam
cpd04559	Oxybutynin
cpd04560	Pipracil
cpd04561	Pipobroman
cpd04562	Afrin
cpd04563	Plicamycin
cpd04564	Prazepam
cpd04565	Praziquantel
cpd04566	Prazosin
cpd04567	Prednisolone
cpd04568	Prednisone
cpd04569	Primidone
cpd04570	Probenecid
cpd04571	Probucol
cpd04572	Procaine
cpd04573	Procyclidine
cpd04574	Promazine
cpd04575	Propafenone
cpd04576	Proparacaine
cpd04577	Largon
cpd04578	Pyrimethamine
cpd04579	Oxymetholone
cpd04580	Paclitaxel
cpd04581	Pamidronate
cpd04582	Quetiapine
cpd04583	Quinapril
cpd04584	Pralidoxime
cpd04585	Procainamide
cpd04586	Procarbazine
cpd04587	Prochlorperazine
cpd04588	Promethazine
cpd04589	Propiomazine
cpd04590	Propoxyphene
cpd04591	Propranolol
cpd04592	Protriptyline
cpd04593	Pyrantel
cpd04594	Pyridostigmine
cpd04595	Paramethadione
cpd04596	Pyrvinium
cpd04597	Paramethasone
cpd04598	Pargyline
cpd04599	Paroxetine
cpd04600	Penbutolol
cpd04601	Penciclovir
cpd04602	Penicillamine
cpd04603	Pentamidine
cpd04604	Pentazocine
cpd04605	Pentobarbital
cpd04606	Pentobarbitalsodium
cpd04607	Pentoxifylline
cpd04608	Pergolide
cpd04609	Perphenazine
cpd04610	Phenacemide
cpd04611	Phenazopyridine
cpd04612	Phenelzine
cpd04613	Phenmetrazine
cpd04614	Preludin
cpd04615	Phenobarbital
cpd04616	Phenoxybenzamine
cpd04617	Phensuximide
cpd04618	Phentermine
cpd04619	Phenbutazone
cpd04620	Phenylephrine
cpd04621	Phenytoin
cpd04622	Pindolol
cpd04623	Isonicotinicacid
cpd04624	Acetylhydrazine
cpd04625	Burimamide
cpd04626	Metiamide
cpd04627	Dexmedetomidine
cpd04628	Moxonidine
cpd04629	Tizanidine
cpd04630	Epinine
cpd04631	N_Guanylhistamine
cpd04632	Nitroglycerin
cpd04633	Isosorbidedinitrate
cpd04634	Amylnitrite
cpd04635	Sulfamine
cpd04636	Diclofenamide
cpd04637	Chloraminophenamide
cpd04638	Chlorothiazide
cpd04639	Terfenadine
cpd04640	Ketanserin
cpd04641	Remikiren
cpd04642	A64662
cpd04643	Eprosartan
cpd04644	Candesartan
cpd04645	Irbesartan
cpd04647	Methacholine
cpd04648	Muscarine
cpd04649	Pilocarpine
cpd04650	Lobeline
cpd04651	hmccm
cpd04652	2omcm
cpd04653	Theobromine
cpd04654	Caffeine
cpd04655	Montelukast
cpd04656	Zaleplon
cpd04657	Oxotremorine
cpd04658	Nordazepam
cpd04659	dmpp_CPD04659
cpd04660	Glutethimide
cpd04661	Trichloroethanol
cpd04662	Carbaryl
cpd04663	Oxcarbazepine
cpd04664	GP47779
cpd04665	Soman
cpd04666	Dihydroxycarbazepine
cpd04667	Carbamazepineepoxide
cpd04668	Malathion
cpd04669	Malaoxon
cpd04670	Phenylethylmalonamide
cpd04671	Vigabatrin
cpd04672	Felbamate
cpd04673	Topiramate
cpd04674	Tiagabine
cpd04675	Zonisamide
cpd04676	Ethosuximide
cpd04677	Propantheline
cpd04678	Pirenzepine
cpd04679	Diacetylmonoxime
cpd04680	Hexamethonium
cpd04681	Versamine
cpd04682	Tetraethylammonium
cpd04683	Methoxamine
cpd04684	Amphetamine
cpd04685	Halothane
cpd04686	Enflurane
cpd04687	Methoxyflurane
cpd04688	Isoflurane
cpd04689	Desflurane
cpd04690	Sevoflurane
cpd04691	Thiopental
cpd04692	Etomidate
cpd04693	Propofol
cpd04694	Midazolam
cpd04695	Ketamine
cpd04696	Tetracaine
cpd04697	Benzocaine
cpd04698	Mepivacaine
cpd04699	Marcaine
cpd04700	Etidocaine
cpd04701	Prilocaine
cpd04702	Ropivacaine
cpd04703	Prenalterol
cpd04704	Ethinylestradiol
cpd04705	Benzpyrene
cpd04706	Amobarbital
cpd04707	Ethylmorphine
cpd04708	Benzfetamine
cpd04709	Aminopyrine
cpd04710	6_Methylergoline
cpd04711	Lysergicacid
cpd04712	LSD
cpd04713	Ergonovine
cpd04714	Ergotamine
cpd04715	alpha_Ergocryptine
cpd04716	Suxamethonium
cpd04717	Tubocurarine
cpd04718	Atracurium
cpd04719	Doxacurium
cpd04720	Mivacurium
cpd04721	Pancuronium
cpd04722	Aldrin
cpd04723	Vecuronium
cpd04724	Pipecuronium
cpd04725	p_Nitroanisole
cpd04726	Rocuronium
cpd04727	TCDD
cpd04728	Methitural
cpd04729	Chlorphentermine
cpd04730	Methaqualone
cpd04731	Tetrachloromethane
cpd04732	Ropinirole
cpd04733	Acetanilide
cpd04734	Pimozide
cpd04735	Sertindole
cpd04736	Ziprasidone
cpd04737	Propylthiouracil
cpd04738	Mirtazapine
cpd04739	Fluvoxamine
cpd04740	Citalopram
cpd04741	Prontosil
cpd04742	Tartrazine
cpd04743	Phencyclidine
cpd04744	Psilocybin
cpd04745	3_4_Methylenedioxymethamphetamine
cpd04746	Cannabidiol
cpd04747	Cannabinol
cpd04748	Pteridine
cpd04749	Pteroicacid
cpd04750	Phenindione
cpd04751	N_Acetylisoniazid
cpd04752	Fenofibrate
cpd04753	Salicylurate
cpd04754	Celecoxib
cpd04755	Rofecoxib
cpd04756	Phenacetin
cpd04757	Colchicine
cpd04758	Rotenone
cpd04759	PyrethrinI
cpd04760	HLo7
cpd04761	ferxa
cpd04762	Succimer
cpd04763	Oxypurinol
cpd04764	Allicin
cpd04765	GinkgolideA
cpd04766	GinkgolideB
cpd04767	BN52022
cpd04768	BN52024
cpd04769	Bilobalide
cpd04770	Hypericin
cpd04771	Gonadorelin
cpd04772	Hyperforin
cpd04773	Parthenolide
cpd04774	Silybin
cpd04775	Kavapyrone
cpd04776	Leuprolide
cpd04777	Nafarelin
cpd04778	Carbimazole
cpd04779	AmphenoneB
cpd04780	Aminoglutethimide
cpd04781	Mestranol
cpd04782	Quinestrol
cpd04783	Diethylstilbestrol
cpd04784	Methallenestril
cpd04785	Vfend
cpd04786	Abacavir
cpd04787	Chloroquine
cpd04788	Amodiaquine
cpd04789	Primaquine
cpd04790	Dimethisterone
cpd04791	Desogestrel
cpd04792	Sulfadoxine
cpd04793	Proguanil
cpd04794	Androstanediol
cpd04795	Mefloquine
cpd04796	Halofantrine
cpd04797	Epiandrosterone
cpd04798	Iodoquinol
cpd04799	Diloxanidefuroate
cpd04801	Semustine
cpd04802	Thiotepa
cpd04803	Triethylenemelamine
cpd04804	4_Hydroxycyclophosphamide
cpd04805	4_Ketocyclophosphamide
cpd04806	Aldophosphamide
cpd04807	Carboxyphosphamide
cpd04808	Phosphamidemustard
cpd04809	Thioguanine
cpd04810	5_FU
cpd04811	Gemcitabine
cpd04812	WR1065
cpd04813	RU_486
cpd04814	Flutamide
cpd04815	Metacycline
cpd04816	Streptobiosamine
cpd04817	GentamicinC1
cpd04818	Netilmicin
cpd04819	Sulfadiazine
cpd04820	Sulfathalidine
cpd04821	Levofloxacin
cpd04822	AM1155
cpd04823	Sparfloxacin
cpd04824	Moxifloxacin
cpd04825	Trovafloxacin
cpd04826	Ethionamide
cpd04827	Dapsone
cpd04828	Gossypol
cpd04829	Apraclonidine
cpd04830	Glimepiride
cpd04831	Repaglinide
cpd04832	Histrelin
cpd04833	Biguanide
cpd04834	DBI
cpd04835	Buformin
cpd04836	Pioglitazone
cpd04837	Acebutololhydrochloride
cpd04838	Fenoldopam
cpd04839	Sodiumnitroprussidedihydrate
cpd04840	Nisoldipine
cpd04841	Moexipril
cpd04842	Perindopril
cpd04843	Perindoprilerbumine
cpd04844	Miglitol
cpd04845	Candesartancilexetil
cpd04846	Telmisartan
cpd04847	PrevitaminD(3)
cpd04848	Secalciferol
cpd04849	Nitrendipine
cpd04850	Isosorbidemononitrate
cpd04851	Fluorene
cpd04852	3_4_Dihydroxyfluorene
cpd04853	2_Hydroxy_4_(1_oxo_1_3_dihydro_2H_inden_2_ylidene)_but_2_enoicacid
cpd04854	2_Formyl_1_indanone
cpd04855	3_Hydroxy_1_indanone
cpd04856	(+)_(1R_2S)_cis_3_4_Dihydroxy_3_4_dihyd
cpd04857	3_4_Dihydroxy_3_4_dihydro_9_fluorenone
cpd04858	4_Hydroxy_9_fluorenone
cpd04859	1_2_Dihydroxyfluorene
cpd04860	2_Hydroxy_4_(2_oxo_1_3_dihydro_2H_inden_1_ylidene)but_2_enoicacid
cpd04861	1_Formyl_2_indanone
cpd04862	2_Indanone
cpd04863	3_Isochromanone
cpd04864	Dibenzofuran
cpd04865	2_Hydroxy_6_oxo_6_(2_hydroxyphenyl)_hexa_2_4_dienoate
cpd04866	Dibenzo_p_dioxin
cpd04867	2_2_3_Trihydroxydiphenylether
cpd04868	2_Hydroxy_6_oxo_6_(2_hydroxyphenoxy)_hexa_2_4_dienoate
cpd04869	Etidronicacid
cpd04870	Disopyramidephosphate
cpd04871	Moricizine
cpd04872	Quinidinesulfate
cpd04873	Tolterodine
cpd04874	Dofetilide
cpd04875	Alendronate
cpd04876	Ibutilide
cpd04877	Magnesiumchloride
cpd04878	7_ACA
cpd04879	Bendroflumethiazide
cpd04880	Benzthiazide
cpd04881	Brinzolamide
cpd04882	Cefalotin
cpd04883	Hydroflumethiazide
cpd04884	Methazolamide
cpd04885	Methyclothiazide
cpd04886	Polythiazide
cpd04887	Trichlormethiazide
cpd04888	Azelastine
cpd04889	Sulbactam
cpd04890	Tazobactam
cpd04891	Ambenonium
cpd04892	Azatadine
cpd04893	Buclizine
cpd04894	Cetirizine
cpd04895	Emedastine
cpd04896	Olopatadine
cpd04897	Phenindamine
cpd04898	Naratriptan
cpd04899	Dihydroergotamine
cpd04900	Formoterol
cpd04901	Pirbuterol
cpd04902	Flavoxate
cpd04903	Hexocyclium
cpd04904	Beclometasonedipropionate
cpd04905	Homatropine
cpd04906	Fluticasone
cpd04907	Mometasone
cpd04908	Mometasonefuroate
cpd04909	Mepenzolate
cpd04910	Dyphylline
cpd04911	Flumazenil
cpd04912	Aprobarbital
cpd04913	Butabarbital
cpd04914	Mephobarbital
cpd04915	Ethinamate
cpd04916	Ethchlorvynol
cpd04917	Paraldehyde
cpd04918	gmhep7p
cpd04919	Fomepizole
cpd04920	gmhep1p
cpd04921	Ethotoin
cpd04922	Fosphenytoin
cpd04923	Levetiracetam
cpd04924	Methohexital
cpd04925	Thiamylal
cpd04926	Methantheline
cpd04927	Oxyphencyclimine
cpd04928	Propiverine
cpd04929	Clidinium
cpd04931	Tridihexethyl
cpd04932	Tridihexethyliodide
cpd04933	Rabeprazole
cpd04934	Rabeprazolesodium
cpd04935	Dolasetron
cpd04936	Metoclopramide
cpd04937	Bismuthsubsalicylate
cpd04938	Difenoxin
cpd04939	Diphenoxylate
cpd04940	Docusatehydrogen
cpd04941	Butamben
cpd04942	Magnesia_[Milkof]
cpd04943	Chloroprocaine
cpd04944	Dibucaine
cpd04945	Ursodiol
cpd04946	Dyclonine
cpd04947	Dextroamphetamine
cpd04948	Brimonidine
cpd04949	Levobupivacaine
cpd04950	Cyclophosphamideanhydrous
cpd04951	Mephentermine
cpd04952	Midodrine
cpd04953	Pramoxine
cpd04954	Propoxycaine
cpd04955	Naphazolinehydrochloride
cpd04956	Pemoline
cpd04957	Phendimetrazine
cpd04958	Leflunomide
cpd04959	RS61443
cpd04960	Sirolimus
cpd04961	Thalidomide
cpd04962	Phenylpropanolamine
cpd04963	Tetryzoline
cpd04964	Xylometazoline
cpd04965	(_)_Bunolol
cpd04966	Metipranolol
cpd04967	Metocurine
cpd04968	Metirosine
cpd04969	Carisoprodol
cpd04970	Chlorphenesin
cpd04971	Chlorphenesincarbamate
cpd04972	Chlorzoxazone
cpd04973	Dantrolenesodiumanhydrous
cpd04974	Metaxalone
cpd04975	Orphenadrine
cpd04976	Riluzole
cpd04977	Amantadinehydrochloride
cpd04978	Biperiden
cpd04979	Entacapone
cpd04980	Tolcapone
cpd04981	Chlorpromazinehydrochloride
cpd04982	Chlorprothixene
cpd04983	Prolixinenanthate
cpd04984	Prolixindecanoate
cpd04985	Lithiumcarbonate
cpd04986	Tirofiban
cpd04987	Cerivastatin
cpd04988	Bithionol
cpd04989	Diethylcarbamazine
cpd04990	Ivermectin
cpd04991	Trichlorfon
cpd04992	Piperazine
cpd04993	Suramin
cpd04994	Imipraminehydrochloride
cpd04995	Magnesiumsalicylate
cpd04996	Dehydroemetine
cpd04997	Eflornithine
cpd04998	Furazolidone
cpd04999	Melarsoprol
cpd05000	Nifurtimox
cpd05001	Alfentanil
cpd05002	Alfentanilhydrochlorideanhydrous
cpd05003	Buprenorphine
cpd05004	Dezocine
cpd05005	LAAM
cpd05006	Levorphanol
cpd05007	Morphinesulfateanhydrous
cpd05008	Oxycodone
cpd05009	Oxymorphone
cpd05010	Remifentanil
cpd05011	Sufentanil
cpd05012	Hydrocodone
cpd05013	Oxycodonehydrochloride
cpd05014	Nalmefene
cpd05015	Methacyclinehydrochloride
cpd05016	Minocyclinehydrochloride
cpd05017	Erythromycinestorate
cpd05018	Quinupristin
cpd05019	Dalfopristin
cpd05020	Quinupristin_dalfopristin
cpd05022	Hexachlorophene
cpd05023	Iodineaqueous
cpd05024	Nitrofurazone
cpd05026	Kanamycinsulfate
cpd05029	Sulfamethizole
cpd05030	Sulfacetamidesodiumanhydrous
cpd05031	Cinoxacin
cpd05032	Lomefloxacinhydrochloride
cpd05033	Moxifloxacinhydrochloride
cpd05034	Sodiump_aminosalicylate
cpd05035	Capreomycinsulfate
cpd05036	Cycloserine
cpd05038	Rifapentine
cpd05039	Carbazole
cpd05040	2_Aminobiphenyl_2_3_diol
cpd05041	2_Hydroxy_6_oxo_(2_aminophenyl)_hexa_2_4_dienoate
cpd05042	1_4_Cyclohexanedione
cpd05043	Saponarin
cpd05044	Butoconazole
cpd05045	Butoconazolenitrate
cpd05046	Butenafine
cpd05047	Econazole
cpd05048	Econazolenitrate
cpd05049	Miconazolenitrate
cpd05050	Naftifine
cpd05051	Naftifinehydrochloride
cpd05052	Pimaricin
cpd05053	Oxiconazole
cpd05054	Oxiconazolenitrate
cpd05055	Sulconazole
cpd05056	Terbinafine
cpd05057	Terconazole
cpd05058	Tioconazole
cpd05060	Amprenavir
cpd05061	Delavirdinemesilate
cpd05062	Efavirenz
cpd05063	Indinavirsulfate
cpd05064	Dienestrol
cpd05065	Nelfinavirmesilate
cpd05066	Oseltamivir
cpd05067	Oseltamivirphosphate
cpd05068	Rimantadinehydrochloride
cpd05069	Zanamivir
cpd05071	Cefalotinsodium
cpd05072	Sodiumcefapirin
cpd05073	Cefamandolenafate
cpd05074	Cefmetazole
cpd05075	Cefmetazolesodium
cpd05076	Cefonicidsodium
cpd05077	Cefoxitinsodium
cpd05078	Cefuroximeaxetil
cpd05079	Cefuroximesodium
cpd05080	Loracarbef
cpd05081	Cefdinir
cpd05082	Cefepime
cpd05083	Cefoperazonesodium
cpd05084	Cefotaximesodium
cpd05085	Cefpodoxime
cpd05086	Cefpodoximeproxetil
cpd05088	Ceftibuten
cpd05089	Ceftizoximesodium
cpd05091	Vancomycinhydrochloride
cpd05092	Bacampicillin
cpd05093	Bacampicillinhydrochloride
cpd05094	Nafcillinsodium
cpd05095	PenicillinV
cpd05096	Paricalcitol
cpd05097	Calciumcarbonate
cpd05098	Calciumchlorideanhydrous
cpd05099	Calciumcitrate
cpd05100	Calciumlactate
cpd05102	Synthos
cpd05103	Galliumnitrate
cpd05104	Tiludronate
cpd05105	Sodiumfluoride
cpd05106	Fosfestrol
cpd05107	Linezolid
cpd05108	Primolutdepot
cpd05109	Levonorgestrel
cpd05110	Medroxyprogesteroneacetate
cpd05111	Megestrolacetate
cpd05112	Norethindroneacetate
cpd05113	Norgestrel
cpd05114	Nandrolonedecanoate
cpd05115	Nandrolonephenpropionate
cpd05116	Testosteronecypionate
cpd05117	Testosteroneenanthate
cpd05118	Testosteronepropionate
cpd05119	Anastrozole
cpd05120	Bicalutamide
