UDPNACETYLGLUCOSAMACYLTRANS-ENZRXN	UDP-N-acetylglucosamine acyltransferase
ENZRXN-12704	butein 4'-glucosyltransferase
CHORISMATE-SYNTHASE-ENZRXN	chorismate synthase
ENZRXN-13798	17-oxosparteine synthase
ENZRXN-21014	curcumin-4'-<i>O</i>-&beta;-<i>D</i>-gentiobioside 1,6-glucosyltransferase
ENZRXN-16955	feruloyl-CoA hydratase
ENZRXN-13505	isopimaradienal hydroxylase
ENZRXN-21390	2'-deoxycytidine deaminase
ENZRXN66-6851	testosterone 19-hydroxylase
ENZRXN-21659	cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-21696	3-oxo-palmitoyl-[acyl-carrier protein] synthase
ENZRXN-14789	eugenol synthase
ENZRXN1G-1256	trans-delta2-cis,cis-delta17,29-C48:3-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN-17020	inosine phosphorylase
ENZRXN-20005	phosphoglucomutase
ENZRXN-15656	naphthalene dioxygenase
ENZRXN-12033	7-methylxanthosine hydrolase
ENZRXN-8181	sinapoylglucose:choline <i>O</i>-sinapoyltransferase
ENZRXN-18950	cellulase
ENZRXN0-4281	aspartate 1-decarboxylase
ENZRXN-12731	phytoene synthase
ENZRXNQT-12867	&delta;1-pyrroline-5-carboxylate synthetase
ENZRXN-17204	(2,3-dihydroxybenzoyl)adenylate synthase
ENZRXN0-4944	deoxyinosine triphosphate pyrophosphatase
ENZRXN-15987	carbonic anhydrase
ENZRXN-19017	<i>trans</i>-pentenal reductase
ENZRXN3O-476	acetoin synthase
ENZRXN-19707	Mannosyl-oligosaccharide glucosidase
ENZRXN-15095	aspartyl-tRNA<sup>Asp</sup> synthetase
ENZRXN-9853	(gibberellin-53), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13286	dimethylallyl diphosphate:umbelliferone dimethylallyltransferase
ENZRXN-14402	ureidoglycolate dehydrogenase
ENZRXN-20826	isobutanal:L-alanine aminotransferase
ENZRXN-14810	tropinone reductase
ENZRXN-21079	luteolin 3'-<i>O</i>-methyltransferase
ENZRXN-15148	acyl phosphate synthase
ENTG-ENZRXN	aryl carrier protein
ENZRXN-18133	UDP-indole-3-butyric acid glucosyltransferase
ENZRXN-11866	succinate semialdehyde dehydrogenase
ENZRXN-20899	benzyl 6-<i>O</i>-&beta;-<i>L</i>-apiofuranosyl-&beta;-<i>D</i>-glucopyranoside glucosidase (Yabukita)
ENZRXN-17377	galactonolactonase
ENZRXN66-460	phosphomevalonate kinase
ENZRXN-18432	DsrC disulfide reductase
ENZRXN-16746	OPC4-trans-2-enoyl-CoA hydratase
ENZRXN-703	homocysteine methyltransferase
ENZRXNQT-4615	4-amino-2-methyl-5-hydroxymethylpyrimidine phosphate kinase
ENZRXN-8583	NMN 5'-nucleotidase
ENZRXN-12152	chlorophyll synthetase
ENZRXN-13112	APS reductase
ENZRXN-17419	hemoglobin aspartic proteinase
ENZRXN-3109	benzaldehyde dehydrogenase
ENZRXN-21233	quercetin 3-<i>O</i>-(6"-<i>O</i>-<i>p</i>-coumaroyl)-glucoside 3"-coumaroyltransferase
ENZRXN-7622	formononetin,NADPH:oxygen oxidoreductase (2-hydroxylating)
ENZRXN-17075	inositol-4-phosphate monophosphatase
ENZRXN1F-1121	dihydrokaempferol dioxygenase
ENZRXN-18540	cycloartenol 4&alpha;-methyl oxidase
ENZRXN-20609	squalenehopanol cyclase
ENZRXN-14203	2-amino-5-chloromuconate semialdehyde dehydrogenase
ENZRXN0-7443	myristoyl-[acyl-carrier-protein] reductase
ENZRXN-9931	gibberellin A13,oxoglutarate:oxygen oxidoreductase
ENZRXN-14470	germacrene B synathse
ENZRXN-12593	2,4-dienoyl-CoA reductase
ENZRXN-19204	violaxanthin de-epoxidase
ENZRXN-19067	4,4'-diapophytoene synthase
ENZRXN-13365	quinolinate synthase
ENZRXN-14263	tryptophan 5-hydroxylase
ENZRXN-5362	isoflavone-7-O-glucoside &beta;-glucosidase
NRFMULTI-ENZRXN	nitrite reductase
ENZRXN-18049	glucuronate 2-sulfatase
ENZRXN-13997	2-methyl-3-hydroxypyridine-4,5-dicarboxylate 4-decarboxylase
ENZRXN-16554	geranylgeranyl diphosphate reductase
ENZRXN-14634	(+)-&delta;-cadinene synthase
ENZRXN66-5223	glucuronosyl-<i>N</i>-acetylgalactosaminyl-proteoglycan 4-&beta;-<i>N</i>-acetylgalactosaminyltransferase
ENZRXN-20955	quercetin-4',3-<i>O</i>-glucosyltransferase
ENZRXN-16809	methyl jasmonate methylesterase
ENZRXN-21277	nucleoside-triphosphatase
ENZRXN-15519	oleate hydroxylase
ENZRXN-16624	(E)-&beta;-caryophyllene synthase
ENZRXN1G-148	trans-delta2-cis-delta7-C26:2-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN-17885	geranylgeranyl-diphosphate tri-trans,poly-cis-undecaprenyl-diphosphate synthase
ENZRXNQT-10319	(Z)-&gamma;-bisabolene synthase
ENZRXN-7859	nuclear inclusion protein A
ENZRXN-2802	glutamate dehydrogenase
ENZRXN66-17673	Sodium independent tryptophan transport
ENZRXN-20412	selina-4,11-diene synthase
ENZRXN-17095	myo-inositol (1,4,5,6)-tetrakisphosphate 3-phosphatase
ENZRXN-20676	coniferyl alcohol acetyltransferase
ENZRXN-1263	glutamate mutase
ENZRXN-16016	5'-methylthioadenosine nucleosidase
ENZRXN-19561	3-ketodihydrosphinganine reductase
ENZRXN-21764	oleate 12-hydroxylase
ENZRXN-20477	cichorrin transglucosylase (&beta;-glucosidase activity)
ENZRXN-941	ornithine racemase
ENZRXN-14322	nitrate reductase
ENZRXN0-6438	nitric-oxide reductase
ENZRXN-11169	2,3-dehydrokievitone synthatase
ENZRXN-13811	Sesamin synthase
ENZRXN-19086	geraniol isomerase
ENZRXN-14063	L-sorbosone dehydrogenase
ENZRXN-18159	(11Z,14Z)-icosa-11,14-dienoyl-CoA &Delta;<sup>5</sup> desaturase
ENZRXN0-6141	DNA primase
ENZRXN-14680	(<i>S</i>)-3-hydroxybutyryl-CoA dehydrogenase
ENZRXN-12964	cyanidin 3-<i>O</i>-glucoside 2''-<i>O</i>-glucosyltransferase
ENZRXN66-3177	succinate-ubiquinone reductase
ENZRXN-13880	maleylacetate reductase
ENZRXN-16680	hydroxyneurosporene methyltransferase
ENZRXN-15431	UDP-glucose:2-amino-4,6-dinitrotoluene-glucosyltransferase
ENZRXN-321	adenylylsulfate reductase
ENZRXN-12376	lipoamide acyltransferase <i>N<sup>6</sup></i>-(dihydrolipoyl)lysine:NAD+ oxidoreductase
ENZRXN3O-744	succinate dehydrogenase
ENZRXN-15219	decanoyl-[acp]:malonyl-[acyl-carrier protein] C-acyltransferase (decarboxylating)
ENZRXN-20975	D-lysine oxidase
ENZRXN66-19609	3<i>R</i>-hydroxyacyl-CoA dehydrogenase
ENZRXN-16961	pimeloyl-CoA synthetase
ENZRXNQT-12478	CYP79F2 pentahomomethionine monooxygenase
ENZRXN-20529	glycyrrhetaldehyde 30-monooxygenase
ENZRXN0-6601	3-hydroxypropionaldehyde dehydrogenase
ENZRXN4LZ-320	plastoquinol-plastocyanin reductase
ENZRXN-13392	3-phosphoserine phosphatase
ENZRXN-17480	4-coumarate coenzyme A ligase
ENZRXN-19453	ADP-dependent glucokinase
ENZRXN-18728	NAD<sup>+</sup>-dependent L-rhamnofuranose 1-dehydrogenase
ENZRXN-10102	cysteinylglycine dipeptidase
ENZRXN-18955	cellulase
ENZRXN-7907	indole-3-glyoxylate side chain oxidase
ENZRXN-13929	glutaminase
ENZRXN-11424	catechol 2,3-dioxygenase
ENZRXN-9623	homoserine <i>O</i>-acetyltransferase
GUANPHOSPHOR-ENZRXN	guanosine phosphorylase
ENZRXN-10442	xanthine oxidase
ENZRXN-15549	dimethylsulfone reductase
ENZRXN-19269	neocarratetraose 4-<i>O</i>-disulfate  4-sulfatase
ENZRXN-20830	endo-1,4-&beta;-xylanase
ENZRXN66-1390	Cytochrome P450 11B1, mitochondrial
ENZRXN-21546	S-adenosylmethionine decarboxylase
ENZRXN-6341	isoflavone7-O-glucosyltransferase
ENZRXN-12171	tyrosine aminotransferase
ENZRXN-14342	4-hydroxybutyrate coenzyme A transferase
ENZRXN-12438	UDP-glucose:naringenin 7-O-&beta;-D-glucosyltransferase
ENZRXN66-3927	nicotine hydroxylase
ENZRXN-19590	11&beta;-hydroxy-1-deoxypentalante dehydrogenase
ENZRXN-17751	dihydroneopterin triphosphate pyrophosphohydrolase
ENZRXN-21356	naringenin 2-oxoglutarate oxygen oxidoreductase
ENZRXN-12240	flavone-6-hydroxylase
ENZRXN-7062	limonene synthase
ENZRXN-1085	pyruvate orthophosphate dikinase
THRS-ENZRXN	threonyl-tRNA synthetase
ENZRXN3DJ-35173	ectonucleotide pyrophosphatase/phosphodiesterase
ENZRXN-18554	raffinose galactohydrolase
ENZRXN-16698	3,4-dihydroxybenzoate-protein ligase
ENZRXN-18796	maltodextrinase
ENZRXN-12994	&beta;-carotene 3,4-desaturase
ENZRXN-12701	chalcone 3-hydroxylase
ENZRXN-17001	alkaline peroxidase
ENZRXN-21627	2,3-di-<i>O</i>-geranylgeranyl-<i>sn</i>-glycerol 1-phosphate reductase [NAD(P)H]
ENZRXN-14208	2-amino-5-methyl-muconate deaminase
ENZRXN-18617	4-hydroxy-4-methyl-2-oxoglutarate aldolase
ENZRXN-123	phosphoglycerate kinase
ENZRXN-12880	2-aminoadipate-2-oxoglutarate aminotransferase
ENZRXN0-7212	protoporphyrinogen dehydrogenase
ENZRXN-16205	quercetin 3-sulfotransferase
ENZRXN-5465	folylpolyglutamate &gamma;-glutamyl hydrolase
ENZRXN-14786	coniferyl acohol acetyltransferase
ENZRXN-20567	lupeol 28-monooxygenase
ENZRXN-6481	5-<i>epi</i>-aristolochene synthase
ENZRXN-16559	(<i>E</i>)-&beta;-caryophyllene synthase
ENZRXN-18999	cellulase
ENZRXN-18664	oxaloacetate acetylhydrolase
ENZRXN0-3783	tRNA pseudouridine synthase
ENZRXN-5922	dimethylallyl-diphosphate:AMP dimethylallyltransferase
HOMOSERDEHYDROGII-ENZRXN	homoserine dehydrogenase
ENZRXNQT-12833	histidinol-phosphate phosphatase
ENZRXN-14971	(3S,6R)-6-isopropenyl-3-methyloxepan-2-one hydrolase
ENZRXN-18340	D-altriol dehydrogenase
ENZRXN1G-1654	arabinogalactan: trehalose-cis-methoxy-mycolate mycolyltransferase
ENZRXN-20417	7-<i>epi</i>-&alpha;-selinene synthase
ENZRXN-13950	NAD-dependent alcohol dehydrogenase
ENZRXN-6163	isopentenyladenosine-5'-diphosphate-hydroxylase
ENZRXN3O-1213	2,3-oxidosqualene-lanosterol cyclase
ENZRXN-20879	aspartate aminotransferase
ENZRXN-15067	5'-oxoaverantin cyclase
ENZRXN1G-3855	trans-keto-C61-meroacyl-[acp] synthetase
ENZRXN-17778	5,6-dihydroxyindole-2-carboxylate monooxygenase
ENZRXN-9850	(gibberellin-15), 2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13818	succinate dehydrogenase
ENZRXN1G-669	trehalose-trans-keto-mono-mycolate transporter
GARTRANSFORMYL2-ENZRXN	phosphoribosylglycinamide formyltransferase
ENZRXN-20195	ribostamycin:(<i>S</i>)-2-hydroxy-4-glutamyl-4-aminobutanoyl-[BtrI acyl-carrier protein] (<i>S</i>)-2-hydroxy-4-glutamyl-4-aminobutanoate transferase
ENZRXN-16030	thymidylate synthase
ENZRXN66-1526	arachidonate 5-lipoxygenase
ENZRXN-16368	indole-3-acetyl-glutamine synthetase
ENZRXN-7481	pterocarpan synthase
ENZRXN-21656	pelargonidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-17345	salycilate-cysteine ligase
ENZRXN66-4536	2-5A-dependent ribonuclease
ENZRXN-16092	2-phospho-L-lactate guanylyltransferase
ENZRXN3O-841	nicotinate nucleotide adenylyltransferase
ENZRXN-16148	2,4-dichlorotoluene dioxygenase
ENZRXN-17666	diaminobutyrate--2-oxoglutarate transaminase
ENZRXN-4206	S-formylglutathione hydrolase
ENZRXN-18174	insulin-like growth factor binding protein-5 protease
ENZRXN-10988	myo-inositol-1,4,5-trisphosphate 6-kinase
ENZRXN-20267	UDP-4-amino-4,6-dideoxy-&alpha;-D-N-acetyl-D-glucosamine <i>N</i>-acetyltransferase
ENZRXN0-4261	23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase
ENZRXN-17072	inositol-3-phosphate monophosphatase
ENZRXN-14245	GDP-D-mannose pyrophosphorylase
ENZRXN-21206	4-coumarate:CoA ligase
ENZRXN-10143	glutamate--cysteine ligase
ENZRXN-18238	cysteate aminotransferase
ENZRXN-18282	juvenile hormone III acid methyltransferase
ENZRXN0-2603	enoyl-CoA hydratase/isomerase
ENZRXN-15092	glutamyl-tRNA<sup>Glu</sup> synthetase
ENZRXN-13588	(<i>E</i>)-&alpha;-bisabolene synthase
ENZRXN-20017	succinate-semialdehyde dehydrogenase (NADP<small><sup>+</sup></small>)
ENZRXN-19063	leucine carboxy methyltransferase
ENZRXN-12335	L-tryptophan:phenylpyruvate aminotransferas
ENZRXN-455	gibberellin A1,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-12179	tyrosine 3-monooxygenase
ENZRXN-16602	sirohydrochlorin cobaltochelatase
ENZRXN-20134	kanamycin B 6''-carbamoyltransferase
ENZRXN-14603	tyrosol:NAD+ oxidoreductase
ENZRXN-20085	hydroquinone 1,2-dioxygenase
ENZRXN-17374	UDP-glucose dehydrogenase
ENZRXN-20948	quercetin-4'-<i>O</i>-glucosyltransferase
ENZRXN-17249	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
ENZRXN-15736	5-chloro-3-methylcatechol 1,2-dioxygenase
ENZRXN-327	dihydrophloroglucinol hydrolase
ENZRXN-18560	3',5'-diiodothyronine 5'-deiodinase
ENZRXN-18686	stigmasterol glucosyltransferase
ENZRXN-382	propionate-CoA ligase
ENZRXN-13648	(-)-&beta;-pinene synthase
ENZRXN-20455	short-chain acyl-CoA dehydrogenase
ENZRXN-20802	dTDP-3-<i>N,N</i>-dimethylamino-4-oxo-2,3,6-trideoxy-&alpha;-L-glucose 4-ketoreductase
ENZRXN-3545	trans-5-O-(4-coumaroyl)-D-quinate,NADPH:oxygen oxidoreductase (3-hydroxylating)
ENZRXN-21230	heme oxygenase
ENZRXN-7856	inositol-1,4,5-trisphosphate 6-kinase
ENZRXN-553	gibberellin A1,2-oxoglutarate:oxygen oxidoreductase
ENZRXN-13529	&beta;-pinene synthase
ENZRXN-21123	UDP-glucose:hydroxy fatty acid glucosyltransferase
ENZRXN-19789	poly-&gamma;-D-glutamate synthase
ENZRXN-13406	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate- and CO-forming)
ENZRXN-622	<I>p</I>-cymene monooxygenase
ENZRXN-15806	guanosine phosphorylase
ENZRXN-13860	&beta;-glucogallin: hexagalloylglucose 3-<i>O</i>-galloyltransferase
ENZRXN-12590	(S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
ENZRXNI-1442	
ENZRXN-14318	presqualene diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN-13476	9-HPOT lyase
ENZRXN1G-167	(R)-3-hydroxybehenoyl-[acp] dehydratase
ENZRXN-15673	(+)-5-chloromuconolactone lyase (decyclizing)
ENZRXN-8821	choline dehydrogenase
ACSERLYA-ENZRXN	cysteine synthase
ENZRXN-15564	lignin peroxidase
ENZRXN1G-762	trans-delta2-cis,cis-delta21,39-C58:3-[acp]:NADH+ oxidoreductase (B-specific)
ENZRXN-19871	methylglutamate dehydrogenase
ENZRXN-14631	2-amino-4-deoxychorismate hydrolase
ENZRXN-16677	&zeta;-carotene desaturase
ENZRXN4FS-1	phosphoethanolamine N-methyltransferase
ENZRXN-922	ferulate decarboxylase
ENZRXN-16035	dihydroorotate dehydrogenase
ENZRXN-15628	<i>cis</i>-dienelactone hydrolase
ENZRXN-1973	2-hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid hydrolase
ENZRXN-14512	a2-methylaconitate hydratase
ENZRXNMETA-19628	perakine reductase
ENZRXN-11947	UDP-glucose:sinapyl-alcohol 4-&beta;-D-glucosyltransferase
ENZRXN-19607	9<i>S</i>-lipoxygenase
ENZRXN-20526	11-oxo-&beta;-amyrin 30-monooxygenase
ENZRXN-16166	3,5-dichloro-2-methyl-muconolactone dehalogenase
ATPSYN-ENZRXN	ATP synthase
ENZRXN-18179	<i>R</i>-sulfolactate oxidoreductase
ENZRXN-10365	S-adenosyl-L-methionine:salicylic acid carboxymethyltransferase
2-DEHYDROPANTOATE-REDUCT-ENZRXN	2-dehydropantoate 2-reductase
ENZRXN66-2581	malonyl-CoA:[acyl-carrier protein] S-malonyltransferase
ENZRXN-1968	starch synthase
ENZRXN-9384	L-lactate dehydrogenase
ENZRXN-13926	L-asparaginase
ENZRXN-20718	exoglycosidase
ENZRXN-13195	1-18:2-2-18:2-digalactosyldiacylglycerol desaturase
ENZRXN-11553	peptidylarginine deiminase
ENZRXN-20021	(2<i>R</i>,3<i>R</i>)-3-methylornithine synthase
ENZRXN-18300	<i>ent</i>-kaurene synthase
ENZRXN-11885	D-arginine dehydrogenase
ENZRXN-12010	6-hydroxynicotinate dehydrogenase
ENZRXN-12222	&alpha;1,3-fucosyltransferase
ENZRXN-12567	chalcone synthase
ENZRXN-11806	glutamate dehydrogenase
ENZRXN66-3100	[chondroitin]-<i>N</i>-acetylgalactosamine 4-<i>O</i>-sulfotransferase
ENZRXN66-1327	farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase
ENZRXN-3284	cyclohexanol dehydrogenase
ENZRXN-13134	carbon disulfide oxygenase
ENZRXN66-905	UDP-glucuronosyltransferase 2B7
ENZRXN0-7630	murein DD-endopeptidase YdhO
ENZRXN-13015	UDP-D-glucose:cyanidin 3-(p-coumaroyl)-glucoside 5-O-glucosyltransferase
ENZRXN-20155	phytoene synthase
ENZRXN-13259	tetrathionate reductase
ENZRXN-186	phosphoribulokinase
ENZRXN-16958	4-coumaroyl-CoA synthetase
ENZRXN-16932	berberine bridge enzyme
ENZRXN-1084	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)
ENZRXN-13080	bixin methyltransferase
ENZRXN-13413	galactinol synthase
ENZRXN0-7483	isoaspartyl dipeptide hydrolase
ENZRXN-14104	cobyrinate a,c-diamide synthase
PSERPHOSPHA-ENZRXN	phosphoserine phosphatase
ENZRXN0-7319	thiosulfate sulfurtransferase
ENZRXN-3983	methylamine dehydrogenase
ENZRXN-18411	5-<i>epi</i>-aristolochene-1,3-dihydroxylase
ENZRXN-18952	1,4-a-D-glucan maltohydrolase
ENZRXN-1229	caffeate coenzyme A ligase
ENZRXN-5825	fatty acid &alpha;-dioxygenase
ENZRXN-18923	hydrogenase
ENZRXN-15569	4&alpha;-formyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol,NAD(P)H:oxygen oxidoreductase (hydroxylating)
ENZRXN0-7412	cytidine nucleosidase
PABASYN-ENZRXN	4-amino-4-deoxychorismate synthase
ENZRXN66-1986	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase
ENZRXN-20828	acetaldehyde dehydrogenase
ENZRXN-17958	germacrene A oxidase
IMP-DEHYDROG-ENZRXN	IMP dehydrogenase
ENZRXN-18661	tributyrin caboxylester hydrolase
ENZRXN-13547	longifolene synthase
ENZRXN0-803	<i>N</i><sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase
ENZRXN-19619	ATP phosphatase
ENZRXN1G-332	3-oxo-arachidoyl-[acp] synthase
ENZRXN-17904	chlorate reductase
ENZRXN-6989	trihydroxypterocarpan dimethylallyltransferase
MHPCHYDROL-ENZRXN	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase
ENZRXN-7041	(-)-limonene-3-hydroxylase
ENZRXN-6143	trehalose-6-phosphate synthase
ENZRXN-12478	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ENZRXN-2425	glucose-6-phosphate isomerase
ENZRXN-17793	CYP83A1 phenylacetaldoxime monooxygenase
ENZRXN-11558	UDP-D-glucuronate pyrophosphorylase
ENZRXN-15693	1,2-dichlorobenzene dioxygenase
ENZRXN-2204	4-nitrobenzoate reductase
ENZRXN-18025	[heparan-sulfate]-6-<i>O</i>-sulfotransferase
ENZRXN-16074	6,7-dimethyl-8-ribityllumazine synthase
ENZRXN-14181	3-nitrotoluene 1,2-dioxygenase
ENZRXN-17855	NADPH:p-coumaroyl-CoA oxidoreductase
ENZRXN-14205	4-hydroxylaminotoluene aminohydroxymutase
ENZRXN1G-666	trehalose-cis-methoxy-mono-mycolate transporter
ENZRXN-1302	nitrate reductase
ENZRXN0-6167	lipopolysaccharide glucosyltransferase
ENZRXN-16850	shikimate O-hydroxycinnamoyltransferase
ENZRXN0-6258	FMN phosphatase
ENZRXN-21669	cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-19748	homocysteine S-methyltransferase
ENZRXN-2701	glucose-6-phosphate isomerase
ENZRXN-18220	aromatic (<i>S</i>)-hydroxynitrile lyase
ENZRXN-16556	geranylgeranyl diphosphate diphosphatase
ENZRXN-16145	5-chloro-3-methyl-muconolactone isomerase
ENZRXN-16509	taxadien-5-&alpha;-ol O-acetyltransferase
ENZRXN-21733	NADH:ubiquinone oxidoreductase (internal)
ENZRXN0-7336	guanosine phosphorylase
ENZRXN-15236	(<i>R</i>)-3-hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase
ENZRXN-18839	6-phosophogluco-3-phosphogluco-starch phosphatase
ENZRXN-15307	(<i>R</i>)-3-hydroxydodecanoyl-[acp] dehydratase
ENZRXN0-4441	aminopeptidase
3-OXOACYL-ACP-SYNTHI-ENZRXN	&beta;-ketoacyl-ACP synthase
ENZRXN-20414	malate/oxaloacetate antiporter
ENZRXN0-6375	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
ENZRXN-1828	indole-3-acetonitrile nitrilase
ENZRXN-20065	ethanol dehydrogenase
IPPISOM-ENZRXN	isopentenyl diphosphate isomerase
ENZRXN-20389	isoitalicene synthase
ENZRXN0-5621	helicase
ENZRXN-17501	tricaffeoyl spermidine O-methyltransferase
ENZRXN-6821	dihydrodipicolinate synthase
ENZRXN-13813	Sesamin synthase
ENZRXN-17565	peptidoglycan DD transpeptidase
ENZRXN-15106	vanillate <i>O</i>-demethylase
ENZRXN-20131	paromamine 6'-oxidase
ENZRXN-11903	canaline reductase
ENZRXN-15406	p-coumaroyl ester 3'-hydroxylase
ENZRXN-17799	elymoclavine aldehyde monooxygenase
ENZRXN-3404	4-hydroxyphenylpyruvate dioxygenase
ENZRXN-19294	GDP-D-glucose phosphorylase
ENZRXN-13789	(+)-pinoresinol reductase
ENZRXN-15186	palmitate:CoA ligase (AMP-forming)
ENZRXN3O-8	shikimate kinase
ENZRXN-38	dehydroshikimate dehydratase
ENZRXN-16408	cis-zeatin transporter
ENZRXN-19357	3-phosphonopyruvate hydrolase
ENZRXN-17388	hydrazine oxidoreductase
ENZRXN-21674	delphinidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
ENZRXN-13152	protein-tyrosine sulfotransferase
ENZRXN-21388	norsolorinate anthrone synthase
ENZRXN-17644	laurate &omega;-hydroxylase
ENZRXN-13458	superoxide dismutase
ENZRXN-2.4.1.46-2	UDP-galactose:DAG galactosyltransferase
ENZRXN-1745	isocitrate lyase
ENZRXN-10122	cysteinylglycine dipeptidase
ENZRXN-13526	myrcene synthase
ENZRXN0-4521	formate dehydrogenase
ENZRXN-12728	9,9'-di-<i>cis</i>-&zeta;-carotene desaturase
ENZRXN-20309	3-oxo-arachidoyl-CoA synthase
ENZRXN-21453	<i>ent</i>-copalyl diphosphate synthase
ENZRXN-21244	deoxyinosine diphosphate phosphatase
ENZRXN0-7529	oxaloacetate <i>keto-enol</i>-isomerase
ENZRXN-19427	<i>all-trans</i>-retinal dehydrogenase
ENZRXN-15611	(24<i>E</i>)-3&alpha;,7&alpha;-dihydroxy-5&beta;-cholest-24-enoyl-CoA hydratase
ENZRXN-12173	4-coumaroyl-CoA:R(+)-3,4-dihydroxyphenyllactate 2'-O-coumaroyl-transferase
ENZRXN-15670	3,6-dichlorocatechol 1,2-dioxygenase
ENZRXN3O-430	sphinganine 1-phosphate phosphatase
ENZRXN-19241	&beta;-porphyranase
ENZRXN-15115	UDP-Glc:cinnamate glucosyltransferase
ENZRXN-14809	tropinone reductase
ENZRXN-4921	chalcone isomerase
ENZRXN-12792	isopentenyl pyrophosphate isomerase
ENZRXN-12604	3-hydroxyacyl-CoA epimerase
PGLYCEROLTRANSI-ENZRXN	phosphoglycerol transferase
ENZRXN-18557	3,5-diiodothyronine 5-deiodinase
ENZRXN-21524	Aeromonas sobria serine protease
ENZRXN-19727	propanal dehydrogenase
ENZRXN-19659	&alpha;-D-glucuronidase
ENZRXN-17393	nitric oxide reductase
DXPREDISOM-ENZRXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ENZRXN-21326	2-hydroxynaringenin-6C-glucoside dehydratase
ENZRXNQT-4562	(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase
ENZRXN-13696	enolase
ENZRXN-5468	isoflavone 3'-hydroxylase
ENZRXN-14870	&delta;-tocopherol cyclase
ENZRXN-14647	emodin oxidative coupling protein
ENZRXN-11882	4-guanidinobutyraldehyde dehydrogenase
ENZRXN-17921	mannitol dehydrogenase
ENZRXN-12855	arabitol dehydrogenase
ENZRXN-21249	S-methyl-5'-thioadenosine phosphorylase
ENZRXN-11716	&beta;-cyano-L-alanine synthase
ENZRXN-9929	gibberellin A12,oxoglutarate:oxygen oxidoreductase
ENZRXN-12140	UDP-glucose:glycogenin 4-&alpha;-D-glucosyltransferase
ENZRXN-12667	acyl-CoA  hydrolase (short chain)
ENZRXN1G-1656	arabinogalactan:trehalose-cis-keto-mycolate mycolyltransferase
ENZRXN-13131	UDP-glucose:quercetin 7-O-glucosyltransferase
ENZRXN-15915	3-cis,cis-delta19,31-3-hydroxyC50:2-[acyl-carrier protein] dehydratase
ENZRXNQT-7300	ribonucleoside diphosphate reductase
ENZRXNQT-10741	wax ester synthase
ENZRXN-12609	enoyl-CoA isomerase
ENZRXN-2284	fructan:fructan 6G-fructosyltransferase
ENZRXN66-5161	chondroitin-glucuronate 5-epimerase
ENZRXN-14947	(1R,4S)-iso-dihydrocarvone isomerase
ENZRXN-13062	dissimilatory sulfite reductase
ENZRXN-18529	4&alpha;-formyl-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol-methyl oxidase
ENZRXN-14745	<i>o</i>-succinylbenzoate synthase
ENZRXN-16032	creatine kinase
ENZRXN0-7477	NADH:quinone reductase, FMN dependent
ENZRXN-14652	L-sorbosone dehydrogenase
ENZRXN-17093	xanthosine phosphorylase
ENZRXN-19910	dTDP-4-dehydro-6-deoxy-D-glucose 2,3-dehydratase
ENZRXN0-1584	tRNA(m<sup>5</sup>U54)methyltransferase
ENZRXN-947	3-hydroxy-3-methylglutaryl-CoA reductase
ENZRXN0-6202	16S rRNA m<sup>5</sup>C1407 methyltransferase
FORMATEDEHYDROGO-ENZRXN	formate dehydrogenase-O
ENZRXN0-7392	ribonuclease
ENZRXN-18176	FAD-AMP lyase (cyclizing)
OXALODECARB-ENZRXN	oxaloacetate decarboxylase
ENZRXN-5298	isoflavone-4'-O-methyltransferase
