"Additional file 1 - List of reactions, genes and metabolites included in the R. ferrireducens in silico model"						
						
List of intracellular reactions						
						
Abbreviation	Name	Equation	Confidence	Subsystem	Gene	Protein
GBEZY	"1,4-alpha-glucan branching enzyme"	[c] : 14glun --> glycogen	3	Carbohydrates and related molecules	Rfer_2162	GlgB
ME1x_D	D-malate dehydrogenase (NAD)	[c] : mal-D + nad --> co2 + nadh + pyr	2	Carbohydrates and related molecules	Rfer_0440	YcsA
MNNH	D-mannonate hydrolyase	[c] : mana --> 2ddglcn + h2o	3	Carbohydrates and related molecules	Rfer_0947	UxuA
OCOAT1r	3-oxoacid CoA-transferase (Succinyl-CoA: acetoacetate)	[c] : acac + succoa <==> aacoa + succ	3	Carbohydrates and related molecules	"Rfer_1035+Rfer_1036, Rfer_2634+Rfer_2635"	ScoAB
PBUTT	phosphate butyryltransferase	[c] : btcoa + pi <==> butpi + coa	2	Carbohydrates and related molecules	Rfer_2974	Ptb
PPAK	Propionate kinase	[c] : adp + ppap <==> atp + ppa	3	Carbohydrates and related molecules	Rfer_2975	AckA 
PPCOAC	Propionyl-CoA carboxylase	[c] : atp + hco3 + ppcoa --> adp + h + mmcoa-S + pi	3	Carbohydrates and related molecules	"Rfer_2803, Rfer_3832"	"YngE, YqjD"
SUCD1	succinate dehydrogenase	[c] : fad + succ <==> fadh2 + fum	2	Carbohydrates and related molecules	Rfer_1799+Rfer_1801+Rfer_1798+Rfer_1800	Sdh
AACPS3	acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	[c] : ACP + atp + hdca --> amp + palmACP + ppi	1	Cell Envelope Biosynthesis		
AGMHE	ADP-D-glycero-D-manno-heptose epimerase	"[c] : adphep-D,D --> adphep-L,D"	3	Cell Envelope Biosynthesis	Rfer_1561	RfaD
ALAALA	D-alanine-D-alanine ligase (reversible)	[c] : (2) ala-D + atp <==> adp + alaala + h + pi	3	Cell Envelope Biosynthesis	Rfer_3423	DdlB
DAGK_EC	Diacylglycerol kinase	[c] : (0.02) 12dgr_EC + atp --> adp + h + (0.02) pa_EC	1	Cell Envelope Biosynthesis		
EDTXS1	Endotoxin Synthesis (lauroyl transferase)	[c] : ddcaACP + kdo2lipid4 --> ACP + kdo2lipid4L	2	Cell Envelope Biosynthesis	Rfer_3188	LpxL
EDTXS2	Endotoxin Synthesis (myristoyl transferase)	[c] : kdo2lipid4L + myrsACP --> ACP + lipa	2	Cell Envelope Biosynthesis	Rfer_3881	MsbB
ETHAAL	ethanolamine ammonia-lyase	[c] : etha --> acald + nh4	3	Cell Envelope Biosynthesis	Rfer_0586+Rfer_0587	EutBC
G1PACT	glucosamine-1-phosphate N-acetyltransferase	[c] : accoa + gam1p --> acgam1p + coa + h	3	Cell Envelope Biosynthesis	Rfer_1083	GlmUec
G1PTMT	glucose-1-phosphate thymidylyltransferase	[c] : dttp + g1p + h --> dtdpglc + ppi	3	Cell Envelope Biosynthesis	Rfer_2677	RfbA
GDMANE	GDP-4-dehydro-6-deoxy-D-mannose epimerase	[c] : gdpddm <==> gdpofuc	3	Cell Envelope Biosynthesis	Rfer_1235	Fcl
GDPMD	"GDPmannose 4,6-dehydratase"	[c] : gdpman --> gdpddm + h2o	3	Cell Envelope Biosynthesis	Rfer_1237	Gmd
GF6PTA	glutamine-fructose-6-phosphate transaminase	[c] : f6p + gln-L --> gam6p + glu-L	3	Cell Envelope Biosynthesis	Rfer_1074	GlmS
GMHEPAT	D-glycero-D-manno-hepose 1-phosphate adenyltransferase	"[c] : atp + gmh1p + h --> adphep-D,D + ppi"	2	Cell Envelope Biosynthesis	Rfer_1562+Rfer_4052	RfaEec
GMHEPK	D-glycero-D-manno-heptose 7-phosphate kinase	[c] : atp + gmh7p --> adp + gmh17bp + h	2	Cell Envelope Biosynthesis	Rfer_1562+Rfer_4052	RfaEec
GMHEPPA	"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase"	[c] : gmh17bp + h2o --> gmh1p + pi	1	Cell Envelope Biosynthesis		
GOFUCR	GDP-4-oxo-L-fucose reductase	[c] : gdpofuc + h + nadph --> gdpfuc + nadp	3	Cell Envelope Biosynthesis	Rfer_1235	Fcl
KDOPP	3-deoxy-manno-octulosonate-8-phosphatase	[c] : h2o + kdo8p --> kdo + pi	2	Cell Envelope Biosynthesis	Rfer_4236	KdoP
LPADSS	Lipid A disaccaride synthase	[c] : lipidX + u23ga --> h + lipidAds + udp	3	Cell Envelope Biosynthesis	Rfer_2001	LpxB
LPSSYN_EC	Lipopolysaccharide synthesis (Ecoli)	"[c] : (3) adphep-L,D + (2) cdpea + (3) ckdo + lipa + (2) udpg --> (3) adp + (2) cdp + (3) cmp + (10) h + lps_EC + (2) udp"	2	Cell Envelope Biosynthesis	"Rfer_2085, Rfer_2998, Rfer_0508"	RfaG+RfaF+RfaC
MAN1PT2	mannose-1-phosphate guanylyltransferase (GDP)	[c] : gdp + h + man1p --> gdpman + pi	3	Cell Envelope Biosynthesis	Rfer_0711	ManC
MI1PP	myo-inositol 1-phosphatase	[c] : h2o + mi1p-D --> inost + pi	3	Cell Envelope Biosynthesis	Rfer_2892	SuhB
MOAT	3-deoxy-D-manno-octulosonic acid transferase	[c] : ckdo + lipidA --> cmp + h + kdolipid4	3	Cell Envelope Biosynthesis	Rfer_2997	KdtA
MOAT2	3-deoxy-D-manno-octulosonic acid transferase	[c] : ckdo + kdolipid4 --> cmp + h + kdo2lipid4	3	Cell Envelope Biosynthesis	Rfer_2997	KdtA
PAPPT3	"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)"	[c] : udcpp + ugmda --> uagmda + ump	3	Cell Envelope Biosynthesis	Rfer_3428	MraY
PEPT_EC	ethanolamine phosphotransferase	[c] : cmp + h + (0.02) pe_EC <==> (0.02) 12dgr_EC + cdpea	1	Cell Envelope Biosynthesis		
PGAMT	phosphoglucosamine mutase	[c] : gam1p <==> gam6p	3	Cell Envelope Biosynthesis	Rfer_2013	MrsA
PPTGS	Peptidoglycan subunit synthesis	[c] : uaagmda --> h + peptido_EC + udcpdp	1	Cell Envelope Biosynthesis		
S7PI	sedoheptulose 7-phosphate isomerase	[c] : s7p <==> gmh7p	2	Cell Envelope Biosynthesis	Rfer_3874	GmhA
TDPDRE	"dTDP-4-dehydrorhamnose 3,5-epimerase"	[c] : dtdpddg <==> dtdpddm	3	Cell Envelope Biosynthesis	Rfer_2678	RfbC
TDPDRR	dTDP-4-dehydrorhamnose reductase	[c] : dtdp6dm + nadp <==> dtdpddm + h + nadph	3	Cell Envelope Biosynthesis	Rfer_0714	RfbD
TDPGDH	"dTDPglucose 4,6-dehydratase"	[c] : dtdpglc --> dtdpddg + h2o	3	Cell Envelope Biosynthesis	"Rfer_0715, Rfer_0656"	"RfbB1, RfbB"
TDSK	Tetraacyldisaccharide 4'kinase	[c] : atp + lipidAds --> adp + h + lipidA	2	Cell Envelope Biosynthesis	Rfer_3155	LpxK
U23GAAT	UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase	[c] : 3htdACP + u3hga --> ACP + h + u23ga	3	Cell Envelope Biosynthesis	Rfer_1998	LpxD
UAAGDS	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase"	[c] : 26dap-M + atp + uamag --> adp + h + pi + ugmd	3	Cell Envelope Biosynthesis	Rfer_3430	MurEec
UACMAMO	UDP-N-acetyl-D-mannosamine oxidoreductase	[c] : h2o + (2) nad + uacmam --> (3) h + (2) nadh + uacmamu	3	Cell Envelope Biosynthesis	Rfer_0667	WecC2
UAGAAT	UDP-N-acetylglucosamine acyltransferase	[c] : 3htdACP + uacgam <==> ACP + u3aga	3	Cell Envelope Biosynthesis	Rfer_2000	LpxA
UAGDP	UDP-N-acetylglucosamine diphosphorylase	[c] : acgam1p + h + utp --> ppi + uacgam	3	Cell Envelope Biosynthesis	Rfer_1083	GlmUec
UAGPT3	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	[c] : uacgam + uagmda --> h + uaagmda + udp	3	Cell Envelope Biosynthesis	Rfer_3425	MurGec
UAMAS	UDP-N-acetylmuramoyl-L-alanine synthetase	[c] : ala-L + atp + uamr --> adp + h + pi + uama	3	Cell Envelope Biosynthesis	Rfer_3424	MurC
UAPGR	UDP-N-acetylenolpyruvoylglucosamine reductase	[c] : h + nadph + uaccg --> nadp + uamr	3	Cell Envelope Biosynthesis	Rfer_2691	MurB
UDCPDP	undecaprenyl-diphosphatase	[c] : h2o + udcpdp --> h + pi + udcpp	3	Cell Envelope Biosynthesis	Rfer_1829	BacA
UGMDDS	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase"	[c] : alaala + atp + ugmd --> adp + h + pi + ugmda	3	Cell Envelope Biosynthesis	Rfer_3429	MurFec
UHGADA	UDP-3-0-acyl N-acetylglucosamine deacetylase	[c] : h2o + u3aga --> ac + u3hga	3	Cell Envelope Biosynthesis	Rfer_3414	LpxC
USHD	UDP-sugar hydrolase	[c] : h2o + u23ga --> (2) h + lipidX + ump	3	Cell Envelope Biosynthesis	Rfer_1344	LpxH
AACOR2	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	[c] : aacoa + h + nadph <==> 3hbacoa + nadp	3	Central Metabolism	Rfer_2560	PhbB
ACOAH	acetyl-CoA hydrolase	[c] : accoa + h2o --> ac + coa + h	3	Central Metabolism	Rfer_0716	Ach2
ACTPASE	acylphosphatase	[c] : actp + h2o --> ac + h + pi	2	Central Metabolism	Rfer_1453	AcyP
ENO	enolase	[c] : 2pg <==> h2o + pep	3	Central Metabolism	Rfer_2650	Eno
FDH	formate dehydrogenase	[c] : for + nad --> co2 + nadh	2	Central Metabolism	"Rfer_3260, Rfer_3261"	FdhA+FdhB
G3PD1	glycerol-3-phosphate dehydrogenase (NAD)	[c] : glyc3p + nad <==> dhap + h + nadh	3	Central Metabolism	Rfer_1313	GpsA
G3PD2	glycerol-3-phosphate dehydrogenase (NADP)	[c] : glyc3p + nadp <==> dhap + h + nadph	3	Central Metabolism	Rfer_1313	GpsA
G3PD4	glycerol-3-phosphate dehydrogenase (menaquinone 7)	[c] : glyc3p + mqn7 --> dhap + mql7	3	Central Metabolism	Rfer_3670	GlpA
GLYD	glycerate dehydrogenase	[c] : h + hpyr + nadh <==> glyc-R + nad	2	Central Metabolism	Rfer_2996	HprA2
GLYK	glycerol kinase	[c] : atp + glyc --> adp + glyc3p + h	3	Central Metabolism	Rfer_3678	GlpK
HGR	mercury(II) reductase	[c] : hg2 + nadph <==> h + hg0 + nadp	3	Central Metabolism	Rfer_1621	MerA
MAN6PI	mannose-6-phosphate isomerase	[c] : man6p <==> f6p	2	Central Metabolism	Rfer_1122	ManA
PFK	phosphofructokinase	[c] : atp + f6p --> adp + fdp + h	3	Central Metabolism	Rfer_1479	Pfk4
PGI	glucose-6-phosphate isomerase	[c] : g6p <==> f6p	3	Central Metabolism	Rfer_1127	Pgi
PGM	phosphoglycerate mutase	[c] : 3pg <==> 2pg	3	Central Metabolism	Rfer_1309	Gpm1
PPDK	pyruvate phosphate dikinase	[c] : atp + pi + pyr --> amp + h + pep + ppi	3	Central Metabolism	Rfer_0088	PpdK
PPN13D	"1,3-propanediol dehydrogenase"	[c] : 13ppd + nad <==> 3hppnl + h + nadh	3	Central Metabolism	Rfer_1965	DhaT
SUCOAS	succinyl-CoA synthetase (ADP-forming)	[c] : atp + coa + succ <==> adp + pi + succoa	2	Central Metabolism	Rfer_3945+Rfer_3944	SucCD2
ACONT	aconitase	[c] : cit <==> icit	3	Citrate Cycle (TCA)	"Rfer_1806, Rfer_2366"	"AcnA, AcnB"
AKGD	2-oxoglutarate dehydrogenase	[c] : akg + coa + nad --> co2 + nadh + succoa	3	Citrate Cycle (TCA)	"Rfer_2321, Rfer_2214, Rfer_2320"	LpdA+SucAec+SucBec
CITL	Citrate lyase	[c] : cit --> ac + oaa	3	Citrate Cycle (TCA)	Rfer_2408+Rfer_2407+Rfer_2409	CitDEF
CS	citrate synthase	[c] : accoa + h2o + oaa --> cit + coa + h	3	Citrate Cycle (TCA)	Rfer_1796	GltA
FUM	fumarase	[c] : fum + h2o <==> mal-L	3	Citrate Cycle (TCA)	"Rfer_2583, Rfer_2365"	"FumCec, FumA"
ICDHy	isocitrate dehydrogenase (NADP)	[c] : icit + nadp <==> akg + co2 + nadph	3	Citrate Cycle (TCA)	Rfer_2761	Icd
MDH	malate dehydrogenase	[c] : mal-L + nad <==> h + nadh + oaa	3	Citrate Cycle (TCA)	Rfer_1803	Mdh
SUCD1i	succinate dehydrogenase	[c] : fad + succ --> fadh2 + fum	2	Citrate Cycle (TCA)	Rfer_1799+Rfer_1801+Rfer_1798+Rfer_1800	Sdh
FTHFD	formyltetrahydrofolate deformylase	[c] : 10fthf + h2o --> for + h + thf	3	Coenzymes and prosthetic groups	Rfer_0609	YkkE
ACPS1	acyl-carrier protein synthase	[c] : apoACP + coa --> ACP + h + pap	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_1753	AcpS
ALATA_D2	D-alanine transaminase	[c] : ala-D + pydx5p --> pyam5p + pyr	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2658	GlyA
ALATA_L2	alanine transaminase	[c] : ala-L + pydx5p --> pyam5p + pyr	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2658	GlyA
AMAOT	adenosylmethionine-8-amino-7-oxononanoate transaminase	[c] : 8aonn + amet <==> amob + dann	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_0373	BioAec
AMPMS	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase	[c] : air + h2o --> 4ampm + (2) for + (4) h	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1708	ThiC
APRAUR	5-amino-6-(5-phosphoribosylamino)uracil reductase	[c] : 5apru + h + nadph --> 5aprbu + nadp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2666	RibDec
ASP1DC	aspartate 1-decarboxylase	[c] : asp-L + h --> ala-B + co2	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_3032	PanD
ASPO3	L-aspartate oxidase	[c] : asp-L + ubq8 --> h + iasp + ubq8h2	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3031	NadB
ASPO4	L-aspartate oxidase	[c] : asp-L + mqn8 --> h + iasp + mql8	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3031	NadB
ASPO5	L-aspartate oxidase	[c] : asp-L + fum --> h + iasp + succ	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3031	NadB
ASPO6	L-aspartate oxidase	[c] : asp-L + o2 --> h + h2o2 + iasp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3031	NadB
BACCL	biotin-[acetyl-CoA-carboxylase] ligase	[c] : atp + btn + h --> btamp + ppi	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_3953	BirA
BTS2	biotin synthase (ala-L producing)	[c] : cys-L + dtbt <==> ala-L + btn + (2) h	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2292	BioBec
CBIAT	Cobinamide adenyltransferase	[c] : atp + cbi + h2o <==> adcoba + pi + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2618	BtuR
CBLAT	cob(I)alamin adenosyltransferase	[c] : atp + cbl1 + h2o <==> cobamcoa + pi + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2618	BtuR
CDPMEK	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	[c] : 4c2me + atp --> 2p4c2me + adp + h	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1659	IspE
CHRPL	chorismate pyruvate lyase	[c] : chor --> 4hbz + pyr	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_3015	UbiC
CPPPGO	coproporphyrinogen oxidase	[c] : cpppg3 + (2) h + o2 --> (2) co2 + (2) h2o + pppg9	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2077	HemF
CPPPGOAN	Oxygen Independent coproporphyrinogen-III oxidase	[c] : (2) amet + cpppg3 + (2) fdxo-4:2 + (2) nadph --> (2) co2 + (2) dad-5 + (2) fdxr-4:2 + (2) h + (2) met-L + (2) nadp + pppg9	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1938	HemN
DHFS	dihydrofolate synthase	[c] : atp + dhpt + glu-L --> adp + dhf + h + pi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2686	FolCec
DHPPDA2	diaminohydroxyphosphoribosylaminopyrimidine deaminase	[c] : 25dhpp + h + h2o --> 5apru + nh4	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2666	RibDec
DHPS3	dihydropteroate synthase	[c] : 2ahhmd + 4abz --> dhpt + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2012	FolP
DMPPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp)	[c] : h + h2mb4p + nadh --> dmpp + h2o + nad	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3248	LytB
DMQMT	3-Dimethylubiquinonol 3-methyltransferase	[c] : 2omhmbl + amet --> ahcys + h + ubq8h2	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2828	UbiG
DNMPPA	Dihydroneopterin monophosphate dephosphorylase	[c] : dhpmp + h2o --> dhnpt + pi	1	Cofactor and Prosthetic Group Biosynthesis		
DNTPPA	Dihydroneopterin triphosphate pyrophosphatase	[c] : ahdt + h2o --> dhpmp + h + ppi	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_1298	NtpA
DPR	2-dehydropantoate 2-reductase	[c] : 2dhp + h + nadph --> nadp + pant-R	1	Cofactor and Prosthetic Group Biosynthesis		
DXPRI	1-deoxy-D-xylulose-5-phosphate reductoisomerase	[c] : dxyl5p + h + nadph <==> 2me4p + nadp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1994	Dxr
DXPS	1-deoxy-D-xylulose 5-phosphate synthase	[c] : g3p + h + pyr --> co2 + dxyl5p	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2875	Dxs
E4PD	Erythrose 4-phosphate dehydrogenase	[c] : e4p + h2o + nad <==> 4per + (2) h + nadh	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_0919	Epd
FCLT	Heme B synthesis reaction	[c] : fe2 + ppp9 --> h + pheme	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1545	HemH
FMNAT	FMN adenylyltransferase	[c] : atp + fmn + h --> fad + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1433	RibFec
G1SATi	glutamate-1-semialdehyde aminotransferase	[c] : glu1sa --> 5aop	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1369	HemLec
GLUCYSL	glutamate-cysteine ligase	[c] : atp + cys-L + glu-L --> adp + glucys + h + pi	3	Cofactor and Prosthetic Group Biosynthesis	"Rfer_3571, Rfer_0763"	"GshA1, GshA"
GTHRD	glutathione-disulfide reductase	[c] : (2) gthrd + nadp <==> gthox + h + nadph	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_2849	Gor
GTHS	glutathione synthase	[c] : atp + glucys + gly --> adp + gthrd + h + pi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_0765	GshB
GTPCI	GTP cyclohydrolase I	[c] : gtp + h2o --> ahdt + for + h	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_1301	FolE
HBZOPT	4-hydroxybenzoate octaprenyltransferase	[c] : 4hbz + octdp --> 3ophb + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3680	UbiA
HETZK	hydroxyethylthiazole kinase	[c] : 4mhetz + atp --> 4mpetz + adp + h	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_2472	ThiMec
HMBS	hydroxymethylbilane synthase	[c] : h2o + (4) ppbng --> hmbil + (4) nh4	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1715	HemCec
HTHBPD	4a-hydroxytetrahydrobiopterin dehydratase	[c] : 5678thh --> 78dhp + h2o	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_1410	PhhB
IPDPS	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (ipdp)	[c] : h + h2mb4p + nadh --> h2o + ipdp + nad	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3248	LytB
MECDPS	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	[c] : 2p4c2me --> 2mecdp + cmp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1332	IspDF
MEPCT	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	[c] : 2me4p + ctp + h --> 4c2me + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1332	IspDF
MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	[c] : 3mob + h2o + mlthf --> 2dhp + thf	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3033	PanB
NADDP	NAD diphosphatase	[c] : h2o + nad --> amp + (2) h + nmn	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2201	Lig
NADK	NAD kinase	[c] : atp + nad --> adp + h + nadp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1651	YfjB
NADS1	NAD synthase (nh4)	[c] : atp + dnad + nh4 --> amp + h + nad + ppi	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_1699	NadEec
NAMNPP	nicotinic acid mononucleotide pyrophosphorylase	[c] : atp + h2o + nac + prpp --> adp + nicrnt + pi + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_0827	PncB
NMNAT	nicotinamide-nucleotide adenylyltransferase	[c] : atp + h + nmn --> nad + ppi	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_2078	NadD
NNAT	nicotinate-nucleotide adenylyltransferase	[c] : atp + h + nicrnt --> dnad + ppi	2	Cofactor and Prosthetic Group Biosynthesis	Rfer_2078	NadD
NNDPR	nicotinate-nucleotide diphosphorylase (carboxylating)	[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1318	NadCec
OCTDPS	Octaprenyl pyrophosphate synthase	[c] : frdp + (5) ipdp --> octdp + (5) ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1267	IspB
OHPBAT	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	[c] : glu-L + ohpb <==> akg + phthr	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1570	SerC
OHPHM	R04988	[c] : 2ohph + amet --> 2omph + ahcys + h	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2828	UbiG
OMBZLM	2-Octaprenyl-6-methoxy-benzoquinol methylase	[c] : 2ombzl + amet --> 2ommbl + ahcys + h	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1291	UbiE
OMMBLHX	"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"	[c] : 2ommbl + (0.5) o2 --> 2omhmbl	1	Cofactor and Prosthetic Group Biosynthesis		
OMPHHX	2-octaprenyl-6-methoxyphenol hydroxylase	[c] : 2omph + (0.5) o2 --> 2ombzl	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1576	UbiH
OPHBDC	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	[c] : 3ophb + h --> 2oph + co2	3	Cofactor and Prosthetic Group Biosynthesis	"Rfer_0132, Rfer_0133"	"UbiD, UbiX"
OPHHX	2-Octaprenylphenol hydroxylase	[c] : 2oph + (0.5) o2 --> 2ohph	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1294	UbiB
PANTS	pantothenate synthase	[c] : ala-B + atp + pant-R --> amp + h + pnto-R + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_3034	PanCec
PDX5PO	pyridoxine 5'-phosphate oxidase	[c] : o2 + pdx5p <==> h + h2o2 + pydx5p	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2059	PdxHec
PDX5PS	Pyridoxine 5'-phosphate synthase	[c] : dxyl5p + nad + phthr --> co2 + h + (2) h2o + nadh + pdx5p + pi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1752+Rfer_2962	PdxAJ
PERD	Erythronate 4-phosphate (4per) dehydrogenase	[c] : 4per + nad <==> h + nadh + ohpb	1	Cofactor and Prosthetic Group Biosynthesis		
PMDPHT	pyrimidine phosphatase	[c] : 5aprbu + h2o --> 4r5au + pi	1	Cofactor and Prosthetic Group Biosynthesis		
PNTK	pantothenate kinase	[c] : atp + pnto-R --> 4ppan + adp + h	1	Cofactor and Prosthetic Group Biosynthesis		
PPCDC	phosphopantothenoylcysteine decarboxylase	[c] : 4ppcys + h --> co2 + pan4p	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2647	Dfp
PPNCL2	phosphopantothenate-cysteine ligase	[c] : 4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2647	Dfp
PPPGO	protoporphyrinogen oxidase	[c] : (1.5) o2 + pppg9 --> (3) h2o + ppp9	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_4072	HemG
PSERT	phosphoserine transaminase	[c] : 3php + glu-L --> akg + pser-L	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1570	SerC
PTPATi	pantetheine-phosphate adenylyltransferase	[c] : atp + h + pan4p --> dpcoa + ppi	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1667	CoaD
PYAM5PO	pyridoxamine-phosphate oxidase	[c] : h2o + o2 + pyam5p --> h2o2 + nh4 + pydx5p	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2059	PdxHec
QULNS	quinolinate synthase	[c] : dhap + iasp --> (2) h2o + pi + quln	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1319	NadA
RBFK	riboflavin kinase	[c] : atp + ribflv --> adp + fmn + h	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_1433	RibFec
THZPSN	thiazole phosphate synthesis	[c] : atp + cys-L + dxyl5p + tyr-L --> 4hba + 4mpetz + ala-L + amp + co2 + h + h2o + ppi	1	Cofactor and Prosthetic Group Biosynthesis		
TMPKr	thiamine-phosphate kinase	[c] : atp + thmmp <==> adp + thmpp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_0529	ThiL
TMPPP	thiamine-phosphate diphosphorylase	[c] : 2mahmp + 4mpetz + h --> ppi + thmmp	2	Cofactor and Prosthetic Group Biosynthesis	"Rfer_2467, Rfer_2471"	"ThiE2, ThiE"
UDCPDPS	Undecaprenyl diphosphate synthase	[c] : frdp + (8) ipdp --> (8) ppi + udcpdp	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_2675	UppS
UPPDC1	uroporphyrinogen decarboxylase (uroporphyrinogen III)	[c] : (4) h + uppg3 --> (4) co2 + cpppg3	3	Cofactor and Prosthetic Group Biosynthesis	Rfer_0821	HemE
CYSS	cysteine synthase	[c] : acser + h2s --> ac + cys-L	3	Cysteine Metabolism	"Rfer_2378, Rfer_3460"	"CysM, CysK1"
CYSTRS	Cysteinyl-tRNA synthetase	[c] : atp + cys-L + trnacys --> amp + cystrna + ppi	3	Cysteine Metabolism	Rfer_1349	CysS
SADT2	sulfate adenylyltransferase	[c] : atp + gtp + h2o + so4 --> aps + gdp + pi + ppi	3	Cysteine Metabolism	Rfer_2460+Rfer_2459	CysD
SULR	sulfite reductase (NADPH2)	[c] : (3) h2o + h2s + (3) nadp <==> (4) h + (3) nadph + so3	1	Cysteine Metabolism		
