sample_id	total	oxidoreductase_activity	sphingosine_hydroxylase_activity	monooxygenase_activity	electron_transfer_activity	oxygen_evolving_activity	steroid_dehydrogenase_activity	oxidoreductase_activity__acting_on_CH_OH_group_of_donors	oxidoreductase_activity__acting_on_the_CH_CH_group_of_donors	oxidoreductase_activity__acting_on_the_CH_NH2_group_of_donors	oxidoreductase_activity__acting_on_the_CH_NH_group_of_donors	oxidoreductase_activity__acting_on_NAD_P_H	oxidoreductase_activity__acting_on_other_nitrogenous_compounds_as_donors	oxidoreductase_activity__acting_on_a_sulfur_group_of_donors	oxidoreductase_activity__acting_on_a_heme_group_of_donors	oxidoreductase_activity__acting_on_diphenols_and_related_substances_as_donors	oxidoreductase_activity__acting_on_peroxide_as_acceptor	oxidoreductase_activity__acting_on_hydrogen_as_donor	oxidoreductase_activity__acting_on_single_donors_with_incorporation_of_molecular_oxygen	oxidoreductase_activity__acting_on_paired_donors__with_incorporation_or_reduction_of_molecular_oxygen	oxidoreductase_activity__acting_on_superoxide_radicals_as_acceptor	oxidoreductase_activity__acting_on_metal_ions	oxidoreductase_activity__acting_on_CH_or_CH2_groups	oxidoreductase_activity__acting_on_iron_sulfur_proteins_as_donors	oxidoreductase_activity__acting_on_reduced_flavodoxin_as_donor	oxidoreductase_activity__acting_on_the_aldehyde_or_oxo_group_of_donors	pyrogallol_hydroxytransferase_activity	X2_octaprenylphenol_hydroxylase_activity	arsenate_reductase_activity	oxidoreductase_activity__acting_on_phosphorus_or_arsenic_in_donors	sulfur_reductase_activity	selenate_reductase_activity	X2_desacetyl_2_hydroxyethyl_bacteriochlorophyllide_a_dehydrogenase_activity	glycyl_radical_enzyme_activating_activity	crotonyl_CoA_reductase_activity	NADPH_sulfur_oxidoreductase_activity	tRNA__2_methylthio_N_6__cis_hydroxy_isopentenyl_adenosine__hydroxylase_activity	geranylgeranyl_reductase_activity	violaxanthin_de_epoxidase_activity	oxidoreductase_activity__acting_on_X_H_and_Y_H_to_form_an_X_Y_bond	dioxygenase_activity	X3_8_divinyl_protochlorophyllide_a_8_vinyl_reductase_activity	uracil_oxygenase_activity	epoxyqueuosine_reductase_activity	fatty_acid_alpha_hydroxylase_activity	transmembrane_monodehydroascorbate_reductase_activity	Remaining
0159_AB18_26691_20200831_ST	9909580	129434.083333333	0	5324.67083333333	24498.5695767195	0	1645.75	93310.182936508	29605.5107142857	33253.15	19100.080952381	20139.1060846561	4197.84523809523	21021.1263888889	91.2111111111111	8.11666666666667	7466.20833333333	3595.33333333334	3018.91666666667	1198.42797619048	562	1227	15414.8190476191	1197.2	0	28883.7158730159	0	0	282.333333333333	282.333333333333	0	11.5	0	1287.96666666667	0	0	8.54545454545455	0	0	4445	5766.65714285714	0	0.666666666666667	521.416666666667	0	0	9452780.55566979
0159_AB18_26784_20201230_ST	9871672	143337.516666667	0	4939.79166666667	24369.7079365079	0	1813.91666666667	88258.1944444445	30605.9083333333	30522.8166666667	19022.9666666667	13345.2984126984	2739.27380952381	16123.2840277778	61.4309523809523	0.933333333333334	6101.24166666667	4113.4	2757.20833333333	813.958333333333	627.166666666667	684.449999999999	17366.0833333333	1839.71666666666	0	31328.1142857143	6	0	532.333333333335	532.333333333335	0	3.33333333333333	0	1492	0	0	0.090909090909091	15.4	0	1814	4393.34166666667	0	0.333333333333333	740.916666666667	0	0	9421369.53855519
0159_AP39_21364_20180504_ST_E21	9863312	119522.126190476	0	6307.63333333334	23944.1436507937	0.2	1247.5	100536.622222222	31554.9345238095	35309.3571428571	21216.1833333333	16613.0150793651	4221.41071428571	18236.6361111111	57.7904761904762	5.36666666666666	6464.39722222222	2675.91666666667	3266.5	2081.64166666667	680.333333333333	808.166666666666	19611.3761904762	1769.80833333333	0	30716.0988095238	2.25	0	292.666666666667	292.666666666667	0	4.16666666666667	0	1680.2	0	0	16.5	0	0	532.25	4015.40833333333	0	1	831.583333333333	0	0	9408796.15
0159_AY44_33148_20190508_ST	9840115	129003.408333333	0	3834.375	21190.0468253968	0	947.958333333332	86864.8956349206	27279.0678571429	28227.9333333333	18525.0333333333	8120.44444444445	2536.04285714285	12513.8432539683	63.1095238095238	2.91666666666666	4229.93333333333	2701.7119047619	2322.41666666667	365.783333333333	432.791666666667	140.4	17509.5333333334	2885.6	0	27212.3666666667	11.25	0	312.5	312.333333333333	15.5	12	0	1972.38333333333	4	0	0.090909090909091	1.66666666666667	1	442	3094.875	0	0	902.5	0	0	9436123.28845599
0159_AP39_21361_20180308_ST_E21	9785854	119467.533333333	0	4547.5	23729.4785714285	0	1612.55833333333	89660.9583333334	30824.9857142857	34079.1	20769.6	16024.3158730159	3486.35	17819.2861111111	27.9722222222222	3.25	6772.03333333333	3402.2	2725.41666666667	504.583333333333	466.041666666667	960.499999999999	16259.6166666667	2411.11666666667	0	30398.5952380952	8	0	202.833333333334	202.833333333334	0	1.5	0	1638.53333333333	0	0	0	0	0	692.5	3486.81666666667	0	0.333333333333333	724	0	0	9352943.65793651
0159_AB18_102958_20200826_ST	9785695	125608.65	0	5032.90595238095	23691.1646825397	0	1422.83333333333	87201.0888888889	28228.5630952381	29041.8666666667	20292.0095238095	14379.0833333333	2314.13333333333	17987.2652777778	37.6111111111111	5.15	5662.975	3552.06666666666	2882.5	1059.41071428571	494.75	509.200000000001	16840.7833333333	1588.53333333333	0	28005.1297619048	22	0	383.166666666667	382.166666666667	0	5.66666666666667	0	1558.76666666667	0.5	0	2.54545454545454	0	0	1454.5	4233.83809523809	0	0.333333333333333	700.166666666667	0	0	9361113.67577561
0159_AB10_26768_20200809_ST	9749901	129720.973412698	0	5835.45833333333	21993.9920634921	0	1160.16666666667	87702.6055555556	28781.4357142857	26898.3833333333	18110.3428571429	15238.6619047619	4064.05476190476	17242.5576388889	114.370634920635	13.05	6399.04642857143	3309.08333333334	3079.7	1614.00476190476	521.333333333333	769.5	16609.7952380952	2179.33333333333	0	30303.0845238095	3.75	0	252	252	0	58.7	0	1550.98333333333	0	0	1.5	13	0	1197.5	3893.02976190477	0	1.33333333333333	702.416666666667	0	0	9320313.8530754
0159_AZ03_32028_20180808_ST	9749477	127040.208333333	0	5442.725	25867.8841269841	0	1295.25	92504.1116161616	29951.3833333333	30903.55	19182.3357142857	18541.2015873016	3827.10952380952	20457.5324404762	84.9706349206349	7.68333333333333	7234.75	4125.13333333334	3056.06666666667	859.792857142857	600.5	1269.36666666667	14269.7285714286	1167.35	0	31025.3154761905	1	0	378.166666666667	378.166666666667	0	17.5833333333333	0	1266.4	0	0	0.0454545454545454	0	0	2768.75	5734.51785714286	0	0	704.166666666667	0	0	9299514.25413961
0159_AV42_66200_20191011_ST	9738602	130019.602380952	0	5352.55833333334	26232.6666666667	0	879.25	81853.925	28279.4666666667	27338.1666666667	18543.3714285714	17182.4341269841	2832.79047619048	15036.7055555556	78.0849206349206	7.81666666666667	6714.13888888889	2776.11666666667	2221.08333333334	922.110714285715	593.458333333333	578.033333333333	16826.5119047619	1464.83333333334	0	28277.9583333333	2.25	0	218.25	218.583333333333	1.5	14.6666666666667	0	1547.35	11	0	0.090909090909091	2.66666666666667	0	991.5	3753.96904761905	0	0.333333333333333	804	0	0	9317024.75631313
0159_AB18_26755_20201020_ST	9707826	121291.542460317	0	5519.32619047618	21485.896031746	0	1339.45833333333	88617.0102869353	29851.1590659341	27619.5166666667	18639.1428571429	14010.8420634921	3502.77261904762	16690.4486111111	90.3468253968253	7.76666666666667	5609.59166666667	2653.65	2790.95833333333	1180.33095238095	481.208333333333	684.483333333334	15735.5833333333	1756.89166666667	0	28112.7464285714	1	0	397.833333333333	398.166666666667	0.25	5.66666666666667	0	1664.56666666667	0	0	2.5	0.333333333333333	0	1282.75	4174.39642857143	0	0.666666666666667	788.333333333333	0	0	9291438.86417888
0159_AB18_26712_20200926_ST	9621143	141630.733333333	0	11307.2666666667	26486.1433862433	0	1456.29166666667	109906.48452381	34705.6404761905	29734.5666666667	17299.2952380952	25982.1092592593	8881.95714285714	21066.2638888889	294.679365079365	119.066666666667	8080.30833333334	1568.93333333334	3557.04166666666	5712.25476190476	676.875	910.599999999999	20350.2738095238	2435.98571428572	0	41172.5718253968	1.5	0	362.75	362.75	18.75	3	0	2006.18333333333	0	0	274.5	0	0	181	6796.98214285714	0	13.3333333333333	639.083333333333	0	0	9097147.82513227
0159_AQ29_10060_20180211_ST	9604680	130484.033333333	0	5545.69166666667	20137.5527777778	0	1833.91666666666	93033	28053.5166666667	26685.9833333333	18914.8523809524	10643.2476190476	3990.73333333333	13805.7998015873	54.4753968253969	7.53333333333333	5017.725	4030.11666666666	3163.04166666667	1547.39285714286	449.25	306.7	19533.2857142857	1969.93333333333	0	30367.7952380952	0	0	233.083333333334	228.083333333334	0	31.6666666666667	0	1780.55	0	0	0	0	0	3432.25	4169.60952380952	0	1.66666666666667	692	0	0	9174535.51369048
0159_AA34_42438_20190621_ST	9579860	121405.016666667	0	5416.75833333334	23591.9428571428	0	1524.20833333333	88367.1623015873	30079.0797619047	30218.8333333333	19169.4761904762	14714.2666666667	2529.46666666667	15975.6458333333	62.8809523809523	0.45	5612.78333333333	2597.73333333334	2544.58333333333	1348.775	556.5	519.8	16358.45	1879.98333333334	0	28967.1904761905	11.25	0	264.5	264.5	6.5	13.6666666666667	0	1562.43333333333	0	0	0.5	0	0	1128	3949.15	0	0	672.75	0	0	9158545.76329365
0159_AQ29_10078_20180508_ST	9543681	141662.147619048	0	3730.72738095238	22884.3484126984	0	1227.29166666667	76693.1595238095	25688.4537878788	24838.1452380952	16094.85	11056.6031746032	1641.56428571429	15262.0298611111	35.7380952380952	2.8	3962.36944444444	4367.43333333333	1598.58333333333	529.577380952381	393.708333333333	237	17097.4166666667	1851.28333333333	0	31990.025	14	0	209	209.333333333333	0	0	0	1450.25	3	0	0	11.6	0	1387	2960.23333333333	0	0	938.916666666667	0	0	9133652.41079545
0159_AA34_42415_20190506_ST	9541025	117786.208333333	0	5081.17619047619	22249.3156084656	0	1097.45833333333	83766.4413475413	27624.4352564102	28251.4833333333	18604.7261904762	12839.6148148148	3188.9119047619	15901.1305555556	54.034126984127	1.45	5766.53333333333	2723.86666666667	2770.5	1161.74285714286	561.25	388	17382.8666666667	1757.98333333333	0	26037.8611111111	1.5	0	422.166666666667	422.166666666667	0	6.66666666666667	0	1617.93333333333	0.5	0	0	0	0	683	4041.43333333333	0	0	752.166666666667	0	0	9138080.47670292
0159_AA34_42150_20180907_ST	9519040	129081.626190476	0	4773.62142857143	23776.4547619048	0	997.916666666667	84113.3579365079	27078.9833333333	28904.1	18916.9666666667	15512.5333333333	2160.22142857143	15233.1293650794	45.0880952380952	2.65	5812.54166666667	2778.93333333333	2470.89166666667	894.321428571428	508.166666666667	568.533333333334	18027.5333333333	2930.71666666667	0	29416.5166666667	6.25	0	274	276.333333333333	0	1.33333333333333	0	1567.91666666667	1.5	0	0	0	0	1080.25	3622.94166666667	0	0	770.833333333333	0	0	9097433.83769841
0159_AB18_26718_20200909_ST	9490447	131443.844047619	0	5004.48988095238	19982.8484126984	0	1224.16666666667	87031.8706349206	27714.9511904762	25790.6166666667	16841.7095238095	10495.3785714286	2718.89523809524	16731.8958333333	76.0555555555556	10.1166666666667	4757.49642857143	3232.43333333333	2422.5	967.43630952381	458.416666666667	764.283333333333	16197.4261904762	2183.83333333333	0	28412.4761904762	12	0	318.75	254.416666666666	0	3	0	1710.91666666667	7	0	3	17.3333333333333	0	1119.75	4246.72261904761	0	0	811.666666666667	0	0	9077479.30337302
0159_AV42_66196_20191011_ST	9487359	121137.920238095	0	5246.59166666667	21121.7765873016	0	1197	87846.4611111111	26840.0416666667	28332.0666666667	17594.6761904762	9708.73611111111	2851.15476190476	13703.3222222222	38.9047619047619	0.949999999999999	4330.86666666666	2343.96666666667	2816	682.358333333333	460.708333333333	408.833333333334	16563.2	3211.5	0	24612.2261904762	2	0	464	464	0	4.83333333333333	0	1881.16666666667	0	0	0	2.33333333333333	0	554.5	3468.13333333334	0	0	916.833333333333	0	0	9088551.93849206
0159_AB18_26646_20200815_ST	9479385	131591.334523809	0	6306.06666666666	22933.8575396826	0	2243.08333333333	96481.8031746032	29833.8166666667	28023.1833333333	19297.9333333333	21149.1547619048	5803.41904761905	20565.8041666667	150.080158730159	23.05	7178.63809523809	3171.53333333333	2497.375	2837.43333333333	649.791666666668	1348.4	17736.319047619	1080.03333333333	0	34127.2880952381	5	0	343.75	342.25	0	59	0	1365.3	0	0	0	0	0	1820	6021.44166666666	0	3.33333333333333	516.583333333333	0	0	9013878.94305556
0159_AV42_66147_20190812_ST	9477955	112660.966666667	0	6589.325	24732.2746031746	0	823.058333333333	72391.4701388889	24923.6485119048	31154.5166666667	16356.6714285714	23564.5055555556	2552.825	16127.6958333333	59.6666666666667	19.3333333333333	6421.7	1576.01666666667	1708.16666666667	2487.01904761905	551.583333333333	548.666666666667	16629.9642857143	1516.10833333333	0	23422.7166666667	2	0	194.833333333334	197.5	0	12.25	0	1180.68333333333	0	0	12	0	0	869	3336.72738095238	0	0.666666666666667	920.083333333333	0	0	9084411.35654762
0159_AY44_33005_20170925_ST	9469968	128612.2	0	5426.775	21534.7738095238	1	1001.79166666667	86434.9277777778	29091.925	29556.3666666667	18005.6357142857	16518.4952380953	5337.80714285714	18765.7319444444	120.490476190476	6.66666666666666	6705.21666666666	2494	2991.70833333333	1597.70952380952	418.75	853.666666666667	15778.6428571429	1413.63333333333	0	26969.6964285714	0	0	260.083333333333	260.083333333333	0	7.33333333333333	0	1292.88333333333	0	0	2	0	0	1146	4437.64285714286	0	0	653.5	0	0	9042270.86289683
0159_AZ03_32076_20190429_ST	9467921	123661.35	0	4748.54166666667	22874.3388888889	0	1398.29166666667	87750.6215007215	28176.6678571429	27233.1833333333	19375.6428571429	13779.2555555556	2522.36904761904	15792.0888888889	58.4523809523809	0.6	6825.3	3731.46666666667	2996.04166666667	782.991666666667	616.208333333333	874.166666666667	15269.7833333333	1905.13333333333	0	28749.7869047619	7.5	0	360.75	360.75	0	1	0	1449.36666666667	0	0	0.090909090909091	0	0	1452.25	4743.40833333334	0	0	760	0	0	9049663.6018759
0159_AB18_26663_20200725_ST	9411067	140358.283333333	0	5414.05833333333	21214.8103174603	0	4633.25	91186.6551587301	28925.9492424243	29569.8166666667	15293.1	11137.4888888889	3627.61904761905	13623.9520833333	77.5357142857142	0.816666666666666	4756.39166666667	2857.66666666666	2321.33333333333	145.175	550.083333333333	765	16113.5333333333	1225.23333333333	0	25426.9166666667	7.75	0	386	385	0	0.333333333333333	0	1495.11666666667	2	0	0	0	0	1745	4520.85	0	0	648.333333333333	0	0	8982651.94788059
0159_AP39_21213_20180420_ST_E21	9357969	126661.496825397	0	4140.63333333334	23511.8658730158	0	1179.20833333333	78044.9607142857	26338.7428571429	28495.769047619	16206.5833333333	10806.0777777778	2058.83333333333	13730.5888888889	55.6666666666666	1	4105.69166666666	3766.15238095238	2353.33333333333	918.233333333333	573.833333333333	254.9	18099.1166666667	1763.65	0	32623.5023809524	9.25	0	200.5	200.5	0	13	0	1638.98333333333	0	0	0	9.33333333333333	0	1171.75	3065.48333333333	0	0.333333333333333	820.916666666667	0	0	8955149.10992063
0159_AB18_106054_20190207_ST	9355166	117023.625	0	5381.10833333334	23427.4333333333	0	1269.45833333333	85051.5412698413	28581.1940476191	29395.4166666667	19525.2166666667	16660.1666666667	2644.42619047619	17296.6263888889	46.3428571428571	1.03333333333333	6424.16666666666	3015.05	2952.83333333333	1221.94166666667	557.625	681.500000000001	14850	983.7	0	27109.7833333333	3	0	262.75	262.75	0	7.66666666666667	0	1493.95	0.5	0	0	0	0	773.25	3834.55	0	0	765	0	0	8943662.39424603
0159_AB10_26786_20210216_ST	9351919	134144.734523809	0	4528.11666666667	22724.3380952381	0	1468.91666666667	78787.7725940726	28599.9852564103	26681.55	17653.7928571429	10052.2579365079	2022.18095238095	14769.0763888889	57.9253968253969	2.6	5323.09166666666	3942.11666666666	2655.25	381.246428571429	484.208333333333	467.233333333333	17053.8261904762	1912.46666666667	0	31212.3	28.75	0	422.333333333333	422.5	0	16.4166666666667	0	1544.28333333333	0.5	0	0.090909090909091	3.2	0	1670.75	3786.2130952381	0	0.333333333333333	792	0	0	8938306.64270868
0159_AA34_42470_20190830_ST	9326231	123572.626190476	0	4864.05	22805.95	0	769.666666666667	85091.6805555556	26362.7511904762	28346.2333333333	17313.2928571429	13698.1833333333	2798.21666666666	13400.0277777778	35.7833333333333	1.3	5268.75833333333	2189.26666666667	2248.58333333333	1090.9	629.291666666667	233.866666666667	16945	2582.8	0	22863.0333333333	0.75	0	607	607	0	0.666666666666667	0	1636.53333333333	0	0	0	0	0	311.25	2951.48333333334	0	0	823.083333333333	0	0	8926181.97142857
0159_AA34_42406_20190430_ST	9313342	118212.192857143	0	5926.22499999999	24091.8682539682	0	1209.91666666667	92664.6138888889	29974.4416666667	34189.2166666667	21257.2523809524	23909.1753968254	4310.32857142857	25369.6222222222	78.6285714285714	12.1666666666667	6968.51666666667	2952.7	3087.29166666667	2186.67619047619	602.916666666665	1750.16666666667	16105.630952381	619.1	0	31304.0654761905	0	0	102.333333333333	102.333333333333	0	21.5	0	1304.58333333333	0	0	0	0	0	575.5	4405.62619047619	0	1.33333333333333	624.583333333333	0	0	8859421.49404762
0159_AB10_101848_20181004_ST	9187348	115112.766666667	0	4202.35	19936.376984127	0	1705	90067.9055555556	28920.3666666667	25577.2333333333	18844.35	18041.0222222222	2078.48571428571	20751.0402777778	16.1690476190476	1.3	5999.85	2921.08333333333	3653.75	644.933333333333	564.041666666667	1556.16666666667	15451.8333333333	1426.43333333333	0	28334.35	0	0	135	135	0	3.66666666666667	0	1484.11666666667	0	0	0	0	0	1213.75	4396.91666666667	0	0	667.166666666667	0	0	8773505.57519841
0159_AB18_26705_20191018_ST	9187054	119189.975	0	8472.9	19403.1134920635	0	1523.29166666667	102759.544444444	30237.9714285714	27758.25	17859.7357142857	12908.6412698413	6775.25357142857	15704.2180555556	201.907936507937	83.4166666666667	6006.81309523809	2480.5	3623.75	3868.50833333333	422.125	1006.66666666667	15562.7976190476	3360.55833333334	0	31425.5404761905	0.5	0	575.583333333335	574.583333333335	0	18.3333333333333	0	1861.01666666667	0	0	143	0	0	498.5	6294.60833333333	0	9	698.416666666667	0	0	8745744.97956349
0159_AP39_21392_20180504_ST_E21	9183545	117573.533333333	0	4981.40833333333	23058.9833333333	0	1554.625	84916.3805555556	29206.3095238095	30434.4833333333	17255.3595238095	16872.473015873	3020.82261904762	18345.8708333333	70.181746031746	8.38333333333333	5829.40198412698	3129.71666666667	2519.08333333333	979.429761904762	471.5	777.533333333333	19692.4166666667	1547.675	0	29598.3916666667	2	0	163.5	163.5	18	1.5	0	1534.3	0	0	9	0.333333333333333	0	1367.5	3914.10476190477	0	0.666666666666667	584.166666666667	0	0	8763942.4656746
0159_AB18_26463_20190528_ST	9168632	131877.758333333	0	6617.4	22454.817063492	0	1626.125	86617.4611111111	30572.6869047619	28636.5238095238	18158.6666666667	16981.3380952381	3443.28253968254	17717.0333333333	149.553968253968	40.0666666666667	5915.39047619048	3025.13333333333	2568.75	2440.37023809524	576.625	997.25	15485.2404761905	2110.06111111111	0	33515.9380952381	5	0	504	504	11.25	5.66666666666667	0	1488.38333333333	0.5	0	61	18	0	1632.25	4339.09801587302	0.5	7.33333333333333	796.916666666667	0	0	8727730.6297619
0159_AB18_26642_20200320_ST	9164487	139716.883333333	0	11191.0916666667	22828.4633597884	0	1945.25	109536.001587302	31973.0301587301	28957.8833333333	19092.3476190476	22576.0558201058	7807.50952380953	20501.9220238095	327.25873015873	400.283333333333	7720.69047619048	2811.33333333333	3864.70833333334	5445.53333333334	599.166666666667	1569.61666666667	16294.0857142857	3737.65952380952	0	44463.3150793651	0	0	571.25	567.25	0	3.8	0	1289.45	0	0	188	0	0	2099.75	8992.35	0	18.6666666666667	516.75	0	0	8646879.64371693
0159_AB18_26716_20200820_ST	9009159	121896.466666667	0	4600.25357142857	20648.407936508	0	1451.83333333333	80372.6305555556	25387.6416666667	27690.7666666667	17250.8428571429	10897.8055555556	2841.05238095238	15940.0791666667	50.152380952381	2.15	5033.92222222222	2541.26666666666	2143.66666666667	423.503571428571	459.125	694.833333333333	16084.3	1949.23333333333	0	25119.5333333333	2	0	351.75	351.75	0	9.33333333333333	0	1406.75	0	0	0.0454545454545454	0	0	521.5	4028.61666666667	0	0	805.416666666667	0	0	8618202.37101371
0159_AZ03_32059_20190918_ST	8999189	116142.226190476	0	5379.59166666667	21682.419047619	0	1093.54166666667	82864.5805555555	27746.325	28029.3	19319.95	17982.176984127	3407.13571428571	18431.5888888889	45.6801587301588	1.43333333333333	6683.50833333333	2800.9	3311.45833333333	1199.75	503.666666666667	989.499999999999	14431.25	1165.65	0	26148.6523809524	0	0	210.083333333334	210.083333333334	0	0.333333333333333	0	1152.36666666667	0	0	0	0.666666666666667	0	710.5	4815.63333333333	0	0	601.666666666667	0	0	8592127.38174603
0159_AB18_26560_20191009_ST	8938983	113071.283333333	0	4752.24166666666	21957.0182539683	0	1083.875	80399.6979076479	25525.2333333333	26909.4666666667	18014.5	16282.6015873016	2816.22857142857	16872.3479166667	35.9285714285714	1.93333333333333	6409.13888888889	2178.18333333333	2573.70833333333	1220.78333333333	516.333333333333	763.166666666667	16109.8666666667	1209.66666666667	0	24754.4642857143	0.5	0	323.333333333333	323.666666666667	0	2.33333333333333	0	1305	0	0	0	0	0	420.25	4163.28333333333	0	0	659.583333333333	0	0	8548327.38235029
0159_AY44_33007_20170914_ST	8937757	115246.466666667	0	6291.44166666667	21834.7341269841	0	1616.25	86226.7388888889	28005.8583333333	30860.8166666667	18382.7	19473.1055555556	2240.93333333333	18889.0173611111	57.8166666666667	0.95	7169.45	2446.56666666667	2844.5	982.558333333333	490.333333333333	1128	14944.6261904762	1264.88333333333	0	26370.3630952381	0.75	0	118.166666666667	117.666666666667	0	18.6666666666667	0	1347.91666666667	0	0	0	0	0	1183	3720.51666666667	0	0	746.833333333333	0	0	8523735.37311508
0159_AB18_26741_20201114_ST	8932685	111807.725	0	5091.19166666666	19777.45	0	1341.04166666667	82864.2	26151.4773809524	26763.1333333333	17065.4261904762	11986.8277777778	2901.24047619048	14115.1194444444	52.8293650793651	1.03333333333333	5337.7	2179.03333333333	2825	853.5	403.666666666667	562.5	14168.2	1431.88333333333	0	24240.55	6	0	372.5	372.5	0	2.25	0	1595.18333333333	0	0	0.545454545454545	0	0	541.25	4170.64166666666	0	0	670.833333333333	0	0	8553032.56724387
0159_AQ29_10011_20170731_ST	8901921	110619.016666667	0	4858.25833333333	23917.5488095238	0	443.583333333333	63297.6611111111	21967.7611111111	23601.4	15597.075	17607.6055555556	1786.83095238096	9088.92242063492	25.2380952380952	2.5	5466.76666666667	1754.46666666667	1279	397.158333333333	415.666666666667	16.6833333333333	14712.45	1381.22619047619	0	22016.0833333333	0.25	0	140.166666666666	140.166666666666	0.25	1.66666666666667	0	1538.8	0	0	0	6.06666666666667	0	292.75	2248.75952380953	0	0	833.75	0	0	8556465.47123016
0159_AP39_21372_20180327_ST_E21	8895435	114778.369444444	0	5231.51666666666	22836.6817460317	0	1840.125	80663.0555555555	26828.2916666667	27838.0666666667	16410.6095238095	15483.9246031746	2689.55952380952	16208.5597222222	36.442857142857	1.11666666666667	5570.18333333334	2338.53333333333	2407.58333333333	802.925	465.458333333333	811.183333333333	14955.5333333333	1482.18333333333	0	24945.8023809524	0.75	0	215	215	0	2.66666666666667	0	1280.93333333333	0	0	0	0	0	1129	4041.125	0	0	560.083333333333	0	0	8503364.73630952
0159_AP39_21101_20171111_ST	8768627	143137.491666667	0	6015.89166666667	26799.2015873016	0	462.875	78116.6388888889	28453.1619047619	26145.8833333333	16984.5833333333	18752.7	2482.02380952381	15810.0583333333	27.3920634920635	5.84999999999999	6742.08333333333	4107.35	2005.5	266.325	480.083333333333	288	14692.25	1012.45	0	28965.85	0	0	242.75	242.25	0	3	0	1181.4	0	0	2	0	0	3236.25	4789.2	0	0.333333333333333	569.333333333333	0.5	0	8336606.34007937
0159_AZ03_32060_20190920_ST	8753112	149825.133333333	0	3573.85714285714	23549.8626984127	0	1404.29166666667	71447.5111111111	26196.2416666667	24539.5285714286	16943.5666666667	10098.55	1461.66666666667	14653.4847222222	69.2888888888888	1.38333333333333	5106.26666666666	5113.13333333333	1776.66666666666	460.198809523809	534.916666666667	377.566666666667	18226.45	1216.95	0	34431.944047619	14.5	0	251.916666666666	251.916666666666	0	6.08333333333333	0	1359.36666666667	0	0	0	34.5333333333333	0	3773.75	2871.54166666667	0	0	845.083333333333	0	0	8332694.84900794
0159_AH05_15000_20171130_ST	8744946	113723.294444444	0	4624.80833333333	22397.3825396826	0	1093.95833333333	78867.4777777778	27503.6083333333	26864.45	17894.3166666667	15673.7944444444	2665.49761904762	16978.2888888889	43.4380952380953	1.81666666666667	6105.53333333333	3362.3	2697.89583333333	702.191666666667	573.958333333333	838.833333333334	14358.7333333333	1331.42619047619	0	26177.3035714286	2	0	226.5	226.5	0	0.666666666666667	0	1205.28333333333	0	0	0.090909090909091	0	0	731.5	4901.15535714286	0	0	582.75	0	0	8352589.24599567
0159_AA34_42388_20190405_ST	8723702	111624.316666667	0	3912.01666666667	18803.3023809523	0	859.208333333333	79968.2111111111	24840.7583333333	25951.9	16242.6166666667	9314.63333333333	2338.41904761905	12395.35	86.4523809523809	0.433333333333334	4412.475	2294.83333333334	2590.45833333333	576.891666666667	381.541666666667	394.166666666666	14586.4666666667	2842.71666666667	0	24217.1857142857	0.5	0	334.25	334.25	0	1.66666666666667	0	1709.11666666667	3	0	0.090909090909091	2	0	381.25	3356.1	0	0	843.416666666667	0	0	8358102.00512266
0159_AP39_21083_20180113_ST	8720361	111475.6	0	5510.48333333333	21404.9738095238	0	1076.83333333333	83175.4734126984	27611.3761904762	27534.9666666667	16561.1952380952	17351.2706349206	3642.56666666666	16656.4680555556	77.5222222222223	7.95	6375.44166666666	2320.4	2532.33333333333	2142.03928571429	426.833333333333	774.333333333333	14166.7952380952	736.333333333334	0	26656.2119047619	0	0	179.416666666666	179.416666666666	0	25	0	1270.15	0	0	0.090909090909091	0	0	2180	3991.75595238096	0	1.33333333333333	559	0	0	8323757.4354798
0159_AB18_26723_20201110_ST	8699907	106593.95952381	0	4227.21666666666	19725.3698412699	0	1135.41666666667	81152.5	24551.8928571429	26317.369047619	16482.5261904762	14467.0174603175	2910.80714285714	14665.0180555556	106.669047619048	6.58333333333333	5261.15	2061.95	2592.5	782.538095238095	439.833333333333	802.666666666666	12883.2619047619	1850.26666666667	0	25610.4452380952	0	0	347.333333333333	347.333333333333	0	0.333333333333333	0	1403.25	0	0	10	0	0	335.75	3559.12142857143	0	0.333333333333333	662.666666666667	0	0	8328613.92083333
0159_AA34_42282_20181025_ST	8632301	111125.8	0	4984.825	18779.7515873016	0	759	79312.2083333333	23253.8666666667	24806.6833333333	17184.3333333333	13062.2468253968	2818.06428571428	15568.2555555556	46.297619047619	0	5815.95833333333	2366.9	1987.5	1427.40833333333	364.916666666667	485.033333333333	15817.4166666667	1526.18333333333	0	26198.8690476191	0	0	88.4166666666665	87.9166666666665	0	0	0	1153.18333333333	0	0	0	0	0	2065.5	3559.45	0	0	458.666666666667	0	0	8257196.3484127
